代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600050.SH,中国联通,2010-01-04,6.60,6.45,151343698260
600050.SH,中国联通,2010-01-05,6.47,6.67,156642847359
600050.SH,中国联通,2010-01-06,6.64,6.53,153251391936
600050.SH,中国联通,2010-01-07,6.52,6.34,148800106693
600050.SH,中国联通,2010-01-08,6.32,6.42,150707800368
600050.SH,中国联通,2010-01-11,6.76,6.45,151343698260
600050.SH,中国联通,2010-01-12,6.43,6.81,159822336818
600050.SH,中国联通,2010-01-13,6.66,6.88,161518064530
600050.SH,中国联通,2010-01-14,6.95,6.95,163001826278
600050.SH,中国联通,2010-01-15,6.95,6.92,162365928386
600050.SH,中国联通,2010-01-18,6.90,6.95,163213792242
600050.SH,中国联通,2010-01-19,6.93,6.83,160246268746
600050.SH,中国联通,2010-01-20,6.83,6.52,153039425972
600050.SH,中国联通,2010-01-21,6.52,6.62,155371051575
600050.SH,中国联通,2010-01-22,6.53,6.58,154311221756
600050.SH,中国联通,2010-01-25,6.51,6.33,148588140729
600050.SH,中国联通,2010-01-26,6.35,6.24,146468481089
600050.SH,中国联通,2010-01-27,6.23,6.29,147528310909
600050.SH,中国联通,2010-01-28,6.30,6.33,148588140729
600050.SH,中国联通,2010-01-29,6.31,6.35,149012072657
600050.SH,中国联通,2010-02-01,6.28,6.09,142865059702
600050.SH,中国联通,2010-02-02,6.13,6.02,141381297955
600050.SH,中国联通,2010-02-03,6.05,6.10,143077025666
600050.SH,中国联通,2010-02-04,6.05,6.01,140957366027
600050.SH,中国联通,2010-02-05,5.89,5.85,137353944640
600050.SH,中国联通,2010-02-08,5.86,5.75,135022319036
600050.SH,中国联通,2010-02-09,5.76,5.77,135446250964
600050.SH,中国联通,2010-02-10,5.82,5.85,137353944640
600050.SH,中国联通,2010-02-11,5.86,5.91,138625740423
600050.SH,中国联通,2010-02-12,5.93,5.98,140321468135
600050.SH,中国联通,2010-02-22,5.99,5.88,137989842531
600050.SH,中国联通,2010-02-23,5.89,5.86,137565910604
600050.SH,中国联通,2010-02-24,5.83,5.95,139685570243
600050.SH,中国联通,2010-02-25,5.96,6.00,140745400063
600050.SH,中国联通,2010-02-26,5.99,6.07,142441127774
600050.SH,中国联通,2010-03-01,6.07,6.10,143077025666
