代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300335.SZ,迪森股份,2012-07-10,7.41,6.59,2293196431
300335.SZ,迪森股份,2012-07-11,6.17,6.30,2192764470
300335.SZ,迪森股份,2012-07-12,6.68,6.93,2411761940
300335.SZ,迪森股份,2012-07-13,6.65,6.71,2335043081
300335.SZ,迪森股份,2012-07-16,6.64,6.76,2351781741
300335.SZ,迪森股份,2012-07-17,6.57,6.51,2266693552
300335.SZ,迪森股份,2012-07-18,6.41,6.17,2148128044
300335.SZ,迪森股份,2012-07-19,6.07,6.29,2189974694
300335.SZ,迪森股份,2012-07-20,6.18,6.17,2146733155
300335.SZ,迪森股份,2012-07-23,6.05,6.38,2222057126
300335.SZ,迪森股份,2012-07-24,6.34,6.35,2209503131
300335.SZ,迪森股份,2012-07-25,6.30,6.56,2284827101
300335.SZ,迪森股份,2012-07-26,6.51,6.62,2305750426
300335.SZ,迪森股份,2012-07-27,6.60,6.34,2206713354
300335.SZ,迪森股份,2012-07-30,6.25,6.17,2148128044
300335.SZ,迪森股份,2012-07-31,6.16,6.10,2124414942
300335.SZ,迪森股份,2012-08-01,6.07,6.20,2159287150
300335.SZ,迪森股份,2012-08-02,6.16,6.27,2181605364
300335.SZ,迪森股份,2012-08-03,6.25,6.52,2268088441
300335.SZ,迪森股份,2012-08-06,6.42,6.60,2295986208
300335.SZ,迪森股份,2012-08-07,6.55,6.56,2283432213
300335.SZ,迪森股份,2012-08-08,6.55,6.30,2191369582
300335.SZ,迪森股份,2012-08-09,6.26,6.64,2311329979
300335.SZ,迪森股份,2012-08-10,6.62,6.49,2259719111
300335.SZ,迪森股份,2012-08-13,6.44,6.50,2262508887
300335.SZ,迪森股份,2012-08-14,6.51,6.70,2330858416
300335.SZ,迪森股份,2012-08-15,6.66,6.71,2335043081
300335.SZ,迪森股份,2012-08-16,6.66,6.52,2269483329
300335.SZ,迪森股份,2012-08-17,6.46,6.55,2279247548
300335.SZ,迪森股份,2012-08-20,6.49,6.51,2266693552
300335.SZ,迪森股份,2012-08-21,6.47,6.62,2304355538
300335.SZ,迪森股份,2012-08-22,6.84,6.69,2329463528
300335.SZ,迪森股份,2012-08-23,6.76,7.02,2445239260
300335.SZ,迪森股份,2012-08-24,6.96,6.58,2290406654
300335.SZ,迪森股份,2012-08-27,6.59,6.56,2284827101
300335.SZ,迪森股份,2012-08-28,6.57,6.60,2298775984
300335.SZ,迪森股份,2012-08-29,6.58,6.70,2330858416
300335.SZ,迪森股份,2012-08-30,6.66,6.50,2261113999
300335.SZ,迪森股份,2012-08-31,6.41,6.32,2198344024
300335.SZ,迪森股份,2012-09-03,6.25,6.41,2230426456
