代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600505.SH,西昌电力,2010-01-04,10.11,9.95,3758690925
600505.SH,西昌电力,2010-01-05,9.92,10.05,3798793350
600505.SH,西昌电力,2010-01-06,10.05,10.10,3817021725
600505.SH,西昌电力,2010-01-07,10.10,10.06,3802439025
600505.SH,西昌电力,2010-01-08,10.00,9.88,3733171200
600505.SH,西昌电力,2010-01-11,9.89,9.94,3755045250
600505.SH,西昌电力,2010-01-12,10.08,10.31,3897226575
600505.SH,西昌电力,2010-01-13,10.11,10.14,3831604425
600505.SH,西昌电力,2010-01-14,10.15,10.79,4075864650
600505.SH,西昌电力,2010-01-15,10.83,10.70,4043053575
600505.SH,西昌电力,2010-01-18,10.74,11.00,4156069500
600505.SH,西昌电力,2010-01-19,11.04,10.99,4152423825
600505.SH,西昌电力,2010-01-20,11.03,10.62,4013888175
600505.SH,西昌电力,2010-01-21,10.61,10.92,4126904100
600505.SH,西昌电力,2010-01-22,10.73,10.72,4050344925
600505.SH,西昌电力,2010-01-25,10.52,10.31,3897226575
600505.SH,西昌电力,2010-01-26,10.37,9.83,3714942825
600505.SH,西昌电力,2010-01-27,9.84,9.70,3663903375
600505.SH,西昌电力,2010-01-28,9.73,9.76,3689423100
600505.SH,西昌电力,2010-01-29,9.76,9.79,3700360125
600505.SH,西昌电力,2010-02-01,9.79,9.48,3583698525
600505.SH,西昌电力,2010-02-02,9.55,9.46,3576407175
600505.SH,西昌电力,2010-02-03,9.62,9.83,3714942825
600505.SH,西昌电力,2010-02-04,9.83,9.78,3696714450
600505.SH,西昌电力,2010-02-05,9.64,9.55,3609218250
600505.SH,西昌电力,2010-02-08,9.47,9.51,3594635550
600505.SH,西昌电力,2010-02-09,9.52,9.56,3612863925
600505.SH,西昌电力,2010-02-10,9.61,9.64,3642029325
600505.SH,西昌电力,2010-02-11,9.59,9.66,3649320675
600505.SH,西昌电力,2010-02-12,9.65,10.01,3784210650
600505.SH,西昌电力,2010-02-22,9.94,9.81,3707651475
600505.SH,西昌电力,2010-02-23,9.81,9.76,3689423100
600505.SH,西昌电力,2010-02-24,9.76,9.97,3765982275
600505.SH,西昌电力,2010-02-25,9.98,10.22,3860769825
600505.SH,西昌电力,2010-02-26,10.26,10.19,3849832800
600505.SH,西昌电力,2010-03-01,10.31,10.31,3897226575
600505.SH,西昌电力,2010-03-02,10.34,10.24,3868061175
600505.SH,西昌电力,2010-03-03,10.31,10.36,3915454950
600505.SH,西昌电力,2010-03-04,10.42,9.84,3718588500
600505.SH,西昌电力,2010-03-05,9.94,9.84,3718588500
600505.SH,西昌电力,2010-03-08,9.87,9.85,3722234175
600505.SH,西昌电力,2010-03-09,9.79,9.79,3700360125
600505.SH,西昌电力,2010-03-10,9.82,9.65,3645675000
600505.SH,西昌电力,2010-03-11,9.66,9.56,3612863925
600505.SH,西昌电力,2010-03-12,9.60,9.53,3601926900
600505.SH,西昌电力,2010-03-15,9.59,9.43,3561824475
600505.SH,西昌电力,2010-03-16,9.45,9.58,3620155275
600505.SH,西昌电力,2010-03-17,9.60,9.74,3682131750
600505.SH,西昌电力,2010-03-18,9.76,9.73,3674840400
