代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002309.SZ,中利集团,2010-01-04,16.33,16.40,8259645000
002309.SZ,中利集团,2010-01-05,16.44,17.24,8680170000
002309.SZ,中利集团,2010-01-06,17.09,16.91,8517300000
002309.SZ,中利集团,2010-01-07,16.86,17.31,8717550000
002309.SZ,中利集团,2010-01-08,17.38,17.58,8851050000
002309.SZ,中利集团,2010-01-11,17.36,18.27,9198150000
002309.SZ,中利集团,2010-01-12,18.34,18.55,9343665000
002309.SZ,中利集团,2010-01-13,18.35,19.46,9798900000
002309.SZ,中利集团,2010-01-14,19.36,19.46,9798900000
002309.SZ,中利集团,2010-01-15,19.46,19.48,9809580000
002309.SZ,中利集团,2010-01-18,19.46,19.46,9800235000
002309.SZ,中利集团,2010-01-19,19.37,19.32,9729480000
002309.SZ,中利集团,2010-01-20,19.21,18.00,9064650000
002309.SZ,中利集团,2010-01-21,17.92,18.00,9064650000
002309.SZ,中利集团,2010-01-22,17.76,17.12,8622765000
002309.SZ,中利集团,2010-01-25,17.04,17.06,8590725000
002309.SZ,中利集团,2010-01-26,17.18,16.65,8383800000
002309.SZ,中利集团,2010-01-27,16.65,16.67,8397150000
002309.SZ,中利集团,2010-01-28,16.52,16.40,8258310000
002309.SZ,中利集团,2010-01-29,16.36,16.84,8478585000
002309.SZ,中利集团,2010-02-01,16.70,16.99,8557350000
002309.SZ,中利集团,2010-02-02,17.18,16.74,8427855000
002309.SZ,中利集团,2010-02-03,16.70,16.53,8323725000
002309.SZ,中利集团,2010-02-04,16.44,16.35,8234280000
002309.SZ,中利集团,2010-02-05,15.96,15.90,8007330000
002309.SZ,中利集团,2010-02-08,15.88,16.20,8159520000
002309.SZ,中利集团,2010-02-09,16.07,16.38,8250300000
002309.SZ,中利集团,2010-02-10,16.46,16.70,8410500000
002309.SZ,中利集团,2010-02-11,16.67,16.94,8529315000
002309.SZ,中利集团,2010-02-12,16.93,17.83,8979210000
002309.SZ,中利集团,2010-02-22,17.93,17.63,8877750000
002309.SZ,中利集团,2010-02-23,17.63,17.97,9048630000
002309.SZ,中利集团,2010-02-24,17.91,18.43,9279585000
002309.SZ,中利集团,2010-02-25,18.50,18.29,9208830000
002309.SZ,中利集团,2010-02-26,18.13,17.89,9008580000
002309.SZ,中利集团,2010-03-01,18.03,18.36,9243540000
002309.SZ,中利集团,2010-03-02,18.24,17.94,9033945000
002309.SZ,中利集团,2010-03-03,17.92,17.92,9025935000
002309.SZ,中利集团,2010-03-04,17.97,17.02,8570700000
002309.SZ,中利集团,2010-03-05,17.07,16.97,8544000000
002309.SZ,中利集团,2010-03-08,17.03,17.52,8821680000
002309.SZ,中利集团,2010-03-09,17.47,17.36,8744250000
002309.SZ,中利集团,2010-03-10,17.30,17.19,8657475000
002309.SZ,中利集团,2010-03-11,17.20,17.85,8991225000
002309.SZ,中利集团,2010-03-12,17.88,17.88,9001905000
002309.SZ,中利集团,2010-03-15,17.76,18.06,9092685000
002309.SZ,中利集团,2010-03-16,18.03,17.64,8881755000
002309.SZ,中利集团,2010-03-17,17.64,18.06,9094020000
002309.SZ,中利集团,2010-03-18,18.06,17.95,9040620000
002309.SZ,中利集团,2010-03-19,17.97,18.08,9107370000
002309.SZ,中利集团,2010-03-22,18.21,18.04,9083340000
002309.SZ,中利集团,2010-03-23,18.04,18.15,9139410000
002309.SZ,中利集团,2010-03-24,18.10,18.64,9386385000
002309.SZ,中利集团,2010-03-25,18.64,18.64,9386385000
002309.SZ,中利集团,2010-03-26,18.82,18.75,9442455000
002309.SZ,中利集团,2010-03-29,18.76,18.43,9283590000
002309.SZ,中利集团,2010-03-30,18.40,18.59,9359685000
002309.SZ,中利集团,2010-03-31,18.73,19.13,9633360000
002309.SZ,中利集团,2010-04-01,19.18,19.34,9740160000
002309.SZ,中利集团,2010-04-02,19.35,19.25,9693435000
002309.SZ,中利集团,2010-04-06,19.22,19.72,9929730000
002309.SZ,中利集团,2010-04-07,19.78,20.23,10186050000
002309.SZ,中利集团,2010-04-08,20.74,20.28,10212750000
002309.SZ,中利集团,2010-04-09,20.33,20.79,10470405000
002309.SZ,中利集团,2010-04-12,20.79,20.79,10470405000
002309.SZ,中利集团,2010-04-13,21.18,19.09,9612000000
002309.SZ,中利集团,2010-04-14,19.07,19.30,9718800000
002309.SZ,中利集团,2010-04-15,19.32,18.11,9122055000
002309.SZ,中利集团,2010-04-16,18.13,18.25,9179460000
002309.SZ,中利集团,2010-04-19,18.26,17.54,8819010000
002309.SZ,中利集团,2010-04-20,17.45,17.12,8607546000
002309.SZ,中利集团,2010-04-21,17.01,18.07,9088146000
002309.SZ,中利集团,2010-04-22,17.99,18.43,9270774000
002309.SZ,中利集团,2010-04-23,18.35,18.06,9083340000
002309.SZ,中利集团,2010-04-26,17.92,17.77,8939160000
002309.SZ,中利集团,2010-04-27,17.75,16.77,8434530000
002309.SZ,中利集团,2010-04-28,16.68,16.68,8386470000
002309.SZ,中利集团,2010-04-29,16.72,15.92,8006796000
002309.SZ,中利集团,2010-04-30,15.96,15.19,7641540000
002309.SZ,中利集团,2010-05-04,14.90,15.03,7557435000
002309.SZ,中利集团,2010-05-05,14.90,15.65,7872228000
002309.SZ,中利集团,2010-05-06,15.63,14.93,7509375000
002309.SZ,中利集团,2010-05-07,14.61,14.41,7247448000
002309.SZ,中利集团,2010-05-10,14.41,14.41,7247448000
002309.SZ,中利集团,2010-05-11,14.76,14.29,7184970000
002309.SZ,中利集团,2010-05-12,14.14,14.11,7096059000
002309.SZ,中利集团,2010-05-13,14.25,14.54,7309926000
002309.SZ,中利集团,2010-05-14,14.43,14.51,7297911000
002309.SZ,中利集团,2010-05-17,14.34,13.42,6750027000
002309.SZ,中利集团,2010-05-18,13.40,13.66,6867774000
002309.SZ,中利集团,2010-05-19,13.66,13.73,6903819000
002309.SZ,中利集团,2010-05-20,13.63,13.57,6826923000
002309.SZ,中利集团,2010-05-21,13.16,13.98,7028775000
002309.SZ,中利集团,2010-05-24,13.98,14.93,7509375000
002309.SZ,中利集团,2010-05-25,14.95,14.33,7209000000
002309.SZ,中利集团,2010-05-26,14.33,14.38,7230627000
002309.SZ,中利集团,2010-05-27,14.34,14.62,7353180000
002309.SZ,中利集团,2010-05-28,14.75,14.55,7319538000
002309.SZ,中利集团,2010-05-31,14.40,13.85,6966297000
002309.SZ,中利集团,2010-06-01,13.70,13.58,6831729000
002309.SZ,中利集团,2010-06-02,13.53,13.86,6968700000
002309.SZ,中利集团,2010-06-03,14.10,13.89,6983118000
002309.SZ,中利集团,2010-06-04,13.86,14.30,7189776000
002309.SZ,中利集团,2010-06-07,13.94,15.04,7562241000
002309.SZ,中利集团,2010-06-08,15.04,15.10,7593480000
002309.SZ,中利集团,2010-06-09,15.34,15.43,7761690000
002309.SZ,中利集团,2010-06-10,15.38,15.24,7663167000
002309.SZ,中利集团,2010-06-11,15.27,15.44,7766496000
002309.SZ,中利集团,2010-06-17,15.53,14.91,7497360000
002309.SZ,中利集团,2010-06-18,14.81,13.98,7031178000
002309.SZ,中利集团,2010-06-21,14.05,14.52,7302717000
002309.SZ,中利集团,2010-06-22,14.55,14.80,7444494000
002309.SZ,中利集团,2010-06-23,14.80,14.63,7355583000
002309.SZ,中利集团,2010-06-24,14.62,14.76,7422867000
002309.SZ,中利集团,2010-06-25,14.72,15.53,7809750000
002309.SZ,中利集团,2010-06-28,15.51,15.29,7687197000
002309.SZ,中利集团,2010-06-29,15.34,14.17,7127298000
002309.SZ,中利集团,2010-06-30,13.91,14.23,7156134000
002309.SZ,中利集团,2010-07-01,14.19,13.72,6899013000
002309.SZ,中利集团,2010-07-02,13.80,13.83,6956685000
002309.SZ,中利集团,2010-07-05,13.57,13.75,6915834000
002309.SZ,中利集团,2010-07-06,13.75,14.09,7086447000
002309.SZ,中利集团,2010-07-07,14.04,14.12,7100865000
002309.SZ,中利集团,2010-07-08,14.14,13.88,6980715000
002309.SZ,中利集团,2010-07-09,13.88,14.41,7247448000
002309.SZ,中利集团,2010-07-12,14.36,14.42,7252254000
002309.SZ,中利集团,2010-07-13,14.38,14.07,7076835000
002309.SZ,中利集团,2010-07-14,14.19,14.13,7108074000
002309.SZ,中利集团,2010-07-15,14.11,13.75,6913431000
002309.SZ,中利集团,2010-07-16,13.71,13.96,7021566000
002309.SZ,中利集团,2010-07-19,13.85,14.22,7153731000
002309.SZ,中利集团,2010-07-20,14.22,14.91,7499763000
002309.SZ,中利集团,2010-07-21,14.87,14.76,7422867000
002309.SZ,中利集团,2010-07-22,14.75,15.03,7559838000
002309.SZ,中利集团,2010-07-23,15.02,15.03,7557435000
002309.SZ,中利集团,2010-07-26,15.03,15.24,7665570000
002309.SZ,中利集团,2010-07-27,15.24,15.42,7754481000
002309.SZ,中利集团,2010-07-28,15.36,15.59,7838586000
002309.SZ,中利集团,2010-07-29,15.59,15.59,7838586000
002309.SZ,中利集团,2010-07-30,15.59,14.96,7523793000
002309.SZ,中利集团,2010-08-02,14.96,15.08,7581465000
002309.SZ,中利集团,2010-08-03,15.10,15.27,7679988000
002309.SZ,中利集团,2010-08-04,15.27,15.29,7687197000
002309.SZ,中利集团,2010-08-05,15.34,15.62,7857810000
002309.SZ,中利集团,2010-08-06,15.65,16.68,8386470000
002309.SZ,中利集团,2010-08-09,16.68,16.75,8424918000
002309.SZ,中利集团,2010-08-10,16.77,16.11,8100513000
002309.SZ,中利集团,2010-08-11,15.98,16.17,8131752000
002309.SZ,中利集团,2010-08-12,16.04,15.62,7853004000
002309.SZ,中利集团,2010-08-13,15.62,15.94,8016408000
002309.SZ,中利集团,2010-08-16,16.36,16.39,8244693000
002309.SZ,中利集团,2010-08-17,16.39,16.40,8249499000
002309.SZ,中利集团,2010-08-18,16.47,16.22,8155782000
002309.SZ,中利集团,2010-08-19,16.22,15.96,8026020000
002309.SZ,中利集团,2010-08-20,15.96,16.00,8045244000
002309.SZ,中利集团,2010-08-23,16.01,15.68,7884243000
002309.SZ,中利集团,2010-08-24,15.68,15.69,7889049000
002309.SZ,中利集团,2010-08-25,15.61,15.09,7591077000
002309.SZ,中利集团,2010-08-26,15.10,15.22,7655958000
002309.SZ,中利集团,2010-08-27,15.21,15.38,7735257000
002309.SZ,中利集团,2010-08-30,15.46,15.68,7884243000
002309.SZ,中利集团,2010-08-31,15.62,15.74,7915482000
002309.SZ,中利集团,2010-09-01,15.76,16.00,8047647000
002309.SZ,中利集团,2010-09-02,16.03,16.12,8105319000
002309.SZ,中利集团,2010-09-03,16.12,16.03,8062065000
002309.SZ,中利集团,2010-09-06,15.95,15.57,7831377000
002309.SZ,中利集团,2010-09-07,15.57,15.77,7929900000
002309.SZ,中利集团,2010-09-08,15.77,16.08,8088498000
002309.SZ,中利集团,2010-09-09,16.19,15.61,7850601000
002309.SZ,中利集团,2010-09-10,15.60,15.55,7819362000
002309.SZ,中利集团,2010-09-13,15.45,16.05,8074080000
002309.SZ,中利集团,2010-09-14,16.06,15.92,8006796000
002309.SZ,中利集团,2010-09-15,15.91,15.43,7761690000
002309.SZ,中利集团,2010-09-16,15.43,14.74,7413255000
002309.SZ,中利集团,2010-09-17,14.76,14.55,7319538000
002309.SZ,中利集团,2010-09-20,14.57,14.48,7283493000
002309.SZ,中利集团,2010-09-21,14.52,14.62,7353180000
002309.SZ,中利集团,2010-09-27,14.64,14.76,7425270000
002309.SZ,中利集团,2010-09-28,14.81,14.23,7156134000
002309.SZ,中利集团,2010-09-29,14.22,13.77,6923043000
002309.SZ,中利集团,2010-09-30,13.77,13.90,6992730000
002309.SZ,中利集团,2010-10-08,14.00,14.24,7163343000
002309.SZ,中利集团,2010-10-11,14.25,14.50,7290702000
002309.SZ,中利集团,2010-10-12,14.50,14.32,7204194000
002309.SZ,中利集团,2010-10-13,14.30,14.55,7319538000
002309.SZ,中利集团,2010-10-14,14.57,14.09,7084044000
002309.SZ,中利集团,2010-10-15,14.07,13.81,6947073000
002309.SZ,中利集团,2010-10-18,13.79,14.54,7309926000
002309.SZ,中利集团,2010-10-19,14.52,14.93,7509375000
002309.SZ,中利集团,2010-10-20,14.72,14.62,7350777000
002309.SZ,中利集团,2010-10-21,14.67,14.75,7420464000
002309.SZ,中利集团,2010-10-22,14.63,14.48,7283493000
002309.SZ,中利集团,2010-10-25,14.42,15.30,7694406000
002309.SZ,中利集团,2010-10-26,15.49,15.31,7699212000
002309.SZ,中利集团,2010-10-27,15.31,15.19,7641540000
002309.SZ,中利集团,2010-10-28,15.18,15.51,7797735000
002309.SZ,中利集团,2010-10-29,15.51,15.50,7792929000
