代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600481.SH,双良节能,2010-01-04,6.70,6.62,14169706202
600481.SH,双良节能,2010-01-05,6.60,6.71,14372227015
600481.SH,双良节能,2010-01-06,6.70,6.65,14223711752
600481.SH,双良节能,2010-01-07,6.59,6.51,13940182614
600481.SH,双良节能,2010-01-08,6.41,6.41,13730911108
600481.SH,双良节能,2010-01-11,6.53,6.24,13366373645
600481.SH,双良节能,2010-01-12,6.21,6.40,13690406945
600481.SH,双良节能,2010-01-13,6.26,6.34,13575645151
600481.SH,双良节能,2010-01-14,6.33,6.72,14378977709
600481.SH,双良节能,2010-01-15,6.81,6.97,14912282516
600481.SH,双良节能,2010-01-18,6.97,7.17,15351077610
600481.SH,双良节能,2010-01-19,7.16,7.10,15195811654
600481.SH,双良节能,2010-01-20,7.15,6.96,14898781128
600481.SH,双良节能,2010-01-21,7.06,7.21,15425335242
600481.SH,双良节能,2010-01-22,7.13,6.85,14662506847
600481.SH,双良节能,2010-01-25,6.79,6.77,14500490196
600481.SH,双良节能,2010-01-26,6.75,6.38,13656653476
600481.SH,双良节能,2010-01-27,6.28,6.35,13602647926
600481.SH,双良节能,2010-01-28,6.36,6.59,14115700652
600481.SH,双良节能,2010-01-29,6.55,6.59,14108949958
600481.SH,双良节能,2010-02-01,6.59,6.65,14243963834
600481.SH,双良节能,2010-02-02,6.81,6.69,14324972159
600481.SH,双良节能,2010-02-03,6.56,6.67,14270966609
600481.SH,双良节能,2010-02-04,6.69,6.87,14696260316
600481.SH,双良节能,2010-02-05,6.78,6.41,13724160414
600481.SH,双良节能,2010-02-08,6.47,6.23,13339370870
600481.SH,双良节能,2010-02-09,6.11,6.18,13231359770
600481.SH,双良节能,2010-02-10,6.18,6.29,13467634051
600481.SH,双良节能,2010-02-11,6.27,6.29,13454132664
600481.SH,双良节能,2010-02-12,6.29,6.30,13481135439
600481.SH,双良节能,2010-02-22,6.19,6.21,13285365320
600481.SH,双良节能,2010-02-23,6.24,6.27,13413628501
600481.SH,双良节能,2010-02-24,6.23,6.43,13764664577
600481.SH,双良节能,2010-02-25,6.47,6.51,13933431921
600481.SH,双良节能,2010-02-26,6.50,6.58,14081947183
600481.SH,双良节能,2010-03-01,6.59,6.62,14176456896
600481.SH,双良节能,2010-03-02,6.65,6.73,14412731178
600481.SH,双良节能,2010-03-03,6.79,6.95,14885279741
600481.SH,双良节能,2010-03-04,6.97,6.68,14297969384
600481.SH,双良节能,2010-03-05,6.69,6.53,13967185389
600481.SH,双良节能,2010-03-08,6.52,6.71,14358725628
600481.SH,双良节能,2010-03-09,6.68,6.64,14216961059
600481.SH,双良节能,2010-03-10,6.62,6.63,14183207590
600481.SH,双良节能,2010-03-11,6.63,6.54,14007689552
600481.SH,双良节能,2010-03-12,6.56,6.39,13670154864
600481.SH,双良节能,2010-03-15,6.30,6.24,13352872257
600481.SH,双良节能,2010-03-16,6.21,6.27,13413628501
600481.SH,双良节能,2010-03-17,6.28,6.47,13838922208
600481.SH,双良节能,2010-03-18,6.47,6.40,13690406945
600481.SH,双良节能,2010-03-19,6.40,6.60,14122451346
600481.SH,双良节能,2010-03-22,6.62,6.77,14493739503
600481.SH,双良节能,2010-03-23,6.73,6.79,14540994359
600481.SH,双良节能,2010-03-24,6.75,6.99,14966288066
600481.SH,双良节能,2010-03-25,6.94,6.85,14655756153
600481.SH,双良节能,2010-03-26,6.92,7.53,16120656699
600481.SH,双良节能,2010-03-29,7.68,7.53,16120656699
600481.SH,双良节能,2010-03-30,7.57,7.53,16113906005
600481.SH,双良节能,2010-03-31,7.55,7.61,16282673349
600481.SH,双良节能,2010-04-01,7.57,7.62,16302925430
600481.SH,双良节能,2010-04-02,7.67,7.81,16714717750
600481.SH,双良节能,2010-04-06,7.88,7.64,16343429593
600481.SH,双良节能,2010-04-07,7.58,7.73,16552701100
600481.SH,双良节能,2010-04-08,7.69,7.74,16566202487
600481.SH,双良节能,2010-04-09,7.74,7.74,16566202487
600481.SH,双良节能,2010-04-12,7.85,7.94,17004997581
600481.SH,双良节能,2010-04-13,7.96,7.82,16748471219
600481.SH,双良节能,2010-04-14,7.71,7.89,16896986481
600481.SH,双良节能,2010-04-15,7.86,7.61,16282673349
600481.SH,双良节能,2010-04-16,7.59,7.56,16174662249
600481.SH,双良节能,2010-04-19,7.54,7.51,16066651149
600481.SH,双良节能,2010-04-20,7.51,7.60,16275922655
600481.SH,双良节能,2010-04-21,7.73,8.15,17254773246
600481.SH,双良节能,2010-04-22,8.03,8.30,17570705714
600481.SH,双良节能,2010-04-23,8.26,8.47,17935243177
