代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000735.SZ,罗牛山,2010-01-04,6.20,6.14,5465619720
000735.SZ,罗牛山,2010-01-05,6.27,6.38,5685652720
000735.SZ,罗牛山,2010-01-06,6.42,6.25,5571235560
000735.SZ,罗牛山,2010-01-07,6.28,6.60,5879281760
000735.SZ,罗牛山,2010-01-08,6.50,6.58,5861679120
000735.SZ,罗牛山,2010-01-11,6.62,6.61,5888083080
000735.SZ,罗牛山,2010-01-12,6.52,6.56,5844076480
000735.SZ,罗牛山,2010-01-13,6.37,6.23,5553632920
000735.SZ,罗牛山,2010-01-14,6.22,6.31,5624043480
000735.SZ,罗牛山,2010-01-15,6.32,6.34,5650447440
000735.SZ,罗牛山,2010-01-18,6.43,6.98,6213731920
000735.SZ,罗牛山,2010-01-19,7.02,7.38,6574586040
000735.SZ,罗牛山,2010-01-20,7.39,7.44,6627393960
000735.SZ,罗牛山,2010-01-21,7.31,7.23,6442566240
000735.SZ,罗牛山,2010-01-22,7.15,7.04,6275341160
000735.SZ,罗牛山,2010-01-25,6.98,7.23,6442566240
000735.SZ,罗牛山,2010-01-26,7.23,7.66,6821023000
000735.SZ,罗牛山,2010-01-27,7.60,7.28,6486572840
000735.SZ,罗牛山,2010-01-28,7.15,8.01,7137870520
000735.SZ,罗牛山,2010-01-29,8.00,8.50,7569135200
000735.SZ,罗牛山,2010-02-01,8.56,9.35,8326048720
000735.SZ,罗牛山,2010-02-02,9.35,9.35,8326048720
000735.SZ,罗牛山,2010-02-03,10.25,10.29,9162174120
000735.SZ,罗牛山,2010-02-04,11.25,11.31,10077511400
000735.SZ,罗牛山,2010-02-05,12.45,11.31,10077511400
000735.SZ,罗牛山,2010-02-08,10.97,12.45,11089663200
000735.SZ,罗牛山,2010-02-09,12.45,12.45,11089663200
000735.SZ,罗牛山,2010-02-10,12.45,12.45,11089663200
000735.SZ,罗牛山,2010-02-11,12.45,12.45,11089663200
000735.SZ,罗牛山,2010-02-12,12.45,12.45,11089663200
000735.SZ,罗牛山,2010-02-22,12.45,12.45,11089663200
000735.SZ,罗牛山,2010-02-23,12.45,12.45,11089663200
000735.SZ,罗牛山,2010-02-24,11.87,11.47,10218332520
000735.SZ,罗牛山,2010-02-25,11.26,11.53,10271140440
000735.SZ,罗牛山,2010-02-26,11.26,11.04,9831074440
000735.SZ,罗牛山,2010-03-01,11.04,11.67,10394358920
000735.SZ,罗牛山,2010-03-02,11.44,11.16,9945491600
000735.SZ,罗牛山,2010-03-03,11.07,11.08,9866279720
000735.SZ,罗牛山,2010-03-04,11.16,10.39,9258988640
000735.SZ,罗牛山,2010-03-05,10.37,10.22,9100564880
000735.SZ,罗牛山,2010-03-08,10.16,10.30,9170975440
000735.SZ,罗牛山,2010-03-09,10.19,10.17,9056558280
000735.SZ,罗牛山,2010-03-10,10.17,10.30,9170975440
000735.SZ,罗牛山,2010-03-11,10.08,9.88,8801320000
000735.SZ,罗牛山,2010-03-12,9.88,9.89,8810121320
000735.SZ,罗牛山,2010-03-15,9.84,10.00,8906935840
