代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
688179.SH,阿拉丁,2020-10-26,48.00,45.06,4548059004
688179.SH,阿拉丁,2020-10-27,42.66,45.50,4592469700
688179.SH,阿拉丁,2020-10-28,44.00,42.00,4239202800
688179.SH,阿拉丁,2020-10-29,40.01,42.24,4263426816
688179.SH,阿拉丁,2020-10-30,41.79,43.30,4370416220
688179.SH,阿拉丁,2020-11-02,44.00,44.31,4472358954
688179.SH,阿拉丁,2020-11-03,43.75,43.70,4410789580
688179.SH,阿拉丁,2020-11-04,43.90,44.08,4449144272
688179.SH,阿拉丁,2020-11-05,44.55,43.01,4341145534
688179.SH,阿拉丁,2020-11-06,42.70,47.53,4797364502
688179.SH,阿拉丁,2020-11-09,48.20,55.00,5551337000
688179.SH,阿拉丁,2020-11-10,53.48,52.19,5267714146
688179.SH,阿拉丁,2020-11-11,51.40,51.34,5181920756
688179.SH,阿拉丁,2020-11-12,51.97,49.51,4997212634
688179.SH,阿拉丁,2020-11-13,49.52,57.88,5842025192
688179.SH,阿拉丁,2020-11-16,57.00,57.70,5823857180
688179.SH,阿拉丁,2020-11-17,58.36,67.16,6778687144
688179.SH,阿拉丁,2020-11-18,67.01,69.10,6974497940
688179.SH,阿拉丁,2020-11-19,67.34,67.35,6797864490
688179.SH,阿拉丁,2020-11-20,66.32,73.00,7368138200
688179.SH,阿拉丁,2020-11-23,70.65,69.76,7041113984
688179.SH,阿拉丁,2020-11-24,68.50,67.50,6813004500
688179.SH,阿拉丁,2020-11-25,66.01,66.79,6741341786
688179.SH,阿拉丁,2020-11-26,66.55,64.30,6490017620
688179.SH,阿拉丁,2020-11-27,63.89,63.61,6420373574
688179.SH,阿拉丁,2020-11-30,64.72,64.46,6506166964
688179.SH,阿拉丁,2020-12-01,63.10,64.38,6498092292
688179.SH,阿拉丁,2020-12-02,63.99,67.78,6841265852
688179.SH,阿拉丁,2020-12-03,67.00,63.80,6439550920
688179.SH,阿拉丁,2020-12-04,64.00,65.43,6604072362
688179.SH,阿拉丁,2020-12-07,65.43,67.86,6849340524
688179.SH,阿拉丁,2020-12-08,67.40,66.80,6742351120
688179.SH,阿拉丁,2020-12-09,65.50,61.95,6252824130
688179.SH,阿拉丁,2020-12-10,61.89,60.57,6113536038
688179.SH,阿拉丁,2020-12-11,59.58,62.30,6288150820
688179.SH,阿拉丁,2020-12-14,61.44,63.94,6453681596
688179.SH,阿拉丁,2020-12-15,65.02,65.65,6626277710
688179.SH,阿拉丁,2020-12-16,65.65,65.90,6651511060
688179.SH,阿拉丁,2020-12-17,66.50,67.00,6762537800
688179.SH,阿拉丁,2020-12-18,66.89,68.67,6931096578
688179.SH,阿拉丁,2020-12-21,68.70,71.85,7252064790
688179.SH,阿拉丁,2020-12-22,72.00,74.09,7478155606
688179.SH,阿拉丁,2020-12-23,73.92,75.86,7656807724
688179.SH,阿拉丁,2020-12-24,75.96,72.96,7364100864
688179.SH,阿拉丁,2020-12-25,72.27,76.17,7688097078
688179.SH,阿拉丁,2020-12-28,76.17,75.91,7661854394
688179.SH,阿拉丁,2020-12-29,76.10,69.85,7050197990
688179.SH,阿拉丁,2020-12-30,70.18,77.80,7852618520
688179.SH,阿拉丁,2020-12-31,77.73,79.80,8054485320

数据来源: Wind
