代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000504.SZ,ST生物,2010-01-04,8.20,8.27,2576716161
000504.SZ,ST生物,2010-01-05,8.27,8.41,2620336507
000504.SZ,ST生物,2010-01-06,8.43,8.50,2648378158
000504.SZ,ST生物,2010-01-07,8.45,8.15,2539327293
000504.SZ,ST生物,2010-01-08,8.10,8.31,2589179117
000504.SZ,ST生物,2010-01-11,8.31,8.70,2710692939
000504.SZ,ST生物,2010-01-12,8.76,8.75,2726271634
000504.SZ,ST生物,2010-01-13,8.58,8.84,2754313285
000504.SZ,ST生物,2010-01-14,8.94,9.16,2854016933
000504.SZ,ST生物,2010-01-15,9.10,9.06,2822859543
000504.SZ,ST生物,2010-01-18,9.06,9.07,2825975282
000504.SZ,ST生物,2010-01-19,9.08,8.94,2785470675
000504.SZ,ST生物,2010-01-20,8.94,8.35,2601642073
000504.SZ,ST生物,2010-01-21,8.22,8.40,2617220768
000504.SZ,ST生物,2010-01-22,8.24,8.10,2523748598
000504.SZ,ST生物,2010-01-25,8.00,8.13,2533095815
000504.SZ,ST生物,2010-01-26,8.10,7.74,2411581994
000504.SZ,ST生物,2010-01-27,7.73,7.66,2386656082
000504.SZ,ST生物,2010-01-28,7.68,7.80,2430276428
000504.SZ,ST生物,2010-01-29,7.79,7.75,2414697733
000504.SZ,ST生物,2010-02-01,7.73,8.04,2505054164
000504.SZ,ST生物,2010-02-02,8.05,7.91,2464549557
000504.SZ,ST生物,2010-02-03,7.88,8.02,2498822686
000504.SZ,ST生物,2010-02-04,8.00,8.32,2592294856
000504.SZ,ST生物,2010-02-05,8.08,8.08,2517517120
000504.SZ,ST生物,2010-02-08,8.06,8.17,2545558771
000504.SZ,ST生物,2010-02-09,8.22,8.15,2539327293
000504.SZ,ST生物,2010-02-10,8.21,8.17,2545558771
000504.SZ,ST生物,2010-02-11,8.17,8.37,2607873551
000504.SZ,ST生物,2010-02-12,8.32,8.40,2617220768
000504.SZ,ST生物,2010-02-22,8.30,8.26,2573600422
000504.SZ,ST生物,2010-02-23,8.33,8.35,2601642073
000504.SZ,ST生物,2010-02-24,8.28,8.53,2657725376
000504.SZ,ST生物,2010-02-25,8.53,8.69,2707577200
000504.SZ,ST生物,2010-02-26,8.66,8.76,2729387373
000504.SZ,ST生物,2010-03-01,8.70,9.08,2829091021
000504.SZ,ST生物,2010-03-02,9.11,9.18,2860248411
000504.SZ,ST生物,2010-03-03,9.17,9.54,2972415016
000504.SZ,ST生物,2010-03-04,9.54,9.85,3069002925
000504.SZ,ST生物,2010-03-05,9.85,9.55,2975530755
000504.SZ,ST生物,2010-03-08,9.62,10.04,3128201966
000504.SZ,ST生物,2010-03-09,9.85,10.00,3115739010
000504.SZ,ST生物,2010-03-10,9.95,10.28,3202979702
000504.SZ,ST生物,2010-03-11,10.20,10.30,3209211180
000504.SZ,ST生物,2010-03-12,10.32,9.81,3056539969
000504.SZ,ST生物,2010-03-15,9.80,9.36,2916331713
000504.SZ,ST生物,2010-03-16,9.37,9.75,3037845535
000504.SZ,ST生物,2010-03-17,9.90,10.73,3343187958
000504.SZ,ST生物,2010-03-18,10.73,10.73,3343187958
000504.SZ,ST生物,2010-03-19,11.37,11.33,3530132298
000504.SZ,ST生物,2010-03-22,11.10,11.47,3573752644
000504.SZ,ST生物,2010-03-23,11.34,11.45,3567521166
000504.SZ,ST生物,2010-03-24,11.35,11.09,3455354562
000504.SZ,ST生物,2010-03-25,10.96,11.11,3461586040
000504.SZ,ST生物,2010-03-26,11.18,11.31,3523900820
000504.SZ,ST生物,2010-03-29,11.42,11.31,3523900820
000504.SZ,ST生物,2010-03-30,11.20,11.86,3695266466
000504.SZ,ST生物,2010-03-31,11.76,12.54,3907136719
000504.SZ,ST生物,2010-04-01,12.54,12.44,3875979328
000504.SZ,ST生物,2010-04-02,12.35,12.38,3857284894
000504.SZ,ST生物,2010-04-06,12.38,12.38,3857284894
000504.SZ,ST生物,2010-04-07,12.62,12.27,3823011765
000504.SZ,ST生物,2010-04-08,12.15,12.12,3776275680
000504.SZ,ST生物,2010-04-09,12.15,12.24,3813664548
000504.SZ,ST生物,2010-04-12,12.24,12.69,3953872804
000504.SZ,ST生物,2010-04-13,12.59,12.43,3872863589
000504.SZ,ST生物,2010-04-14,12.43,12.62,3932062631
000504.SZ,ST生物,2010-04-15,12.60,12.00,3738886812
000504.SZ,ST生物,2010-04-16,12.10,12.07,3760696985
000504.SZ,ST生物,2010-04-19,11.97,11.85,3692150727
000504.SZ,ST生物,2010-04-20,11.80,11.95,3723308117
000504.SZ,ST生物,2010-04-21,11.88,12.20,3801201592
000504.SZ,ST生物,2010-04-22,12.20,12.20,3801201592
000504.SZ,ST生物,2010-04-23,11.59,11.59,3611141513
000504.SZ,ST生物,2010-04-26,11.50,11.13,3467817518
000504.SZ,ST生物,2010-04-27,11.01,11.22,3495859169
000504.SZ,ST生物,2010-04-28,11.23,11.24,3502090647
000504.SZ,ST生物,2010-04-29,11.24,10.68,3327609263
000504.SZ,ST生物,2010-04-30,10.20,10.15,3162475095
000504.SZ,ST生物,2010-05-04,9.79,10.66,3321377785
000504.SZ,ST生物,2010-05-05,10.80,11.19,3486511952
000504.SZ,ST生物,2010-05-06,11.20,10.63,3312030568
000504.SZ,ST生物,2010-05-07,10.14,10.72,3340072219
000504.SZ,ST生物,2010-05-10,10.77,10.67,3324493524
000504.SZ,ST生物,2010-05-11,10.77,10.99,3424197172
000504.SZ,ST生物,2010-05-12,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-13,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-14,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-17,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-18,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-19,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-20,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-21,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-24,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-25,10.99,10.99,3424197172
000504.SZ,ST生物,2010-05-26,10.44,10.44,3252831526
000504.SZ,ST生物,2010-05-27,9.92,9.92,3090813098
000504.SZ,ST生物,2010-05-28,9.42,9.42,2935026147
000504.SZ,ST生物,2010-05-31,9.00,8.95,2788586414
000504.SZ,ST生物,2010-06-01,8.89,8.67,2701345722
000504.SZ,ST生物,2010-06-02,8.59,9.10,2835322499
000504.SZ,ST生物,2010-06-03,9.15,8.94,2785470675
000504.SZ,ST生物,2010-06-04,8.95,9.03,2813512326
000504.SZ,ST生物,2010-06-07,8.90,8.97,2794817892
000504.SZ,ST生物,2010-06-08,9.04,9.03,2813512326
000504.SZ,ST生物,2010-06-09,9.03,9.16,2854016933
000504.SZ,ST生物,2010-06-10,9.15,9.31,2900753018
000504.SZ,ST生物,2010-06-11,9.32,9.64,3003572406
000504.SZ,ST生物,2010-06-17,9.76,9.70,3022266840
000504.SZ,ST生物,2010-06-18,9.65,9.65,3006688145
000504.SZ,ST生物,2010-06-21,9.65,9.80,3053424230
000504.SZ,ST生物,2010-06-22,9.80,9.65,3006688145
000504.SZ,ST生物,2010-06-23,9.65,9.65,3006688145
000504.SZ,ST生物,2010-06-24,9.65,9.65,3006688145
000504.SZ,ST生物,2010-06-25,9.65,9.65,3006688145
000504.SZ,ST生物,2010-06-28,9.65,9.65,3006688145
000504.SZ,ST生物,2010-06-29,9.65,9.65,3006688145
000504.SZ,ST生物,2010-06-30,9.65,9.65,3006688145
000504.SZ,ST生物,2010-07-01,9.65,9.65,3006688145
000504.SZ,ST生物,2010-07-02,9.65,9.65,3006688145
000504.SZ,ST生物,2010-07-05,9.65,9.65,3006688145
000504.SZ,ST生物,2010-07-06,9.65,9.65,3006688145
000504.SZ,ST生物,2010-07-07,9.65,9.65,3006688145
000504.SZ,ST生物,2010-07-08,10.13,9.17,2857132672
000504.SZ,ST生物,2010-07-09,8.91,8.84,2754313285
000504.SZ,ST生物,2010-07-12,8.83,8.78,2735618851
000504.SZ,ST生物,2010-07-13,8.75,8.90,2773007719
000504.SZ,ST生物,2010-07-14,8.84,8.85,2757429024
000504.SZ,ST生物,2010-07-15,8.86,8.41,2620336507
000504.SZ,ST生物,2010-07-16,8.20,8.29,2582947639
000504.SZ,ST生物,2010-07-19,8.21,8.37,2607873551
000504.SZ,ST生物,2010-07-20,8.38,8.57,2670188332
000504.SZ,ST生物,2010-07-21,8.56,8.58,2673304071
000504.SZ,ST生物,2010-07-22,8.58,8.58,2673304071
000504.SZ,ST生物,2010-07-23,8.60,8.63,2688882766
000504.SZ,ST生物,2010-07-26,8.66,8.76,2729387373
000504.SZ,ST生物,2010-07-27,8.73,8.67,2701345722
000504.SZ,ST生物,2010-07-28,8.63,8.83,2751197546
000504.SZ,ST生物,2010-07-29,8.81,8.90,2773007719
000504.SZ,ST生物,2010-07-30,8.86,9.03,2813512326
000504.SZ,ST生物,2010-08-02,9.00,9.07,2825975282
000504.SZ,ST生物,2010-08-03,9.08,8.80,2741850329
