代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000415.SZ,渤海租赁,2010-01-04,3.30,3.20,2609918397
000415.SZ,渤海租赁,2010-01-05,3.20,3.36,2742066164
000415.SZ,渤海租赁,2010-01-06,3.36,3.31,2700019148
000415.SZ,渤海租赁,2010-01-07,3.30,3.21,2621931831
000415.SZ,渤海租赁,2010-01-08,3.17,3.48,2838173631
000415.SZ,渤海租赁,2010-01-11,3.44,3.44,2802133331
000415.SZ,渤海租赁,2010-01-12,3.42,3.42,2787116540
000415.SZ,渤海租赁,2010-01-13,3.31,3.34,2727049373
000415.SZ,渤海租赁,2010-01-14,3.34,3.36,2739062806
000415.SZ,渤海租赁,2010-01-15,3.38,3.45,2817150123
000415.SZ,渤海租赁,2010-01-18,3.43,3.53,2883224006
000415.SZ,渤海租赁,2010-01-19,3.55,3.49,2847183706
000415.SZ,渤海租赁,2010-01-20,3.50,3.41,2784113181
000415.SZ,渤海租赁,2010-01-21,3.38,3.35,2733056089
000415.SZ,渤海租赁,2010-01-22,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-01-25,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-01-26,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-01-27,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-01-28,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-01-29,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-01,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-02,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-03,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-04,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-05,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-08,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-09,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-10,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-11,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-12,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-22,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-23,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-24,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-25,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-02-26,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-01,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-02,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-03,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-04,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-05,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-08,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-09,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-10,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-11,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-12,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-15,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-16,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-17,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-18,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-19,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-22,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-23,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-24,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-25,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-26,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-29,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-30,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-03-31,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-01,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-02,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-06,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-07,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-08,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-09,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-12,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-13,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-14,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-15,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-16,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-19,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-20,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-21,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-22,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-23,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-26,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-27,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-28,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-29,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-04-30,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-04,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-05,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-06,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-07,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-10,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-11,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-12,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-13,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-14,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-17,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-18,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-19,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-20,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-21,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-24,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-25,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-26,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-27,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-28,3.35,3.35,2733056089
000415.SZ,渤海租赁,2010-05-31,3.52,3.52,2871210573
000415.SZ,渤海租赁,2010-06-01,3.70,3.70,3015371773
000415.SZ,渤海租赁,2010-06-02,3.88,3.88,3165539690
000415.SZ,渤海租赁,2010-06-03,4.08,3.69,3006361698
000415.SZ,渤海租赁,2010-06-04,3.50,3.50,2856193781
000415.SZ,渤海租赁,2010-06-07,3.33,3.33,2718039298
000415.SZ,渤海租赁,2010-06-08,3.34,3.34,2724046014
000415.SZ,渤海租赁,2010-06-09,3.35,3.26,2657972131
000415.SZ,渤海租赁,2010-06-10,3.19,3.25,2651965414
000415.SZ,渤海租赁,2010-06-11,3.30,3.29,2681998998
000415.SZ,渤海租赁,2010-06-17,3.30,3.21,2618928472
000415.SZ,渤海租赁,2010-06-18,3.23,3.05,2486780706
000415.SZ,渤海租赁,2010-06-21,2.90,3.02,2462753839
000415.SZ,渤海租赁,2010-06-22,2.98,3.04,2477770630
000415.SZ,渤海租赁,2010-06-23,3.04,3.09,2516814289
000415.SZ,渤海租赁,2010-06-24,3.11,3.24,2642955339
000415.SZ,渤海租赁,2010-06-25,3.24,3.28,2672988923
000415.SZ,渤海租赁,2010-06-28,3.30,3.21,2615925114
000415.SZ,渤海租赁,2010-06-29,3.22,3.05,2483777347
000415.SZ,渤海租赁,2010-06-30,2.96,2.89,2360639655
000415.SZ,渤海租赁,2010-07-01,2.86,2.87,2342619505
000415.SZ,渤海租赁,2010-07-02,2.91,2.78,2267535547
000415.SZ,渤海租赁,2010-07-05,2.75,2.80,2285555697
000415.SZ,渤海租赁,2010-07-06,2.77,2.85,2327602714
000415.SZ,渤海租赁,2010-07-07,2.81,2.92,2381663164
000415.SZ,渤海租赁,2010-07-08,2.98,2.93,2387669880
000415.SZ,渤海租赁,2010-07-09,2.91,3.07,2507804214
000415.SZ,渤海租赁,2010-07-12,3.07,3.12,2543844514
000415.SZ,渤海租赁,2010-07-13,3.06,3.17,2588894889
000415.SZ,渤海租赁,2010-07-14,3.15,3.13,2555857947
000415.SZ,渤海租赁,2010-07-15,3.13,3.09,2519817647
000415.SZ,渤海租赁,2010-07-16,3.07,3.03,2468760555
000415.SZ,渤海租赁,2010-07-19,3.02,3.07,2501797497
000415.SZ,渤海租赁,2010-07-20,3.09,3.14,2564868022
000415.SZ,渤海租赁,2010-07-21,3.13,3.12,2546847872
000415.SZ,渤海租赁,2010-07-22,3.24,3.28,2672988923
000415.SZ,渤海租赁,2010-07-23,3.42,3.22,2627938548
000415.SZ,渤海租赁,2010-07-26,3.20,3.24,2645958698
000415.SZ,渤海租赁,2010-07-27,3.27,3.18,2591898247
000415.SZ,渤海租赁,2010-07-28,3.16,3.23,2633945264
000415.SZ,渤海租赁,2010-07-29,3.23,3.34,2721042656
000415.SZ,渤海租赁,2010-07-30,3.34,3.44,2805136690
000415.SZ,渤海租赁,2010-08-02,3.45,3.53,2883224006
000415.SZ,渤海租赁,2010-08-03,3.54,3.51,2865203856
000415.SZ,渤海租赁,2010-08-04,3.49,3.55,2895237440
000415.SZ,渤海租赁,2010-08-05,3.56,3.67,2994348265
000415.SZ,渤海租赁,2010-08-06,3.67,3.67,2994348265
000415.SZ,渤海租赁,2010-08-09,3.79,3.75,3060422148
000415.SZ,渤海租赁,2010-08-10,3.78,3.94,3210590065
000415.SZ,渤海租赁,2010-08-11,4.01,3.99,3255640441
000415.SZ,渤海租赁,2010-08-12,3.94,3.91,3186563199
000415.SZ,渤海租赁,2010-08-13,3.88,3.94,3213593424
000415.SZ,渤海租赁,2010-08-16,3.90,3.98,3249633724
000415.SZ,渤海租赁,2010-08-17,3.98,3.90,3177553124
000415.SZ,渤海租赁,2010-08-18,3.90,3.84,3132502749
000415.SZ,渤海租赁,2010-08-19,3.84,3.83,3126496032
000415.SZ,渤海租赁,2010-08-20,3.82,3.82,3117485957
000415.SZ,渤海租赁,2010-08-23,3.86,3.96,3228610216
000415.SZ,渤海租赁,2010-08-24,3.97,3.96,3228610216
000415.SZ,渤海租赁,2010-08-25,3.93,3.99,3252637082
000415.SZ,渤海租赁,2010-08-26,4.01,4.12,3360757982
000415.SZ,渤海租赁,2010-08-27,4.11,4.12,3357754624
000415.SZ,渤海租赁,2010-08-30,4.15,4.13,3369768057
000415.SZ,渤海租赁,2010-08-31,4.12,4.02,3279667307
000415.SZ,渤海租赁,2010-09-01,4.02,3.95,3219600140
000415.SZ,渤海租赁,2010-09-02,3.96,3.95,3225606857
000415.SZ,渤海租赁,2010-09-03,3.96,4.01,3273660591
000415.SZ,渤海租赁,2010-09-06,4.01,3.94,3216596782
000415.SZ,渤海租赁,2010-09-07,3.93,3.88,3168543049
000415.SZ,渤海租赁,2010-09-08,3.90,4.05,3306697532
000415.SZ,渤海租赁,2010-09-09,4.04,3.98,3243627007
000415.SZ,渤海租赁,2010-09-10,3.98,3.97,3237620291
000415.SZ,渤海租赁,2010-09-13,3.98,4.08,3327721041
000415.SZ,渤海租赁,2010-09-14,4.07,4.05,3303694174
000415.SZ,渤海租赁,2010-09-15,4.06,3.95,3219600140
000415.SZ,渤海租赁,2010-09-16,3.90,3.76,3063425507
000415.SZ,渤海租赁,2010-09-17,3.76,3.68,3003358340
000415.SZ,渤海租赁,2010-09-20,3.67,3.76,3069432223
000415.SZ,渤海租赁,2010-09-21,3.76,3.79,3087452374
000415.SZ,渤海租赁,2010-09-27,3.78,3.79,3093459090
000415.SZ,渤海租赁,2010-09-28,3.77,3.80,3102469165
000415.SZ,渤海租赁,2010-09-29,3.81,3.70,3021378490
000415.SZ,渤海租赁,2010-09-30,3.67,3.76,3063425507
000415.SZ,渤海租赁,2010-10-08,3.76,3.83,3120489315
000415.SZ,渤海租赁,2010-10-11,3.82,3.98,3243627007
000415.SZ,渤海租赁,2010-10-12,3.94,3.95,3222603499
000415.SZ,渤海租赁,2010-10-13,3.94,3.96,3228610216
000415.SZ,渤海租赁,2010-10-14,3.87,3.82,3114482599
000415.SZ,渤海租赁,2010-10-15,3.80,3.92,3198576632
000415.SZ,渤海租赁,2010-10-18,3.93,3.87,3153526257
000415.SZ,渤海租赁,2010-10-19,3.88,4.06,3312704249
000415.SZ,渤海租赁,2010-10-20,4.05,4.26,3477888958
000415.SZ,渤海租赁,2010-10-21,4.30,4.42,3607033366
000415.SZ,渤海租赁,2010-10-22,4.43,4.38,3573996425
000415.SZ,渤海租赁,2010-10-25,4.40,4.38,3570993066
000415.SZ,渤海租赁,2010-10-26,4.51,4.59,3745187850
000415.SZ,渤海租赁,2010-10-27,4.57,4.51,3676110608
000415.SZ,渤海租赁,2010-10-28,4.46,4.43,3610036725
000415.SZ,渤海租赁,2010-10-29,4.41,4.55,3709147550
000415.SZ,渤海租赁,2010-11-01,4.55,4.59,3745187850
000415.SZ,渤海租赁,2010-11-02,4.53,4.36,3558979633
000415.SZ,渤海租赁,2010-11-03,4.36,4.15,3381781491
000415.SZ,渤海租赁,2010-11-04,4.17,4.20,3426831866
000415.SZ,渤海租赁,2010-11-05,4.24,4.41,3598023291
000415.SZ,渤海租赁,2010-11-08,4.49,4.54,3703140833
000415.SZ,渤海租赁,2010-11-09,4.58,4.50,3670103891
000415.SZ,渤海租赁,2010-11-10,4.50,4.42,3607033366
000415.SZ,渤海租赁,2010-11-11,4.44,4.39,3583006500
000415.SZ,渤海租赁,2010-11-12,4.38,4.17,3402804999
000415.SZ,渤海租赁,2010-11-15,4.18,4.16,3390791566
000415.SZ,渤海租赁,2010-11-16,4.18,4.04,3291680741
000415.SZ,渤海租赁,2010-11-17,4.08,4.04,3291680741
