代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603300.SH,华铁应急,2015-05-29,4.21,4.21,2399612800
603300.SH,华铁应急,2015-06-01,4.63,4.63,2638763400
603300.SH,华铁应急,2015-06-02,5.10,5.10,2902234400
603300.SH,华铁应急,2015-06-03,5.61,5.61,3192052500
603300.SH,华铁应急,2015-06-04,6.17,6.17,3512271100
603300.SH,华铁应急,2015-06-05,6.78,6.78,3862890200
603300.SH,华铁应急,2015-06-08,7.46,7.46,4249989900
603300.SH,华铁应急,2015-06-09,8.21,8.21,4675596900
603300.SH,华铁应急,2015-06-10,9.03,9.03,5143764600
603300.SH,华铁应急,2015-06-11,9.94,9.94,5658546400
603300.SH,华铁应急,2015-06-12,10.93,10.93,6223995700
603300.SH,华铁应急,2015-06-15,12.02,12.02,6846192600
603300.SH,华铁应急,2015-06-16,13.23,13.23,7531217200
603300.SH,华铁应急,2015-06-17,14.55,14.55,8285149600
603300.SH,华铁应急,2015-06-18,13.41,13.09,7456229300
603300.SH,华铁应急,2015-06-19,11.78,11.78,6710403700
603300.SH,华铁应急,2015-06-23,11.28,10.84,6171301500
603300.SH,华铁应急,2015-06-24,11.03,10.71,6100367000
603300.SH,华铁应急,2015-06-25,10.61,9.84,5603825500
603300.SH,华铁应急,2015-06-26,9.54,8.86,5044456300
603300.SH,华铁应急,2015-06-29,9.03,7.97,4539808000
603300.SH,华铁应急,2015-06-30,7.76,8.68,4943121300
603300.SH,华铁应急,2015-07-01,8.25,8.25,4695863900
603300.SH,华铁应急,2015-07-02,8.31,7.42,4225669500
603300.SH,华铁应急,2015-07-03,7.13,6.71,3822356200
603300.SH,华铁应急,2015-07-06,7.39,7.39,4205402500
603300.SH,华铁应急,2015-07-07,6.77,6.65,3785875600
603300.SH,华铁应急,2015-07-08,5.98,5.98,3406882700
603300.SH,华铁应急,2015-07-09,5.38,6.58,3747368300
603300.SH,华铁应急,2015-07-10,6.76,7.24,4122307800
603300.SH,华铁应急,2015-07-13,7.96,7.96,4533727900
603300.SH,华铁应急,2015-07-14,8.19,8.20,4671543500
603300.SH,华铁应急,2015-07-15,7.86,7.39,4205402500
603300.SH,华铁应急,2015-07-16,6.73,7.22,4114201000
603300.SH,华铁应急,2015-07-17,7.27,7.68,4373618600
603300.SH,华铁应急,2015-07-20,7.67,7.65,4357405000
603300.SH,华铁应急,2015-07-21,7.55,8.23,4685730400
603300.SH,华铁应急,2015-07-22,8.08,8.42,4795172200
603300.SH,华铁应急,2015-07-23,8.40,9.26,5275500100
603300.SH,华铁应急,2015-07-24,9.50,9.03,5143764600
603300.SH,华铁应急,2015-07-27,8.54,8.13,4628982800
603300.SH,华铁应急,2015-07-28,7.34,7.33,4172975300
603300.SH,华铁应急,2015-07-29,7.60,8.06,4590475500
603300.SH,华铁应急,2015-07-30,8.15,8.23,4683703700
603300.SH,华铁应急,2015-07-31,7.90,9.05,5151871400
603300.SH,华铁应急,2015-08-03,9.35,9.95,5666653200
603300.SH,华铁应急,2015-08-04,10.21,9.54,5431556000
603300.SH,华铁应急,2015-08-05,9.03,10.49,5974711600
603300.SH,华铁应急,2015-08-06,11.10,11.54,6572588100
603300.SH,华铁应急,2015-08-07,10.68,11.50,6546241000
603300.SH,华铁应急,2015-08-10,11.21,11.60,6607042000
603300.SH,华铁应急,2015-08-11,11.39,12.04,6856326100
603300.SH,华铁应急,2015-08-12,11.75,10.88,6193595200
603300.SH,华铁应急,2015-08-13,10.50,10.66,6067939800
603300.SH,华铁应急,2015-08-14,10.76,10.90,6209808800
603300.SH,华铁应急,2015-08-17,10.62,10.27,5849056200
603300.SH,华铁应急,2015-08-18,10.31,9.34,5316034100
603300.SH,华铁应急,2015-08-19,9.13,9.71,5526810900
603300.SH,华铁应急,2015-08-20,9.52,9.19,5230912700
603300.SH,华铁应急,2015-08-21,8.83,8.27,4712077500
603300.SH,华铁应急,2015-08-24,7.90,7.45,4241883100
603300.SH,华铁应急,2015-08-25,6.71,6.71,3818302800
603300.SH,华铁应急,2015-08-26,6.96,7.37,4199322400
603300.SH,华铁应急,2015-08-27,7.49,7.85,4470900200
603300.SH,华铁应急,2015-08-28,7.76,8.18,4655329900
603300.SH,华铁应急,2015-08-31,8.00,7.36,4189188900
603300.SH,华铁应急,2015-09-01,7.14,6.62,3769662000
603300.SH,华铁应急,2015-09-02,6.20,6.27,3573072100
603300.SH,华铁应急,2015-09-07,6.48,6.51,3708861000
603300.SH,华铁应急,2015-09-08,6.36,7.16,4079747100
603300.SH,华铁应急,2015-09-09,7.40,7.47,4254043300
603300.SH,华铁应急,2015-09-10,7.12,7.50,4272283600
603300.SH,华铁应急,2015-09-11,7.67,8.25,4699917300
603300.SH,华铁应急,2015-09-14,8.83,7.51,4278363700
603300.SH,华铁应急,2015-09-15,6.97,7.39,4205402500
603300.SH,华铁应急,2015-09-16,7.47,8.13,4626956100
603300.SH,华铁应急,2015-09-17,8.19,7.72,4397939000
603300.SH,华铁应急,2015-09-18,7.77,7.81,4448606500
603300.SH,华铁应急,2015-09-21,7.58,8.24,4693837200
603300.SH,华铁应急,2015-09-22,8.19,9.07,5164031600
603300.SH,华铁应急,2015-09-23,9.03,9.39,5344407900
603300.SH,华铁应急,2015-09-24,9.39,9.39,5344407900
603300.SH,华铁应急,2015-09-25,9.39,9.39,5344407900
603300.SH,华铁应急,2015-09-28,9.39,9.39,5344407900
603300.SH,华铁应急,2015-09-29,9.39,9.39,5344407900
603300.SH,华铁应急,2015-09-30,9.39,9.39,5344407900
603300.SH,华铁应急,2015-10-08,9.39,9.39,5344407900
603300.SH,华铁应急,2015-10-09,9.39,9.39,5344407900
603300.SH,华铁应急,2015-10-12,9.39,9.39,5344407900
603300.SH,华铁应急,2015-10-13,9.39,9.39,5344407900
603300.SH,华铁应急,2015-10-14,9.39,9.39,5344407900
603300.SH,华铁应急,2015-10-15,9.39,9.39,5344407900
603300.SH,华铁应急,2015-10-16,9.39,9.39,5344407900
603300.SH,华铁应急,2015-10-19,10.32,10.32,5879456700
603300.SH,华铁应急,2015-10-20,11.36,11.36,6467199700
603300.SH,华铁应急,2015-10-21,11.85,11.08,6309117100
603300.SH,华铁应急,2015-10-22,10.86,11.26,6410452100
603300.SH,华铁应急,2015-10-23,11.10,11.61,6611095400
603300.SH,华铁应急,2015-10-26,11.39,10.64,6057806300
603300.SH,华铁应急,2015-10-27,10.60,10.49,5972684900
603300.SH,华铁应急,2015-10-28,10.49,9.94,5660573100
603300.SH,华铁应急,2015-10-29,9.95,10.06,5727454200
603300.SH,华铁应急,2015-10-30,9.97,10.06,5729480900
603300.SH,华铁应急,2015-11-02,9.82,10.24,5828789200
603300.SH,华铁应急,2015-11-03,10.14,10.33,5881483400
603300.SH,华铁应急,2015-11-04,10.37,10.79,6146981100
603300.SH,华铁应急,2015-11-05,10.94,10.67,6074019900
603300.SH,华铁应急,2015-11-06,10.49,11.00,6266556400
603300.SH,华铁应急,2015-11-09,10.86,11.10,6321277300
603300.SH,华铁应急,2015-11-10,11.00,10.88,6195621900
603300.SH,华铁应急,2015-11-11,10.82,11.97,6815792100
603300.SH,华铁应急,2015-11-12,12.10,12.50,7115743700
603300.SH,华铁应急,2015-11-13,12.04,11.25,6408425400
603300.SH,华铁应急,2015-11-16,10.91,11.30,6432745800
603300.SH,华铁应急,2015-11-17,11.42,10.91,6213862200
603300.SH,华铁应急,2015-11-18,10.83,10.32,5875403300
603300.SH,华铁应急,2015-11-19,10.32,10.74,6116580600
603300.SH,华铁应急,2015-11-20,10.71,10.68,6084153400
603300.SH,华铁应急,2015-11-23,10.68,10.74,6114553900
603300.SH,华铁应急,2015-11-24,10.69,11.28,6422612300
603300.SH,华铁应急,2015-11-25,11.28,11.29,6430719100
603300.SH,华铁应急,2015-11-26,11.30,12.42,7073183000
603300.SH,华铁应急,2015-11-27,12.46,12.07,6870513000
603300.SH,华铁应急,2015-11-30,11.89,13.27,7557564300
603300.SH,华铁应急,2015-12-01,13.84,12.82,7302200100
603300.SH,华铁应急,2015-12-02,12.53,11.89,6773231400
603300.SH,华铁应急,2015-12-03,11.92,12.68,7223158800
603300.SH,华铁应急,2015-12-04,12.40,12.85,7318413700
603300.SH,华铁应急,2015-12-07,12.84,12.71,7235319000
603300.SH,华铁应急,2015-12-08,12.71,12.09,6886726600
603300.SH,华铁应急,2015-12-09,11.99,12.23,6963741200
603300.SH,华铁应急,2015-12-10,12.10,12.34,7028595600
603300.SH,华铁应急,2015-12-11,12.09,12.42,7071156300
603300.SH,华铁应急,2015-12-14,12.14,13.66,7778474600
603300.SH,华铁应急,2015-12-15,13.38,13.90,7914263500
603300.SH,华铁应急,2015-12-16,13.79,14.39,8193948100
603300.SH,华铁应急,2015-12-17,14.44,14.75,8398644800
603300.SH,华铁应急,2015-12-18,14.59,15.20,8658062400
603300.SH,华铁应急,2015-12-21,15.31,15.05,8570914300
603300.SH,华铁应急,2015-12-22,14.66,16.56,9428208400
603300.SH,华铁应急,2015-12-23,16.59,17.06,9713973100
603300.SH,华铁应急,2015-12-24,17.18,17.26,9827468300
603300.SH,华铁应急,2015-12-25,17.08,18.34,10443585100
603300.SH,华铁应急,2015-12-28,18.41,16.51,9399834600
603300.SH,华铁应急,2015-12-29,16.07,17.17,9776800800
603300.SH,华铁应急,2015-12-30,17.19,17.39,9900429500
603300.SH,华铁应急,2015-12-31,17.48,17.13,9756533800
603300.SH,华铁应急,2016-01-04,16.83,16.55,9422128300
603300.SH,华铁应急,2016-01-05,15.97,17.79,10131473300
603300.SH,华铁应急,2016-01-06,17.62,19.57,11144823300
603300.SH,华铁应急,2016-01-07,18.92,17.61,10030138300
603300.SH,华铁应急,2016-01-08,18.33,18.79,10700976000
603300.SH,华铁应急,2016-01-11,18.36,16.91,9630878400
603300.SH,华铁应急,2016-01-12,16.79,16.55,9422128300
603300.SH,华铁应急,2016-01-13,16.66,16.08,9154603900
603300.SH,华铁应急,2016-01-14,15.13,16.27,9264045700
603300.SH,华铁应急,2016-01-15,16.63,15.04,8564834200
603300.SH,华铁应急,2016-01-18,14.88,15.19,8651982300
603300.SH,华铁应急,2016-01-19,15.58,15.87,9037055300
603300.SH,华铁应急,2016-01-20,15.91,16.91,9626825000
603300.SH,华铁应急,2016-01-21,16.59,15.22,8666169200
603300.SH,华铁应急,2016-01-22,15.80,15.66,8919506700
603300.SH,华铁应急,2016-01-25,15.52,15.67,8925586800
603300.SH,华铁应急,2016-01-26,15.40,14.39,8195974800
603300.SH,华铁应急,2016-01-27,14.49,12.96,7377188000
603300.SH,华铁应急,2016-01-28,12.74,11.66,6639469200
603300.SH,华铁应急,2016-01-29,11.37,11.57,6586775000
603300.SH,华铁应急,2016-02-01,11.39,10.66,6069966500
603300.SH,华铁应急,2016-02-02,10.61,11.01,6270609800
603300.SH,华铁应急,2016-02-03,10.93,11.30,6432745800
603300.SH,华铁应急,2016-02-04,11.35,11.62,6617175500
603300.SH,华铁应急,2016-02-05,11.74,11.03,6280743300
603300.SH,华铁应急,2016-02-15,10.78,11.46,6525974000
603300.SH,华铁应急,2016-02-16,11.50,12.47,7101556800
603300.SH,华铁应急,2016-02-17,12.28,12.37,7046835900
603300.SH,华铁应急,2016-02-18,12.44,12.17,6929287300
603300.SH,华铁应急,2016-02-19,12.16,12.15,6919153800
603300.SH,华铁应急,2016-02-22,12.34,12.34,7026568900
603300.SH,华铁应急,2016-02-23,12.40,12.07,6874566400
603300.SH,华铁应急,2016-02-24,12.07,12.28,6992115000
603300.SH,华铁应急,2016-02-25,12.29,11.05,6292903500
603300.SH,华铁应急,2016-02-26,11.03,10.69,6086180100
603300.SH,华铁应急,2016-02-29,10.69,9.62,5478170100
603300.SH,华铁应急,2016-03-01,9.65,9.82,5593692000
603300.SH,华铁应急,2016-03-02,9.82,10.45,5948364500
