代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000609.SZ,中迪投资,2010-01-04,11.93,11.78,3535412891
000609.SZ,中迪投资,2010-01-05,11.77,11.55,3463869966
000609.SZ,中迪投资,2010-01-06,11.44,11.63,3487717607
000609.SZ,中迪投资,2010-01-07,11.54,11.48,3443003279
000609.SZ,中迪投资,2010-01-08,11.48,11.69,3505603339
000609.SZ,中迪投资,2010-01-11,11.68,11.45,3434060413
000609.SZ,中迪投资,2010-01-12,11.43,11.62,3484736652
000609.SZ,中迪投资,2010-01-13,11.44,11.53,3457908055
000609.SZ,中迪投资,2010-01-14,11.48,11.62,3484736652
000609.SZ,中迪投资,2010-01-15,11.66,12.01,3603974861
000609.SZ,中迪投资,2010-01-18,12.02,12.04,3612917727
000609.SZ,中迪投资,2010-01-19,12.15,11.92,3577146264
000609.SZ,中迪投资,2010-01-20,11.85,11.58,3472812831
000609.SZ,中迪投资,2010-01-21,11.53,11.57,3469831876
000609.SZ,中迪投资,2010-01-22,11.43,11.33,3398288951
000609.SZ,中迪投资,2010-01-25,11.22,11.19,3356555578
000609.SZ,中迪投资,2010-01-26,11.19,10.63,3189622085
000609.SZ,中迪投资,2010-01-27,10.64,10.52,3156831578
000609.SZ,中迪投资,2010-01-28,10.48,10.61,3183660175
000609.SZ,中迪投资,2010-01-29,10.58,10.76,3228374503
000609.SZ,中迪投资,2010-02-01,10.63,10.77,3231355458
000609.SZ,中迪投资,2010-02-02,10.73,10.75,3225393548
000609.SZ,中迪投资,2010-02-03,10.66,11.03,3308860294
000609.SZ,中迪投资,2010-02-04,10.93,11.17,3350593667
000609.SZ,中迪投资,2010-02-05,10.91,10.81,3243279279
000609.SZ,中迪投资,2010-02-08,10.60,10.79,3237317369
000609.SZ,中迪投资,2010-02-09,10.69,10.78,3234336414
000609.SZ,中迪投资,2010-02-10,10.89,10.84,3252222145
000609.SZ,中迪投资,2010-02-11,10.84,10.89,3267126921
000609.SZ,中迪投资,2010-02-12,11.01,10.92,3276069787
000609.SZ,中迪投资,2010-02-22,10.93,10.93,3279050742
000609.SZ,中迪投资,2010-02-23,10.94,10.83,3249241190
000609.SZ,中迪投资,2010-02-24,10.74,11.05,3314822205
000609.SZ,中迪投资,2010-02-25,11.05,11.37,3410212772
000609.SZ,中迪投资,2010-02-26,11.33,11.25,3374441309
000609.SZ,中迪投资,2010-03-01,11.24,11.31,3392327040
000609.SZ,中迪投资,2010-03-02,11.23,11.54,3460889010
000609.SZ,中迪投资,2010-03-03,11.52,11.42,3425117548
000609.SZ,中迪投资,2010-03-04,11.43,10.86,3258184055
000609.SZ,中迪投资,2010-03-05,10.77,10.86,3258184055
000609.SZ,中迪投资,2010-03-08,10.84,11.04,3311841249
000609.SZ,中迪投资,2010-03-09,11.04,11.41,3422136593
000609.SZ,中迪投资,2010-03-10,11.47,11.12,3335688891
000609.SZ,中迪投资,2010-03-11,11.13,11.19,3356555578
000609.SZ,中迪投资,2010-03-12,11.14,10.98,3293955518
000609.SZ,中迪投资,2010-03-15,10.88,10.89,3267126921
000609.SZ,中迪投资,2010-03-16,10.80,10.93,3279050742
000609.SZ,中迪投资,2010-03-17,10.93,11.25,3374441309
000609.SZ,中迪投资,2010-03-18,11.23,11.31,3392327040
000609.SZ,中迪投资,2010-03-19,11.28,11.62,3484736652
000609.SZ,中迪投资,2010-03-22,11.63,11.58,3472812831
000609.SZ,中迪投资,2010-03-23,11.58,11.30,3389346085
000609.SZ,中迪投资,2010-03-24,11.35,11.34,3401269906
000609.SZ,中迪投资,2010-03-25,11.24,11.24,3371460354
000609.SZ,中迪投资,2010-03-26,11.31,11.47,3440022324
000609.SZ,中迪投资,2010-03-29,11.53,11.58,3472812831
000609.SZ,中迪投资,2010-03-30,11.63,11.50,3448965190
000609.SZ,中迪投资,2010-03-31,11.58,11.52,3454927100
000609.SZ,中迪投资,2010-04-01,11.53,11.77,3532431936
000609.SZ,中迪投资,2010-04-02,11.82,12.09,3627822503
000609.SZ,中迪投资,2010-04-06,12.10,11.85,3556279577
000609.SZ,中迪投资,2010-04-07,11.83,11.68,3502622384
000609.SZ,中迪投资,2010-04-08,11.68,11.68,3502622384
000609.SZ,中迪投资,2010-04-09,11.45,11.59,3475793787
000609.SZ,中迪投资,2010-04-12,11.56,11.10,3329726981
000609.SZ,中迪投资,2010-04-13,11.07,11.10,3329726981
000609.SZ,中迪投资,2010-04-14,11.10,11.27,3380403219
000609.SZ,中迪投资,2010-04-15,11.20,10.96,3287993608
000609.SZ,中迪投资,2010-04-16,10.91,10.79,3237317369
000609.SZ,中迪投资,2010-04-19,10.53,10.06,3016726683
000609.SZ,中迪投资,2010-04-20,10.05,9.84,2951145668
000609.SZ,中迪投资,2010-04-21,9.80,10.04,3010764772
000609.SZ,中迪投资,2010-04-22,10.02,10.13,3037593369
000609.SZ,中迪投资,2010-04-23,10.06,10.26,3079326742
000609.SZ,中迪投资,2010-04-26,10.12,9.86,2957107578
000609.SZ,中迪投资,2010-04-27,9.88,9.52,2855755101
000609.SZ,中迪投资,2010-04-28,9.43,9.64,2891526563
000609.SZ,中迪投资,2010-04-29,9.65,9.46,2837869369
000609.SZ,中迪投资,2010-04-30,9.46,9.44,2831907459
000609.SZ,中迪投资,2010-05-04,9.34,9.14,2742478802
000609.SZ,中迪投资,2010-05-05,9.12,9.31,2793155041
000609.SZ,中迪投资,2010-05-06,9.28,8.72,2617278683
000609.SZ,中迪投资,2010-05-07,8.54,8.74,2623240594
000609.SZ,中迪投资,2010-05-10,8.75,8.94,2682859698
000609.SZ,中迪投资,2010-05-11,9.09,8.62,2587469131
000609.SZ,中迪投资,2010-05-12,8.66,8.82,2647088235
000609.SZ,中迪投资,2010-05-13,8.76,8.85,2656031101
000609.SZ,中迪投资,2010-05-14,8.84,8.75,2626221549
000609.SZ,中迪投资,2010-05-17,8.64,7.88,2363897489
000609.SZ,中迪投资,2010-05-18,7.90,8.19,2456307101
000609.SZ,中迪投资,2010-05-19,8.09,7.93,2378802266
000609.SZ,中迪投资,2010-05-20,7.78,7.76,2328126027
000609.SZ,中迪投资,2010-05-21,7.55,7.96,2387745131
000609.SZ,中迪投资,2010-05-24,8.07,8.31,2492078564
000609.SZ,中迪投资,2010-05-25,8.20,8.09,2426497549
000609.SZ,中迪投资,2010-05-26,8.07,8.29,2486116653
000609.SZ,中迪投资,2010-05-27,8.20,8.29,2486116653
000609.SZ,中迪投资,2010-05-28,8.33,8.18,2453326146
000609.SZ,中迪投资,2010-05-31,8.14,7.82,2346011758
