代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600200.SH,江苏吴中,2010-01-04,5.13,5.08,3218292000
600200.SH,江苏吴中,2010-01-05,5.06,5.08,3218292000
600200.SH,江苏吴中,2010-01-06,5.07,5.09,3224529000
600200.SH,江苏吴中,2010-01-07,5.08,4.98,3155922000
600200.SH,江苏吴中,2010-01-08,4.98,5.03,3187107000
600200.SH,江苏吴中,2010-01-11,5.06,5.00,3168396000
600200.SH,江苏吴中,2010-01-12,4.98,5.08,3218292000
600200.SH,江苏吴中,2010-01-13,5.01,4.98,3155922000
600200.SH,江苏吴中,2010-01-14,4.98,5.14,3255714000
600200.SH,江苏吴中,2010-01-15,5.15,5.17,3274425000
600200.SH,江苏吴中,2010-01-18,5.12,5.31,3361743000
600200.SH,江苏吴中,2010-01-19,5.31,5.26,3330558000
600200.SH,江苏吴中,2010-01-20,5.27,5.06,3205818000
600200.SH,江苏吴中,2010-01-21,5.08,5.11,3237003000
600200.SH,江苏吴中,2010-01-22,5.08,4.97,3149685000
600200.SH,江苏吴中,2010-01-25,4.97,4.93,3124737000
600200.SH,江苏吴中,2010-01-26,4.93,4.64,2937627000
600200.SH,江苏吴中,2010-01-27,4.64,4.60,2912679000
600200.SH,江苏吴中,2010-01-28,4.60,4.65,2943864000
600200.SH,江苏吴中,2010-01-29,4.64,4.67,2956338000
600200.SH,江苏吴中,2010-02-01,4.67,4.61,2918916000
600200.SH,江苏吴中,2010-02-02,4.63,4.58,2900205000
600200.SH,江苏吴中,2010-02-03,4.59,4.64,2937627000
600200.SH,江苏吴中,2010-02-04,4.59,4.68,2962575000
600200.SH,江苏吴中,2010-02-05,4.56,4.57,2893968000
600200.SH,江苏吴中,2010-02-08,4.56,4.74,2999997000
600200.SH,江苏吴中,2010-02-09,4.69,4.72,2987523000
600200.SH,江苏吴中,2010-02-10,4.72,4.72,2987523000
600200.SH,江苏吴中,2010-02-11,4.74,4.68,2962575000
600200.SH,江苏吴中,2010-02-12,4.73,4.74,2999997000
600200.SH,江苏吴中,2010-02-22,4.74,4.73,2993760000
600200.SH,江苏吴中,2010-02-23,4.73,5.12,3243240000
600200.SH,江苏吴中,2010-02-24,5.06,5.12,3243240000
600200.SH,江苏吴中,2010-02-25,5.14,5.27,3336795000
600200.SH,江苏吴中,2010-02-26,5.26,5.21,3299373000
600200.SH,江苏吴中,2010-03-01,5.20,5.33,3374217000
600200.SH,江苏吴中,2010-03-02,5.33,5.29,3349269000
600200.SH,江苏吴中,2010-03-03,5.29,5.51,3492720000
600200.SH,江苏吴中,2010-03-04,5.48,5.28,3343032000
600200.SH,江苏吴中,2010-03-05,5.25,5.32,3367980000
600200.SH,江苏吴中,2010-03-08,5.32,5.47,3461535000
600200.SH,江苏吴中,2010-03-09,5.45,5.39,3411639000
600200.SH,江苏吴中,2010-03-10,5.39,5.26,3330558000
600200.SH,江苏吴中,2010-03-11,5.28,5.22,3305610000
600200.SH,江苏吴中,2010-03-12,5.23,5.14,3255714000
600200.SH,江苏吴中,2010-03-15,5.14,5.10,3230766000
600200.SH,江苏吴中,2010-03-16,5.13,5.20,3293136000
600200.SH,江苏吴中,2010-03-17,5.21,5.32,3367980000
600200.SH,江苏吴中,2010-03-18,5.33,5.31,3361743000
600200.SH,江苏吴中,2010-03-19,5.33,5.32,3367980000
600200.SH,江苏吴中,2010-03-22,5.31,5.35,3386691000
600200.SH,江苏吴中,2010-03-23,5.37,5.37,3399165000
600200.SH,江苏吴中,2010-03-24,5.37,5.43,3436587000
600200.SH,江苏吴中,2010-03-25,5.40,5.35,3386691000
600200.SH,江苏吴中,2010-03-26,5.31,5.50,3486483000
600200.SH,江苏吴中,2010-03-29,5.49,5.44,3442824000
600200.SH,江苏吴中,2010-03-30,5.43,5.49,3480246000
600200.SH,江苏吴中,2010-03-31,5.48,6.05,3829518000
600200.SH,江苏吴中,2010-04-01,6.19,6.33,4010391000
600200.SH,江苏吴中,2010-04-02,6.18,6.36,4029102000
600200.SH,江苏吴中,2010-04-06,6.40,6.41,4060287000
600200.SH,江苏吴中,2010-04-07,6.37,6.24,3954258000
600200.SH,江苏吴中,2010-04-08,6.17,6.21,3935547000
600200.SH,江苏吴中,2010-04-09,6.25,6.29,3985443000
600200.SH,江苏吴中,2010-04-12,6.29,6.67,4222449000
600200.SH,江苏吴中,2010-04-13,6.63,6.46,4091472000
600200.SH,江苏吴中,2010-04-14,6.48,6.69,4234923000
600200.SH,江苏吴中,2010-04-15,6.69,6.52,4128894000
600200.SH,江苏吴中,2010-04-16,6.52,6.52,4128894000
600200.SH,江苏吴中,2010-04-19,6.32,6.06,3835755000
600200.SH,江苏吴中,2010-04-20,6.03,6.67,4222449000
600200.SH,江苏吴中,2010-04-21,6.92,7.10,4496877000
600200.SH,江苏吴中,2010-04-22,7.04,7.20,4559247000
600200.SH,江苏吴中,2010-04-23,7.17,7.05,4465692000
600200.SH,江苏吴中,2010-04-26,6.99,7.09,4490640000
600200.SH,江苏吴中,2010-04-27,7.03,7.00,4434507000
600200.SH,江苏吴中,2010-04-28,6.84,6.69,4234923000
600200.SH,江苏吴中,2010-04-29,6.71,6.57,4160079000
600200.SH,江苏吴中,2010-04-30,6.52,6.21,3935547000
600200.SH,江苏吴中,2010-05-04,6.12,6.34,4016628000
600200.SH,江苏吴中,2010-05-05,6.25,6.97,4415796000
600200.SH,江苏吴中,2010-05-06,7.03,6.70,4241160000
600200.SH,江苏吴中,2010-05-07,6.50,6.79,4303530000
600200.SH,江苏吴中,2010-05-10,6.77,6.89,4365900000
600200.SH,江苏吴中,2010-05-11,7.03,6.44,4078998000
600200.SH,江苏吴中,2010-05-12,6.30,6.05,3829518000
600200.SH,江苏吴中,2010-05-13,6.06,6.42,4066524000
600200.SH,江苏吴中,2010-05-14,6.34,6.37,4035339000
600200.SH,江苏吴中,2010-05-17,6.30,6.04,3823281000
600200.SH,江苏吴中,2010-05-18,6.01,6.20,3929310000
600200.SH,江苏吴中,2010-05-19,6.15,6.20,3929310000
600200.SH,江苏吴中,2010-05-20,6.12,5.81,3679830000
600200.SH,江苏吴中,2010-05-21,5.51,5.73,3629934000
600200.SH,江苏吴中,2010-05-24,5.76,5.96,3773385000
600200.SH,江苏吴中,2010-05-25,5.96,6.08,3848229000
600200.SH,江苏吴中,2010-05-26,6.09,6.08,3848229000
600200.SH,江苏吴中,2010-05-27,6.06,6.17,3910599000
600200.SH,江苏吴中,2010-05-28,6.24,6.32,4004154000
600200.SH,江苏吴中,2010-05-31,6.29,6.02,3810807000
600200.SH,江苏吴中,2010-06-01,5.97,5.99,3792096000
600200.SH,江苏吴中,2010-06-02,5.92,6.04,3823281000
