代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600221.SH,*ST海航,2010-01-04,3.09,3.04,23334971015
600221.SH,*ST海航,2010-01-05,3.08,3.15,24146929159
600221.SH,*ST海航,2010-01-06,3.17,3.04,23299668487
600221.SH,*ST海航,2010-01-07,3.04,3.18,24358744327
600221.SH,*ST海航,2010-01-08,3.17,3.25,24923584775
600221.SH,*ST海航,2010-01-11,3.26,3.23,24747072135
600221.SH,*ST海航,2010-01-12,3.22,3.32,25417820167
600221.SH,*ST海航,2010-01-13,3.22,3.21,24605862023
600221.SH,*ST海航,2010-01-14,3.21,3.28,25170702471
600221.SH,*ST海航,2010-01-15,3.28,3.23,24782374663
600221.SH,*ST海航,2010-01-18,3.25,3.41,26123870727
600221.SH,*ST海航,2010-01-19,3.43,3.41,26123870727
600221.SH,*ST海航,2010-01-20,3.40,3.28,25170702471
600221.SH,*ST海航,2010-01-21,3.29,3.22,24676467079
600221.SH,*ST海航,2010-01-22,3.18,3.06,23440878599
600221.SH,*ST海航,2010-01-25,3.02,3.04,23334971015
600221.SH,*ST海航,2010-01-26,3.04,2.92,22417105286
600221.SH,*ST海航,2010-01-27,2.93,2.93,22487710342
600221.SH,*ST海航,2010-01-28,2.93,3.22,24711769607
600221.SH,*ST海航,2010-01-29,3.19,3.26,24994189831
600221.SH,*ST海航,2010-02-01,3.24,3.30,25311912583
600221.SH,*ST海航,2010-02-02,3.30,3.25,24888282247
600221.SH,*ST海航,2010-02-03,3.22,3.43,26265080839
600221.SH,*ST海航,2010-02-04,3.41,3.77,28877467912
600221.SH,*ST海航,2010-02-05,3.77,3.47,26582803592
600221.SH,*ST海航,2010-02-08,3.38,3.63,27853694600
600221.SH,*ST海航,2010-02-09,3.49,3.41,26159173255
600221.SH,*ST海航,2010-02-10,3.37,3.36,25735542919
600221.SH,*ST海航,2010-02-11,3.36,3.30,25311912583
600221.SH,*ST海航,2010-02-12,3.30,3.43,26265080839
600221.SH,*ST海航,2010-02-22,3.38,3.39,25982660615
600221.SH,*ST海航,2010-02-23,3.39,3.39,25947358087
600221.SH,*ST海航,2010-02-24,3.35,3.38,30281103169
600221.SH,*ST海航,2010-02-25,3.39,3.57,31972554436
600221.SH,*ST海航,2010-02-26,3.56,3.56,31848789709
600221.SH,*ST海航,2010-03-01,3.56,3.63,32550123162
600221.SH,*ST海航,2010-03-02,3.64,3.56,31848789709
600221.SH,*ST海航,2010-03-03,3.53,3.56,31848789709
600221.SH,*ST海航,2010-03-04,3.54,3.55,31807534800
600221.SH,*ST海航,2010-03-05,3.50,3.51,31436240620
600221.SH,*ST海航,2010-03-08,3.52,3.58,32055064254
600221.SH,*ST海航,2010-03-09,3.57,3.55,31807534800
600221.SH,*ST海航,2010-03-10,3.52,3.55,31766279892
600221.SH,*ST海航,2010-03-11,3.53,3.55,31766279892
