代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002245.SZ,蔚蓝锂芯,2010-01-04,2.33,2.29,1920064000
002245.SZ,蔚蓝锂芯,2010-01-05,2.29,2.36,1976000000
002245.SZ,蔚蓝锂芯,2010-01-06,2.36,2.30,1921280000
002245.SZ,蔚蓝锂芯,2010-01-07,2.27,2.20,1842240000
002245.SZ,蔚蓝锂芯,2010-01-08,2.21,2.19,1830080000
002245.SZ,蔚蓝锂芯,2010-01-11,2.19,2.28,1909120000
002245.SZ,蔚蓝锂芯,2010-01-12,2.28,2.34,1956544000
002245.SZ,蔚蓝锂芯,2010-01-13,2.29,2.27,1898176000
002245.SZ,蔚蓝锂芯,2010-01-14,2.27,2.35,1966272000
002245.SZ,蔚蓝锂芯,2010-01-15,2.35,2.36,1978432000
002245.SZ,蔚蓝锂芯,2010-01-18,2.35,2.44,2040448000
002245.SZ,蔚蓝锂芯,2010-01-19,2.44,2.40,2008832000
002245.SZ,蔚蓝锂芯,2010-01-20,2.40,2.29,1912768000
002245.SZ,蔚蓝锂芯,2010-01-21,2.29,2.31,1932224000
002245.SZ,蔚蓝锂芯,2010-01-22,2.28,2.23,1868992000
002245.SZ,蔚蓝锂芯,2010-01-25,2.18,2.21,1848320000
002245.SZ,蔚蓝锂芯,2010-01-26,2.23,2.12,1770496000
002245.SZ,蔚蓝锂芯,2010-01-27,2.12,2.07,1727936000
002245.SZ,蔚蓝锂芯,2010-01-28,2.07,2.11,1769280000
002245.SZ,蔚蓝锂芯,2010-01-29,2.11,2.15,1800896000
002245.SZ,蔚蓝锂芯,2010-02-01,2.11,2.13,1783872000
002245.SZ,蔚蓝锂芯,2010-02-02,2.13,2.17,1811840000
002245.SZ,蔚蓝锂芯,2010-02-03,2.17,2.17,1811840000
002245.SZ,蔚蓝锂芯,2010-02-04,2.17,2.21,1845888000
002245.SZ,蔚蓝锂芯,2010-02-05,2.20,2.09,1752256000
002245.SZ,蔚蓝锂芯,2010-02-08,2.09,2.10,1760768000
002245.SZ,蔚蓝锂芯,2010-02-09,2.09,2.08,1742528000
002245.SZ,蔚蓝锂芯,2010-02-10,2.10,2.12,1772928000
002245.SZ,蔚蓝锂芯,2010-02-11,2.12,2.12,1772928000
002245.SZ,蔚蓝锂芯,2010-02-12,2.12,2.14,1791168000
002245.SZ,蔚蓝锂芯,2010-02-22,2.14,2.15,1800896000
002245.SZ,蔚蓝锂芯,2010-02-23,2.12,2.17,1817920000
002245.SZ,蔚蓝锂芯,2010-02-24,2.16,2.21,1850752000
002245.SZ,蔚蓝锂芯,2010-02-25,2.22,2.26,1889664000
002245.SZ,蔚蓝锂芯,2010-02-26,2.26,2.24,1876288000
002245.SZ,蔚蓝锂芯,2010-03-01,2.27,2.30,1928576000
002245.SZ,蔚蓝锂芯,2010-03-02,2.31,2.27,1898176000
002245.SZ,蔚蓝锂芯,2010-03-03,2.29,2.31,1929792000
002245.SZ,蔚蓝锂芯,2010-03-04,2.31,2.22,1860480000
002245.SZ,蔚蓝锂芯,2010-03-05,2.22,2.29,1916416000
002245.SZ,蔚蓝锂芯,2010-03-08,2.32,2.30,1926144000
002245.SZ,蔚蓝锂芯,2010-03-09,2.29,2.26,1893312000
002245.SZ,蔚蓝锂芯,2010-03-10,2.25,2.23,1861696000
002245.SZ,蔚蓝锂芯,2010-03-11,2.22,2.24,1870208000
002245.SZ,蔚蓝锂芯,2010-03-12,2.23,2.22,1860480000
002245.SZ,蔚蓝锂芯,2010-03-15,2.21,2.14,1792384000
002245.SZ,蔚蓝锂芯,2010-03-16,2.14,2.20,1842240000
002245.SZ,蔚蓝锂芯,2010-03-17,2.20,2.24,1872640000
002245.SZ,蔚蓝锂芯,2010-03-18,2.24,2.24,1875072000
002245.SZ,蔚蓝锂芯,2010-03-19,2.25,2.31,1931008000
002245.SZ,蔚蓝锂芯,2010-03-22,2.31,2.29,1915200000
002245.SZ,蔚蓝锂芯,2010-03-23,2.31,2.26,1888448000
002245.SZ,蔚蓝锂芯,2010-03-24,2.26,2.33,1945600000
002245.SZ,蔚蓝锂芯,2010-03-25,2.32,2.35,1965056000
002245.SZ,蔚蓝锂芯,2010-03-26,2.35,2.35,1965056000
002245.SZ,蔚蓝锂芯,2010-03-29,2.37,2.33,1950464000
002245.SZ,蔚蓝锂芯,2010-03-30,2.38,2.42,2024640000
002245.SZ,蔚蓝锂芯,2010-03-31,2.41,2.43,2030720000
002245.SZ,蔚蓝锂芯,2010-04-01,2.44,2.44,2041664000
002245.SZ,蔚蓝锂芯,2010-04-02,2.44,2.38,1991808000
002245.SZ,蔚蓝锂芯,2010-04-06,2.39,2.40,2005184000
002245.SZ,蔚蓝锂芯,2010-04-07,2.40,2.49,2079360000
002245.SZ,蔚蓝锂芯,2010-04-08,2.51,2.73,2287296000
002245.SZ,蔚蓝锂芯,2010-04-09,2.80,2.78,2323776000
002245.SZ,蔚蓝锂芯,2010-04-12,2.77,2.84,2374848000
002245.SZ,蔚蓝锂芯,2010-04-13,2.80,2.65,2219200000
002245.SZ,蔚蓝锂芯,2010-04-14,2.75,2.76,2306752000
002245.SZ,蔚蓝锂芯,2010-04-15,2.76,2.85,2383360000
002245.SZ,蔚蓝锂芯,2010-04-16,2.83,2.86,2389440000
002245.SZ,蔚蓝锂芯,2010-04-19,2.80,2.76,2309184000
002245.SZ,蔚蓝锂芯,2010-04-20,2.78,2.74,2288512000
002245.SZ,蔚蓝锂芯,2010-04-21,2.76,2.91,2430784000
002245.SZ,蔚蓝锂芯,2010-04-22,2.91,2.84,2373632000
002245.SZ,蔚蓝锂芯,2010-04-23,2.84,2.84,2373632000
002245.SZ,蔚蓝锂芯,2010-04-26,2.81,2.75,2304320000
