代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600179.SH,*ST安通,2010-01-04,4.55,4.51,2636400000
600179.SH,*ST安通,2010-01-05,4.53,4.82,2819700000
600179.SH,*ST安通,2010-01-06,4.77,4.72,2761200000
600179.SH,*ST安通,2010-01-07,4.70,4.61,2694900000
600179.SH,*ST安通,2010-01-08,4.57,4.62,2702700000
600179.SH,*ST安通,2010-01-11,4.63,4.61,2698800000
600179.SH,*ST安通,2010-01-12,4.61,4.67,2730000000
600179.SH,*ST安通,2010-01-13,4.59,4.53,2648100000
600179.SH,*ST安通,2010-01-14,4.51,4.59,2687100000
600179.SH,*ST安通,2010-01-15,4.57,4.69,2745600000
600179.SH,*ST安通,2010-01-18,4.67,4.75,2776800000
600179.SH,*ST安通,2010-01-19,4.75,4.72,2761200000
600179.SH,*ST安通,2010-01-20,4.73,4.51,2640300000
600179.SH,*ST安通,2010-01-21,4.48,4.47,2616900000
600179.SH,*ST安通,2010-01-22,4.45,4.35,2542800000
600179.SH,*ST安通,2010-01-25,4.35,4.33,2535000000
600179.SH,*ST安通,2010-01-26,4.33,4.16,2433600000
600179.SH,*ST安通,2010-01-27,4.16,4.15,2429700000
600179.SH,*ST安通,2010-01-28,4.17,4.17,2441400000
600179.SH,*ST安通,2010-01-29,4.17,4.29,2507700000
600179.SH,*ST安通,2010-02-01,4.27,4.39,2566200000
600179.SH,*ST安通,2010-02-02,4.40,4.63,2710500000
600179.SH,*ST安通,2010-02-03,4.62,4.69,2745600000
600179.SH,*ST安通,2010-02-04,4.60,4.75,2780700000
600179.SH,*ST安通,2010-02-05,4.65,4.68,2737800000
600179.SH,*ST安通,2010-02-08,4.60,4.67,2733900000
600179.SH,*ST安通,2010-02-09,4.66,4.61,2698800000
600179.SH,*ST安通,2010-02-10,4.63,4.48,2620800000
600179.SH,*ST安通,2010-02-11,4.48,4.48,2620800000
600179.SH,*ST安通,2010-02-12,4.47,4.53,2648100000
600179.SH,*ST安通,2010-02-22,4.58,4.75,2776800000
600179.SH,*ST安通,2010-02-23,4.68,4.74,2772900000
600179.SH,*ST安通,2010-02-24,4.70,4.83,2823600000
600179.SH,*ST安通,2010-02-25,4.79,4.83,2827500000
600179.SH,*ST安通,2010-02-26,4.83,4.80,2808000000
600179.SH,*ST安通,2010-03-01,4.77,4.90,2866500000
600179.SH,*ST安通,2010-03-02,4.90,4.83,2823600000
600179.SH,*ST安通,2010-03-03,4.80,5.00,2925000000
600179.SH,*ST安通,2010-03-04,4.97,4.72,2761200000
600179.SH,*ST安通,2010-03-05,4.75,4.72,2761200000
600179.SH,*ST安通,2010-03-08,4.73,4.79,2804100000
600179.SH,*ST安通,2010-03-09,4.77,4.92,2878200000
600179.SH,*ST安通,2010-03-10,4.87,4.74,2772900000
600179.SH,*ST安通,2010-03-11,4.75,4.74,2772900000
600179.SH,*ST安通,2010-03-12,4.73,4.63,2710500000
600179.SH,*ST安通,2010-03-15,4.60,4.55,2659800000
600179.SH,*ST安通,2010-03-16,4.55,4.58,2679300000
600179.SH,*ST安通,2010-03-17,4.57,4.68,2737800000
600179.SH,*ST安通,2010-03-18,4.67,4.71,2753400000
600179.SH,*ST安通,2010-03-19,4.73,4.74,2772900000
600179.SH,*ST安通,2010-03-22,4.73,4.79,2800200000
600179.SH,*ST安通,2010-03-23,4.77,4.72,2761200000
600179.SH,*ST安通,2010-03-24,4.73,4.76,2784600000
600179.SH,*ST安通,2010-03-25,4.71,4.59,2687100000
600179.SH,*ST安通,2010-03-26,4.58,4.63,2710500000
600179.SH,*ST安通,2010-03-29,4.63,4.77,2792400000
600179.SH,*ST安通,2010-03-30,4.77,4.77,2788500000
600179.SH,*ST安通,2010-03-31,4.78,4.77,2792400000
600179.SH,*ST安通,2010-04-01,4.77,4.81,2815800000
600179.SH,*ST安通,2010-04-02,4.83,4.81,2815800000
600179.SH,*ST安通,2010-04-06,4.82,4.79,2804100000
600179.SH,*ST安通,2010-04-07,4.80,4.88,2854800000
600179.SH,*ST安通,2010-04-08,4.86,4.77,2792400000
600179.SH,*ST安通,2010-04-09,4.77,4.80,2808000000
600179.SH,*ST安通,2010-04-12,4.83,4.72,2761200000
600179.SH,*ST安通,2010-04-13,4.72,4.60,2691000000
600179.SH,*ST安通,2010-04-14,4.61,4.69,2741700000
600179.SH,*ST安通,2010-04-15,4.69,4.69,2741700000
600179.SH,*ST安通,2010-04-16,4.45,4.45,2605200000
600179.SH,*ST安通,2010-04-19,4.23,4.23,2476500000
600179.SH,*ST安通,2010-04-20,4.02,4.02,2351700000
600179.SH,*ST安通,2010-04-21,3.97,4.05,2367300000
600179.SH,*ST安通,2010-04-22,4.02,3.97,2324400000
600179.SH,*ST安通,2010-04-23,3.96,4.01,2343900000
600179.SH,*ST安通,2010-04-26,4.01,3.87,2265900000
600179.SH,*ST安通,2010-04-27,3.83,3.68,2152800000
600179.SH,*ST安通,2010-04-28,3.59,3.71,2172300000
600179.SH,*ST安通,2010-04-29,3.75,3.64,2129400000
600179.SH,*ST安通,2010-04-30,3.63,3.82,2234700000
600179.SH,*ST安通,2010-05-04,3.75,3.86,2258100000
600179.SH,*ST安通,2010-05-05,3.80,3.85,2250300000
600179.SH,*ST安通,2010-05-06,3.80,3.65,2137200000
600179.SH,*ST安通,2010-05-07,3.52,3.51,2051400000
600179.SH,*ST安通,2010-05-10,3.42,3.51,2051400000
600179.SH,*ST安通,2010-05-11,3.51,3.51,2051400000
600179.SH,*ST安通,2010-05-12,3.51,3.40,1989000000
600179.SH,*ST安通,2010-05-13,3.41,3.48,2035800000
600179.SH,*ST安通,2010-05-14,3.42,3.46,2024100000
600179.SH,*ST安通,2010-05-17,3.42,3.29,1922700000
600179.SH,*ST安通,2010-05-18,3.22,3.30,1930500000
600179.SH,*ST安通,2010-05-19,3.23,3.30,1930500000
600179.SH,*ST安通,2010-05-20,3.23,3.25,1903200000
600179.SH,*ST安通,2010-05-21,3.14,3.29,1922700000
600179.SH,*ST安通,2010-05-24,3.27,3.45,2020200000
600179.SH,*ST安通,2010-05-25,3.42,3.53,2063100000
600179.SH,*ST安通,2010-05-26,3.49,3.43,2008500000
600179.SH,*ST安通,2010-05-27,3.43,3.44,2012400000
600179.SH,*ST安通,2010-05-28,3.47,3.43,2004600000
600179.SH,*ST安通,2010-05-31,3.41,3.25,1903200000
600179.SH,*ST安通,2010-06-01,3.21,3.19,1868100000
600179.SH,*ST安通,2010-06-02,3.15,3.23,1891500000
600179.SH,*ST安通,2010-06-03,3.25,3.17,1856400000
600179.SH,*ST安通,2010-06-04,3.16,3.20,1872000000
600179.SH,*ST安通,2010-06-07,3.12,3.21,1875900000
600179.SH,*ST安通,2010-06-08,3.17,3.37,1969500000
600179.SH,*ST安通,2010-06-09,3.37,3.47,2028000000
600179.SH,*ST安通,2010-06-10,3.42,3.56,2082600000
600179.SH,*ST安通,2010-06-11,3.52,3.38,1977300000
600179.SH,*ST安通,2010-06-17,3.35,3.27,1911000000
600179.SH,*ST安通,2010-06-18,3.27,3.15,1844700000
600179.SH,*ST安通,2010-06-21,3.20,3.26,1907100000
600179.SH,*ST安通,2010-06-22,3.26,3.26,1907100000
600179.SH,*ST安通,2010-06-23,3.23,3.25,1903200000
600179.SH,*ST安通,2010-06-24,3.26,3.28,1918800000
600179.SH,*ST安通,2010-06-25,3.27,3.23,1891500000
600179.SH,*ST安通,2010-06-28,3.23,3.18,1860300000
600179.SH,*ST安通,2010-06-29,3.17,3.02,1766700000
600179.SH,*ST安通,2010-06-30,2.97,2.95,1723800000
600179.SH,*ST安通,2010-07-01,2.92,2.89,1688700000
600179.SH,*ST安通,2010-07-02,2.87,2.87,1680900000
600179.SH,*ST安通,2010-07-05,2.85,3.02,1766700000
