代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002241.SZ,歌尔股份,2010-01-04,2.42,2.57,7036800000
002241.SZ,歌尔股份,2010-01-05,2.54,2.61,7152000000
002241.SZ,歌尔股份,2010-01-06,2.61,2.68,7327200000
002241.SZ,歌尔股份,2010-01-07,2.68,2.61,7140000000
002241.SZ,歌尔股份,2010-01-08,2.61,2.64,7224000000
002241.SZ,歌尔股份,2010-01-11,2.67,2.88,7872000000
002241.SZ,歌尔股份,2010-01-12,2.83,2.85,7802400000
002241.SZ,歌尔股份,2010-01-13,2.80,2.91,7958400000
002241.SZ,歌尔股份,2010-01-14,2.91,2.94,8061600000
002241.SZ,歌尔股份,2010-01-15,2.92,3.00,8203200000
002241.SZ,歌尔股份,2010-01-18,3.01,3.02,8280000000
002241.SZ,歌尔股份,2010-01-19,3.03,2.92,7992000000
002241.SZ,歌尔股份,2010-01-20,2.92,2.78,7620000000
002241.SZ,歌尔股份,2010-01-21,2.82,2.68,7344000000
002241.SZ,歌尔股份,2010-01-22,2.64,2.57,7034400000
002241.SZ,歌尔股份,2010-01-25,2.53,2.62,7159200000
002241.SZ,歌尔股份,2010-01-26,2.59,2.52,6912000000
002241.SZ,歌尔股份,2010-01-27,2.49,2.45,6715200000
002241.SZ,歌尔股份,2010-01-28,2.44,2.51,6873600000
002241.SZ,歌尔股份,2010-01-29,2.51,2.65,7248000000
002241.SZ,歌尔股份,2010-02-01,2.65,2.56,7017600000
002241.SZ,歌尔股份,2010-02-02,2.59,2.47,6765600000
002241.SZ,歌尔股份,2010-02-03,2.47,2.44,6684000000
002241.SZ,歌尔股份,2010-02-04,2.39,2.50,6852000000
002241.SZ,歌尔股份,2010-02-05,2.44,2.48,6794400000
002241.SZ,歌尔股份,2010-02-08,2.42,2.47,6775200000
002241.SZ,歌尔股份,2010-02-09,2.47,2.47,6775200000
002241.SZ,歌尔股份,2010-02-10,2.47,2.56,7012800000
002241.SZ,歌尔股份,2010-02-11,2.56,2.55,6988800000
002241.SZ,歌尔股份,2010-02-12,2.56,2.57,7032000000
002241.SZ,歌尔股份,2010-02-22,2.56,2.52,6909600000
002241.SZ,歌尔股份,2010-02-23,2.53,2.54,6948000000
002241.SZ,歌尔股份,2010-02-24,2.54,2.64,7236000000
002241.SZ,歌尔股份,2010-02-25,2.63,2.64,7224000000
002241.SZ,歌尔股份,2010-02-26,2.64,2.64,7224000000
002241.SZ,歌尔股份,2010-03-01,2.63,2.70,7399200000
002241.SZ,歌尔股份,2010-03-02,2.72,2.72,7452000000
002241.SZ,歌尔股份,2010-03-03,2.72,2.74,7488000000
002241.SZ,歌尔股份,2010-03-04,2.74,2.61,7152000000
002241.SZ,歌尔股份,2010-03-05,2.62,2.66,7269600000
002241.SZ,歌尔股份,2010-03-08,2.67,2.73,7485600000
002241.SZ,歌尔股份,2010-03-09,2.72,2.70,7394400000
002241.SZ,歌尔股份,2010-03-10,2.72,2.66,7279200000
002241.SZ,歌尔股份,2010-03-11,2.64,2.66,7272000000
002241.SZ,歌尔股份,2010-03-12,2.71,2.78,7598400000
002241.SZ,歌尔股份,2010-03-15,2.80,2.80,7639200000
002241.SZ,歌尔股份,2010-03-16,2.83,2.76,7542000000
002241.SZ,歌尔股份,2010-03-17,2.74,2.80,7632000000
002241.SZ,歌尔股份,2010-03-18,2.80,2.80,7632000000
002241.SZ,歌尔股份,2010-03-19,2.84,3.00,8186400000
002241.SZ,歌尔股份,2010-03-22,3.03,3.01,8218800000
002241.SZ,歌尔股份,2010-03-23,2.99,3.16,8632800000
002241.SZ,歌尔股份,2010-03-24,3.17,3.21,8751600000
002241.SZ,歌尔股份,2010-03-25,3.24,3.19,8694000000
002241.SZ,歌尔股份,2010-03-26,3.19,3.18,8676000000
002241.SZ,歌尔股份,2010-03-29,3.19,3.18,8676000000
002241.SZ,歌尔股份,2010-03-30,3.18,3.30,9010800000
002241.SZ,歌尔股份,2010-03-31,3.30,3.32,9072000000
002241.SZ,歌尔股份,2010-04-01,3.32,3.33,9093600000
002241.SZ,歌尔股份,2010-04-02,3.32,3.34,9108000000
002241.SZ,歌尔股份,2010-04-06,3.34,3.34,9126000000
002241.SZ,歌尔股份,2010-04-07,3.34,3.55,9691200000
002241.SZ,歌尔股份,2010-04-08,3.55,3.69,10080000000
002241.SZ,歌尔股份,2010-04-09,3.71,3.69,10080000000
002241.SZ,歌尔股份,2010-04-12,3.68,3.75,10245600000
002241.SZ,歌尔股份,2010-04-13,3.75,3.63,9900000000
002241.SZ,歌尔股份,2010-04-14,3.28,3.78,10306800000
002241.SZ,歌尔股份,2010-04-15,3.81,3.78,10310400000
002241.SZ,歌尔股份,2010-04-16,3.75,3.80,10371600000
002241.SZ,歌尔股份,2010-04-19,3.76,3.71,10116000000
002241.SZ,歌尔股份,2010-04-20,3.72,3.69,10069200000
002241.SZ,歌尔股份,2010-04-21,3.69,3.85,10504800000
002241.SZ,歌尔股份,2010-04-22,3.83,3.92,10710000000
002241.SZ,歌尔股份,2010-04-23,3.92,3.96,10800000000
002241.SZ,歌尔股份,2010-04-26,3.94,3.94,10746000000
002241.SZ,歌尔股份,2010-04-27,3.90,3.82,10429200000
002241.SZ,歌尔股份,2010-04-28,3.82,3.94,10756800000
002241.SZ,歌尔股份,2010-04-29,3.94,3.69,10080000000
002241.SZ,歌尔股份,2010-04-30,3.73,3.56,9720000000
002241.SZ,歌尔股份,2010-05-04,3.54,3.72,10152000000
002241.SZ,歌尔股份,2010-05-05,3.70,3.87,10548000000
002241.SZ,歌尔股份,2010-05-06,3.89,4.00,10926000000
002241.SZ,歌尔股份,2010-05-07,3.93,3.89,10620000000
002241.SZ,歌尔股份,2010-05-10,3.88,3.80,10368000000
002241.SZ,歌尔股份,2010-05-11,3.87,3.70,10098000000
002241.SZ,歌尔股份,2010-05-12,3.62,3.43,9356400000
002241.SZ,歌尔股份,2010-05-13,3.40,3.59,9792000000
002241.SZ,歌尔股份,2010-05-14,3.64,3.69,10080000000
002241.SZ,歌尔股份,2010-05-17,3.68,3.60,9828000000
002241.SZ,歌尔股份,2010-05-18,3.60,3.73,10170000000
002241.SZ,歌尔股份,2010-05-19,3.72,3.78,10324800000
002241.SZ,歌尔股份,2010-05-20,3.71,3.88,10584000000
002241.SZ,歌尔股份,2010-05-21,3.80,3.90,10645200000
002241.SZ,歌尔股份,2010-05-24,3.90,4.02,10976400000
002241.SZ,歌尔股份,2010-05-25,4.00,3.96,10807200000
002241.SZ,歌尔股份,2010-05-26,3.94,3.69,10080000000
002241.SZ,歌尔股份,2010-05-27,3.69,3.75,10231200000
002241.SZ,歌尔股份,2010-05-28,3.74,3.78,10314000000
002241.SZ,歌尔股份,2010-05-31,3.78,3.69,10083600000
002241.SZ,歌尔股份,2010-06-01,3.69,3.63,9900000000
002241.SZ,歌尔股份,2010-06-02,3.61,3.80,10360800000
002241.SZ,歌尔股份,2010-06-03,3.80,3.90,10634400000
002241.SZ,歌尔股份,2010-06-04,3.83,3.96,10796400000
002241.SZ,歌尔股份,2010-06-07,3.87,4.35,11876400000
002241.SZ,歌尔股份,2010-06-08,4.31,4.44,12128400000
002241.SZ,歌尔股份,2010-06-09,4.35,4.39,11977200000
002241.SZ,歌尔股份,2010-06-10,4.35,4.38,11941200000
002241.SZ,歌尔股份,2010-06-11,4.39,4.35,11883600000
002241.SZ,歌尔股份,2010-06-17,4.43,4.29,11700000000
002241.SZ,歌尔股份,2010-06-18,4.29,3.94,10746000000
002241.SZ,歌尔股份,2010-06-21,3.90,4.09,11170800000
002241.SZ,歌尔股份,2010-06-22,4.08,4.25,11584800000
002241.SZ,歌尔股份,2010-06-23,4.26,4.48,12236400000
002241.SZ,歌尔股份,2010-06-24,4.43,4.38,11944800000
002241.SZ,歌尔股份,2010-06-25,4.38,4.35,11880000000
002241.SZ,歌尔股份,2010-06-28,4.39,4.04,11037600000
002241.SZ,歌尔股份,2010-06-29,4.03,3.95,10771200000
002241.SZ,歌尔股份,2010-06-30,3.95,3.99,10893600000
002241.SZ,歌尔股份,2010-07-01,4.02,3.68,10047600000
002241.SZ,歌尔股份,2010-07-02,3.67,3.48,9496800000
002241.SZ,歌尔股份,2010-07-05,3.48,3.54,9666000000
002241.SZ,歌尔股份,2010-07-06,3.57,3.69,10080000000
002241.SZ,歌尔股份,2010-07-07,3.73,3.71,10126800000
002241.SZ,歌尔股份,2010-07-08,3.71,3.69,10076400000
002241.SZ,歌尔股份,2010-07-09,3.67,3.85,10512000000
002241.SZ,歌尔股份,2010-07-12,3.85,3.82,10429200000
002241.SZ,歌尔股份,2010-07-13,3.80,3.87,10548000000
002241.SZ,歌尔股份,2010-07-14,3.87,3.84,10479600000
002241.SZ,歌尔股份,2010-07-15,3.85,3.64,9939600000
002241.SZ,歌尔股份,2010-07-16,3.62,3.64,9939600000
002241.SZ,歌尔股份,2010-07-19,3.60,3.65,9961200000
002241.SZ,歌尔股份,2010-07-20,3.64,3.72,10148400000
002241.SZ,歌尔股份,2010-07-21,3.73,3.64,9936000000
002241.SZ,歌尔股份,2010-07-22,3.64,3.66,9993600000
002241.SZ,歌尔股份,2010-07-23,3.66,3.83,10440000000
002241.SZ,歌尔股份,2010-07-26,3.83,3.84,10486800000
002241.SZ,歌尔股份,2010-07-27,3.83,3.79,10342800000
002241.SZ,歌尔股份,2010-07-28,3.79,3.79,10342800000
002241.SZ,歌尔股份,2010-07-29,3.86,3.83,10447200000
002241.SZ,歌尔股份,2010-07-30,3.78,3.77,10296000000
002241.SZ,歌尔股份,2010-08-02,3.80,3.88,10602000000
