代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600171.SH,上海贝岭,2010-01-04,7.69,7.95,5498271428
600171.SH,上海贝岭,2010-01-05,7.95,8.08,5592604516
600171.SH,上海贝岭,2010-01-06,8.08,8.23,5693675682
600171.SH,上海贝岭,2010-01-07,8.17,7.98,5518485661
600171.SH,上海贝岭,2010-01-08,7.92,8.32,5754318381
600171.SH,上海贝岭,2010-01-11,8.31,8.46,5855389547
600171.SH,上海贝岭,2010-01-12,8.42,8.49,5875603781
600171.SH,上海贝岭,2010-01-13,8.28,8.38,5801484926
600171.SH,上海贝岭,2010-01-14,8.47,8.60,5949722636
600171.SH,上海贝岭,2010-01-15,8.64,8.48,5868865703
600171.SH,上海贝岭,2010-01-18,8.47,8.66,5990151102
600171.SH,上海贝岭,2010-01-19,8.59,8.76,6064269957
600171.SH,上海贝岭,2010-01-20,8.75,8.09,5599342594
600171.SH,上海贝岭,2010-01-21,8.12,8.03,5558914127
600171.SH,上海贝岭,2010-01-22,7.97,7.83,5417414495
600171.SH,上海贝岭,2010-01-25,7.77,7.73,5350033718
600171.SH,上海贝岭,2010-01-26,7.74,7.49,5181581774
600171.SH,上海贝岭,2010-01-27,7.48,7.53,5208534085
600171.SH,上海贝岭,2010-01-28,7.47,7.67,5309605251
600171.SH,上海贝岭,2010-01-29,7.63,7.62,5269176785
600171.SH,上海贝岭,2010-02-01,7.52,7.11,4918796743
600171.SH,上海贝岭,2010-02-02,7.23,7.25,5013129831
600171.SH,上海贝岭,2010-02-03,7.26,7.32,5067034453
600171.SH,上海贝岭,2010-02-04,7.27,7.43,5141153308
600171.SH,上海贝岭,2010-02-05,7.28,7.22,4992915598
600171.SH,上海贝岭,2010-02-08,7.20,7.40,5120939075
600171.SH,上海贝岭,2010-02-09,7.41,7.36,5093986764
600171.SH,上海贝岭,2010-02-10,7.44,7.46,5161367541
600171.SH,上海贝岭,2010-02-11,7.47,7.45,5154629463
600171.SH,上海贝岭,2010-02-12,7.45,7.53,5208534085
600171.SH,上海贝岭,2010-02-22,7.49,7.50,5188319852
600171.SH,上海贝岭,2010-02-23,7.44,7.69,5323081407
600171.SH,上海贝岭,2010-02-24,7.67,7.80,5397200262
600171.SH,上海贝岭,2010-02-25,7.80,7.92,5478057194
600171.SH,上海贝岭,2010-02-26,7.89,7.82,5410676417
600171.SH,上海贝岭,2010-03-01,7.83,7.98,5518485661
600171.SH,上海贝岭,2010-03-02,7.99,8.04,5565652205
600171.SH,上海贝岭,2010-03-03,8.05,8.15,5639771060
