代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002936.SZ,郑州银行,2018-09-19,4.73,5.68,39143969859
002936.SZ,郑州银行,2018-09-20,6.25,6.25,43052444913
002936.SZ,郑州银行,2018-09-21,6.87,6.87,47375455200
002936.SZ,郑州银行,2018-09-25,6.89,6.43,44296050612
002936.SZ,郑州银行,2018-09-26,6.20,6.35,43763076741
002936.SZ,郑州银行,2018-09-27,6.22,5.94,40920549429
002936.SZ,郑州银行,2018-09-28,5.85,5.90,40683672153
002936.SZ,郑州银行,2018-10-08,5.80,5.46,37663486884
002936.SZ,郑州银行,2018-10-09,5.50,5.37,37012074375
002936.SZ,郑州银行,2018-10-10,5.38,5.31,36597539142
002936.SZ,郑州银行,2018-10-11,5.05,4.81,33162818640
002936.SZ,郑州银行,2018-10-12,4.77,4.97,34228766382
002936.SZ,郑州银行,2018-10-15,4.96,4.82,33222037959
002936.SZ,郑州银行,2018-10-16,4.81,4.73,32629844769
002936.SZ,郑州银行,2018-10-17,4.80,4.66,32096870898
002936.SZ,郑州银行,2018-10-18,4.60,4.45,30675607242
002936.SZ,郑州银行,2018-10-19,4.36,4.53,31208581113
002936.SZ,郑州银行,2018-10-22,4.52,4.91,33873450468
002936.SZ,郑州银行,2018-10-23,4.85,4.71,32452186812
002936.SZ,郑州银行,2018-10-24,4.66,4.87,33577353873
002936.SZ,郑州银行,2018-10-25,4.67,4.99,34406424339
002936.SZ,郑州银行,2018-10-26,4.97,4.91,33814231149
002936.SZ,郑州银行,2018-10-29,4.87,4.75,32748283407
002936.SZ,郑州银行,2018-10-30,4.77,4.89,33695792511
002936.SZ,郑州银行,2018-10-31,4.88,5.00,34465643658
002936.SZ,郑州银行,2018-11-01,4.96,4.92,33932669787
002936.SZ,郑州银行,2018-11-02,4.98,5.03,34702520934
002936.SZ,郑州银行,2018-11-05,5.01,5.00,34465643658
002936.SZ,郑州银行,2018-11-06,4.94,4.87,33577353873
002936.SZ,郑州银行,2018-11-07,4.85,4.82,33222037959
002936.SZ,郑州银行,2018-11-08,4.86,4.79,32985160683
002936.SZ,郑州银行,2018-11-09,4.77,4.68,32274528855
002936.SZ,郑州银行,2018-11-12,4.68,4.74,32689064088
002936.SZ,郑州银行,2018-11-13,4.70,4.82,33222037959
002936.SZ,郑州银行,2018-11-14,4.79,4.78,32925941364
002936.SZ,郑州银行,2018-11-15,4.77,4.85,33399695916
002936.SZ,郑州银行,2018-11-16,4.85,4.90,33755011830
002936.SZ,郑州银行,2018-11-19,4.89,5.03,34702520934
002936.SZ,郑州银行,2018-11-20,4.98,4.84,33340476597
002936.SZ,郑州银行,2018-11-21,4.77,4.82,33222037959
002936.SZ,郑州银行,2018-11-22,4.82,4.76,32807502726
002936.SZ,郑州银行,2018-11-23,4.77,4.61,31800774303
002936.SZ,郑州银行,2018-11-26,4.61,4.62,31859993622
002936.SZ,郑州银行,2018-11-27,4.64,4.60,31741554984
002936.SZ,郑州银行,2018-11-28,4.60,4.64,31978432260
002936.SZ,郑州银行,2018-11-29,4.66,4.53,31208581113
002936.SZ,郑州银行,2018-11-30,4.53,4.54,31327019751
002936.SZ,郑州银行,2018-12-03,4.63,4.63,31919212941
002936.SZ,郑州银行,2018-12-04,4.61,4.64,31978432260
002936.SZ,郑州银行,2018-12-05,4.57,4.58,31563897027
002936.SZ,郑州银行,2018-12-06,4.55,4.52,31149361794
002936.SZ,郑州银行,2018-12-07,4.52,4.52,31149361794
002936.SZ,郑州银行,2018-12-10,4.48,4.45,30675607242
002936.SZ,郑州银行,2018-12-11,4.45,4.50,31030923156
002936.SZ,郑州银行,2018-12-12,4.50,4.49,30971703837
002936.SZ,郑州银行,2018-12-13,4.49,4.55,31386239070
002936.SZ,郑州银行,2018-12-14,4.53,4.46,30734826561
002936.SZ,郑州银行,2018-12-17,4.45,4.47,30794045880
002936.SZ,郑州银行,2018-12-18,4.44,4.44,30616387923
002936.SZ,郑州银行,2018-12-19,4.45,4.42,30438729966
002936.SZ,郑州银行,2018-12-20,4.41,4.42,30438729966
002936.SZ,郑州银行,2018-12-21,4.40,4.41,30379510647
002936.SZ,郑州银行,2018-12-24,4.39,4.42,30438729966
002936.SZ,郑州银行,2018-12-25,4.38,4.36,30083414052
002936.SZ,郑州银行,2018-12-26,4.36,4.34,29905756095
002936.SZ,郑州银行,2018-12-27,4.42,4.32,29787317457
002936.SZ,郑州银行,2018-12-28,4.32,4.36,30024194733
002936.SZ,郑州银行,2019-01-02,4.36,4.33,29846536776
002936.SZ,郑州银行,2019-01-03,4.33,4.34,29905756095
002936.SZ,郑州银行,2019-01-04,4.30,4.49,30971703837
002936.SZ,郑州银行,2019-01-07,4.51,4.47,30794045880
002936.SZ,郑州银行,2019-01-08,4.45,4.43,30557168604
002936.SZ,郑州银行,2019-01-09,4.45,4.45,30675607242
002936.SZ,郑州银行,2019-01-10,4.44,4.40,30320291328
002936.SZ,郑州银行,2019-01-11,4.39,4.45,30675607242
002936.SZ,郑州银行,2019-01-14,4.46,4.40,30320291328
002936.SZ,郑州银行,2019-01-15,4.39,4.45,30675607242
002936.SZ,郑州银行,2019-01-16,4.44,4.42,30438729966
002936.SZ,郑州银行,2019-01-17,4.42,4.40,30320291328
002936.SZ,郑州银行,2019-01-18,4.40,4.45,30675607242
002936.SZ,郑州银行,2019-01-21,4.44,4.42,30497949285
002936.SZ,郑州银行,2019-01-22,4.42,4.39,30261072009
002936.SZ,郑州银行,2019-01-23,4.39,4.39,30261072009
002936.SZ,郑州银行,2019-01-24,4.39,4.41,30379510647
002936.SZ,郑州银行,2019-01-25,4.40,4.42,30438729966
002936.SZ,郑州银行,2019-01-28,4.35,4.23,29135904948
002936.SZ,郑州银行,2019-01-29,4.20,4.14,28543711758
002936.SZ,郑州银行,2019-01-30,4.13,4.11,28306834482
002936.SZ,郑州银行,2019-01-31,4.12,4.07,28069957206
002936.SZ,郑州银行,2019-02-01,4.09,4.13,28484492439
002936.SZ,郑州银行,2019-02-11,4.13,4.18,28839808353
002936.SZ,郑州银行,2019-02-12,4.19,4.20,28958246991
002936.SZ,郑州银行,2019-02-13,4.20,4.27,29432001543
002936.SZ,郑州银行,2019-02-14,4.24,4.24,29254343586
002936.SZ,郑州银行,2019-02-15,4.24,4.23,29135904948
002936.SZ,郑州银行,2019-02-18,4.24,4.31,29728098138
002936.SZ,郑州银行,2019-02-19,4.30,4.35,29964975414
002936.SZ,郑州银行,2019-02-20,4.32,4.32,29787317457
002936.SZ,郑州银行,2019-02-21,4.31,4.29,29550440181
002936.SZ,郑州银行,2019-02-22,4.29,4.45,30675607242
002936.SZ,郑州银行,2019-02-25,4.52,4.90,33755011830
002936.SZ,郑州银行,2019-02-26,4.98,4.75,32748283407
002936.SZ,郑州银行,2019-02-27,4.71,5.16,35590810719
002936.SZ,郑州银行,2019-02-28,5.11,5.02,34584082296
002936.SZ,郑州银行,2019-03-01,4.99,5.08,34998617529
002936.SZ,郑州银行,2019-03-04,5.09,5.51,37959583479
002936.SZ,郑州银行,2019-03-05,5.33,5.48,37781925522
002936.SZ,郑州银行,2019-03-06,5.41,5.68,39143969859
002936.SZ,郑州银行,2019-03-07,5.66,6.21,42815567637
002936.SZ,郑州银行,2019-03-08,5.83,5.59,38551776669
002936.SZ,郑州银行,2019-03-11,5.46,5.58,38433338031
002936.SZ,郑州银行,2019-03-12,5.60,5.55,38255680074
002936.SZ,郑州银行,2019-03-13,5.52,5.29,36479100504
002936.SZ,郑州银行,2019-03-14,5.26,5.15,35472372081
002936.SZ,郑州银行,2019-03-15,5.20,5.17,35650030038
002936.SZ,郑州银行,2019-03-18,5.18,5.38,37071293694
002936.SZ,郑州银行,2019-03-19,5.36,5.31,36597539142
002936.SZ,郑州银行,2019-03-20,5.28,5.40,37248951651
002936.SZ,郑州银行,2019-03-21,5.40,5.39,37130513013
002936.SZ,郑州银行,2019-03-22,5.36,5.26,36242223228
002936.SZ,郑州银行,2019-03-25,5.15,5.07,34939398210
002936.SZ,郑州银行,2019-03-26,5.09,4.96,34169547063
002936.SZ,郑州银行,2019-03-27,4.98,5.02,34584082296
002936.SZ,郑州银行,2019-03-28,4.97,4.91,33873450468
002936.SZ,郑州银行,2019-03-29,4.91,5.16,35590810719
002936.SZ,郑州银行,2019-04-01,5.15,5.26,36242223228
002936.SZ,郑州银行,2019-04-02,5.27,5.20,35827687995
002936.SZ,郑州银行,2019-04-03,5.15,5.24,36123784590
002936.SZ,郑州银行,2019-04-04,5.26,5.28,36419881185
002936.SZ,郑州银行,2019-04-08,5.27,5.20,35827687995
002936.SZ,郑州银行,2019-04-09,5.15,5.14,35413152762
002936.SZ,郑州银行,2019-04-10,5.12,5.12,35294714124
002936.SZ,郑州银行,2019-04-11,5.11,5.03,34702520934
002936.SZ,郑州银行,2019-04-12,5.02,5.03,34702520934
002936.SZ,郑州银行,2019-04-15,5.09,5.00,34465643658
002936.SZ,郑州银行,2019-04-16,4.98,5.15,35472372081
002936.SZ,郑州银行,2019-04-17,5.13,5.12,35294714124
002936.SZ,郑州银行,2019-04-18,5.13,5.09,35057836848
002936.SZ,郑州银行,2019-04-19,5.09,5.10,35176275486
002936.SZ,郑州银行,2019-04-22,5.10,5.01,34524862977
