代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600928.SH,西安银行,2019-03-01,5.33,6.39,29955555559
600928.SH,西安银行,2019-03-04,7.02,7.02,32933333337
600928.SH,西安银行,2019-03-05,7.72,7.72,36222222227
600928.SH,西安银行,2019-03-06,8.50,8.50,39866666672
600928.SH,西安银行,2019-03-07,9.35,9.35,43866666672
600928.SH,西安银行,2019-03-08,10.29,10.29,48266666673
600928.SH,西安银行,2019-03-11,10.34,11.32,53111111118
600928.SH,西安银行,2019-03-12,10.76,11.45,53688888896
600928.SH,西安银行,2019-03-13,11.23,10.85,50888888895
600928.SH,西安银行,2019-03-14,10.63,9.86,46222222228
600928.SH,西安银行,2019-03-15,9.85,9.65,45244444450
600928.SH,西安银行,2019-03-18,9.57,10.61,49777777784
600928.SH,西安银行,2019-03-19,11.13,10.92,51200000006
600928.SH,西安银行,2019-03-20,10.68,12.01,56311111118
600928.SH,西安银行,2019-03-21,12.79,11.73,55022222229
600928.SH,西安银行,2019-03-22,12.29,11.51,54000000007
600928.SH,西安银行,2019-03-25,10.78,10.97,51466666673
600928.SH,西安银行,2019-03-26,10.80,10.95,51333333340
600928.SH,西安银行,2019-03-27,10.87,10.97,51466666673
600928.SH,西安银行,2019-03-28,10.71,10.12,47466666673
600928.SH,西安银行,2019-03-29,10.04,11.13,52222222229
600928.SH,西安银行,2019-04-01,11.37,11.78,55244444451
600928.SH,西安银行,2019-04-02,11.57,11.54,54133333340
600928.SH,西安银行,2019-04-03,11.17,11.36,53288888896
600928.SH,西安银行,2019-04-04,11.41,11.32,53111111118
600928.SH,西安银行,2019-04-08,11.18,10.99,51555555562
600928.SH,西安银行,2019-04-09,10.81,10.81,50711111117
600928.SH,西安银行,2019-04-10,10.73,10.80,50666666673
600928.SH,西安银行,2019-04-11,10.66,10.44,48977777784
600928.SH,西安银行,2019-04-12,10.53,10.54,49422222228
600928.SH,西安银行,2019-04-15,10.66,10.48,49155555562
600928.SH,西安银行,2019-04-16,10.30,10.60,49733333340
600928.SH,西安银行,2019-04-17,10.45,10.43,48933333339
600928.SH,西安银行,2019-04-18,10.50,10.30,48311111117
600928.SH,西安银行,2019-04-19,10.23,10.23,48000000006
600928.SH,西安银行,2019-04-22,10.24,10.04,47066666673
600928.SH,西安银行,2019-04-23,9.90,9.88,46355555561
600928.SH,西安银行,2019-04-24,10.02,9.96,46711111117
600928.SH,西安银行,2019-04-25,9.90,9.83,46088888895
600928.SH,西安银行,2019-04-26,9.67,9.48,44444444450
600928.SH,西安银行,2019-04-29,9.47,8.78,41200000005
