代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002926.SZ,华西证券,2018-02-05,11.14,13.37,35752500000
002926.SZ,华西证券,2018-02-06,14.70,14.70,39322500000
002926.SZ,华西证券,2018-02-07,16.17,16.17,43260000000
002926.SZ,华西证券,2018-02-08,17.79,16.35,43732500000
002926.SZ,华西证券,2018-02-09,15.52,15.47,41370000000
002926.SZ,华西证券,2018-02-12,15.74,15.81,42288750000
002926.SZ,华西证券,2018-02-13,15.68,14.55,38928750000
002926.SZ,华西证券,2018-02-14,14.10,13.74,36750000000
002926.SZ,华西证券,2018-02-22,13.89,13.85,37038750000
002926.SZ,华西证券,2018-02-23,13.75,14.03,37537500000
002926.SZ,华西证券,2018-02-26,14.33,14.89,39821250000
002926.SZ,华西证券,2018-02-27,14.61,14.51,38797500000
002926.SZ,华西证券,2018-02-28,14.14,14.29,38220000000
002926.SZ,华西证券,2018-03-01,14.12,14.58,39007500000
002926.SZ,华西证券,2018-03-02,14.40,14.34,38351250000
002926.SZ,华西证券,2018-03-05,14.16,14.21,38010000000
002926.SZ,华西证券,2018-03-06,14.34,14.92,39900000000
002926.SZ,华西证券,2018-03-07,14.80,14.47,38692500000
002926.SZ,华西证券,2018-03-08,14.34,14.63,39138750000
002926.SZ,华西证券,2018-03-09,14.66,15.06,40293750000
002926.SZ,华西证券,2018-03-12,15.35,15.17,40582500000
002926.SZ,华西证券,2018-03-13,15.03,14.79,39558750000
002926.SZ,华西证券,2018-03-14,14.74,14.84,39690000000
002926.SZ,华西证券,2018-03-15,14.23,14.03,37537500000
002926.SZ,华西证券,2018-03-16,13.98,13.85,37038750000
002926.SZ,华西证券,2018-03-19,13.84,13.99,37432500000
002926.SZ,华西证券,2018-03-20,13.82,13.93,37248750000
002926.SZ,华西证券,2018-03-21,13.93,14.04,37563750000
002926.SZ,华西证券,2018-03-22,13.98,13.89,37143750000
002926.SZ,华西证券,2018-03-23,13.15,12.55,33573750000
002926.SZ,华西证券,2018-03-26,12.32,12.77,34151250000
002926.SZ,华西证券,2018-03-27,13.00,12.97,34702500000
002926.SZ,华西证券,2018-03-28,12.75,12.89,34466250000
002926.SZ,华西证券,2018-03-29,13.04,13.12,35096250000
002926.SZ,华西证券,2018-03-30,13.13,13.20,35306250000
002926.SZ,华西证券,2018-04-02,13.19,13.10,35043750000
002926.SZ,华西证券,2018-04-03,12.80,12.89,34466250000
002926.SZ,华西证券,2018-04-04,13.01,12.99,34755000000
002926.SZ,华西证券,2018-04-09,12.88,13.26,35463750000
002926.SZ,华西证券,2018-04-10,13.35,13.61,36408750000
002926.SZ,华西证券,2018-04-11,13.41,13.38,35778750000
002926.SZ,华西证券,2018-04-12,13.35,13.42,35883750000
002926.SZ,华西证券,2018-04-13,13.53,13.07,34965000000
002926.SZ,华西证券,2018-04-16,12.93,12.69,33941250000
002926.SZ,华西证券,2018-04-17,12.77,12.57,33626250000
002926.SZ,华西证券,2018-04-18,12.76,12.80,34230000000
002926.SZ,华西证券,2018-04-19,12.75,12.76,34125000000
002926.SZ,华西证券,2018-04-20,12.68,12.18,32576250000
002926.SZ,华西证券,2018-04-23,12.21,12.29,32865000000
002926.SZ,华西证券,2018-04-24,12.27,12.64,33810000000
002926.SZ,华西证券,2018-04-25,12.46,12.51,33468750000
002926.SZ,华西证券,2018-04-26,12.49,12.05,32235000000
002926.SZ,华西证券,2018-04-27,12.12,12.19,32602500000
002926.SZ,华西证券,2018-05-02,12.56,12.23,32707500000
002926.SZ,华西证券,2018-05-03,12.17,12.66,33862500000
002926.SZ,华西证券,2018-05-04,12.52,12.42,33232500000
002926.SZ,华西证券,2018-05-07,12.51,12.61,33731250000
002926.SZ,华西证券,2018-05-08,12.57,12.64,33810000000
002926.SZ,华西证券,2018-05-09,12.61,12.51,33468750000
002926.SZ,华西证券,2018-05-10,12.56,12.60,33705000000
002926.SZ,华西证券,2018-05-11,12.63,12.32,32943750000
002926.SZ,华西证券,2018-05-14,12.28,12.35,33022500000
002926.SZ,华西证券,2018-05-15,12.46,12.42,33232500000
002926.SZ,华西证券,2018-05-16,12.37,12.21,32655000000
002926.SZ,华西证券,2018-05-17,12.22,12.23,32707500000
002926.SZ,华西证券,2018-05-18,12.25,12.41,33206250000
002926.SZ,华西证券,2018-05-21,12.50,12.50,33442500000
002926.SZ,华西证券,2018-05-22,12.47,12.73,34046250000
002926.SZ,华西证券,2018-05-23,12.63,12.50,33442500000
002926.SZ,华西证券,2018-05-24,12.46,12.43,33258750000
002926.SZ,华西证券,2018-05-25,12.40,12.24,32733750000
002926.SZ,华西证券,2018-05-28,12.20,12.28,32838750000
002926.SZ,华西证券,2018-05-29,12.23,12.07,32287500000
002926.SZ,华西证券,2018-05-30,11.80,11.28,30161250000
002926.SZ,华西证券,2018-05-31,11.38,11.40,30502500000
002926.SZ,华西证券,2018-06-01,11.35,11.49,30738750000
002926.SZ,华西证券,2018-06-04,11.48,11.38,30450000000
002926.SZ,华西证券,2018-06-05,11.43,11.53,30843750000
002926.SZ,华西证券,2018-06-06,11.48,11.56,30922500000
002926.SZ,华西证券,2018-06-07,11.59,11.57,30948750000
002926.SZ,华西证券,2018-06-08,11.49,11.25,30082500000
002926.SZ,华西证券,2018-06-11,11.21,11.27,30135000000
002926.SZ,华西证券,2018-06-12,11.25,11.32,30266250000
002926.SZ,华西证券,2018-06-13,11.27,10.96,29321250000
002926.SZ,华西证券,2018-06-14,10.94,11.01,29452500000
002926.SZ,华西证券,2018-06-15,11.01,10.72,28665000000
002926.SZ,华西证券,2018-06-19,10.58,9.65,25803750000
