代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
601198.SH,东兴证券,2015-02-26,10.39,12.47,33102880000
601198.SH,东兴证券,2015-02-27,13.71,13.71,36408160000
601198.SH,东兴证券,2015-03-02,15.08,15.08,40038960000
601198.SH,东兴证券,2015-03-03,16.59,16.59,44045360000
601198.SH,东兴证券,2015-03-04,18.25,18.25,48452400000
601198.SH,东兴证券,2015-03-05,20.08,20.08,53310160000
601198.SH,东兴证券,2015-03-06,22.09,22.09,58643680000
601198.SH,东兴证券,2015-03-09,22.07,21.18,56239840000
601198.SH,东兴证券,2015-03-10,20.84,20.34,54011280000
601198.SH,东兴证券,2015-03-11,20.31,19.68,52258480000
601198.SH,东兴证券,2015-03-12,19.81,20.17,53535520000
601198.SH,东兴证券,2015-03-13,20.13,19.79,52533920000
601198.SH,东兴证券,2015-03-16,19.91,21.77,57792320000
601198.SH,东兴证券,2015-03-17,21.99,22.10,58668720000
601198.SH,东兴证券,2015-03-18,22.07,22.03,58493440000
601198.SH,东兴证券,2015-03-19,22.04,22.69,60246240000
601198.SH,东兴证券,2015-03-20,22.64,23.59,62625040000
601198.SH,东兴证券,2015-03-23,23.61,23.61,62675120000
601198.SH,东兴证券,2015-03-24,23.49,22.68,60221200000
601198.SH,东兴证券,2015-03-25,22.62,22.54,59845600000
601198.SH,东兴证券,2015-03-26,22.31,23.18,61548320000
601198.SH,东兴证券,2015-03-27,22.97,22.82,60571760000
601198.SH,东兴证券,2015-03-30,22.66,23.01,61097600000
601198.SH,东兴证券,2015-03-31,23.09,23.74,63025680000
601198.SH,东兴证券,2015-04-01,23.92,24.86,66005440000
601198.SH,东兴证券,2015-04-02,24.98,24.83,65930320000
601198.SH,东兴证券,2015-04-03,24.57,27.20,72215360000
601198.SH,东兴证券,2015-04-07,28.20,27.89,74043280000
601198.SH,东兴证券,2015-04-08,27.82,30.68,81455120000
601198.SH,东兴证券,2015-04-09,32.99,32.11,85236160000
601198.SH,东兴证券,2015-04-10,31.60,32.72,86863760000
601198.SH,东兴证券,2015-04-13,32.54,31.68,84109360000
601198.SH,东兴证券,2015-04-14,31.12,30.95,82156240000
601198.SH,东兴证券,2015-04-15,30.84,29.52,78375200000
601198.SH,东兴证券,2015-04-16,28.60,29.48,78275040000
601198.SH,东兴证券,2015-04-17,29.80,29.71,78876000000
601198.SH,东兴证券,2015-04-20,29.71,27.82,73868000000
601198.SH,东兴证券,2015-04-21,27.82,30.61,81254800000
601198.SH,东兴证券,2015-04-22,31.36,31.89,84660240000
601198.SH,东兴证券,2015-04-23,31.60,31.23,82907440000
601198.SH,东兴证券,2015-04-24,30.31,29.96,79552080000
601198.SH,东兴证券,2015-04-27,30.37,30.12,79952720000
601198.SH,东兴证券,2015-04-28,30.12,29.89,79351760000
601198.SH,东兴证券,2015-04-29,29.52,30.11,79927680000
601198.SH,东兴证券,2015-04-30,30.19,29.69,78825920000
601198.SH,东兴证券,2015-05-04,29.52,29.12,77298480000
601198.SH,东兴证券,2015-05-05,29.05,28.33,75220160000
601198.SH,东兴证券,2015-05-06,28.53,28.37,75320320000
601198.SH,东兴证券,2015-05-07,28.20,28.53,75746000000
601198.SH,东兴证券,2015-05-08,29.07,28.77,76372000000
601198.SH,东兴证券,2015-05-11,29.01,30.00,79652240000
601198.SH,东兴证券,2015-05-12,30.15,30.90,82031040000
601198.SH,东兴证券,2015-05-13,30.46,30.07,79827520000
601198.SH,东兴证券,2015-05-14,30.28,29.87,79301680000
601198.SH,东兴证券,2015-05-15,29.45,28.69,76171680000
601198.SH,东兴证券,2015-05-18,28.25,28.94,76822720000
601198.SH,东兴证券,2015-05-19,28.86,31.83,84510000000
601198.SH,东兴证券,2015-05-20,32.12,31.03,82381600000
601198.SH,东兴证券,2015-05-21,30.70,31.82,84484960000
601198.SH,东兴证券,2015-05-22,32.35,35.00,92923440000
