代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300730.SZ,科创信息,2017-12-05,6.43,7.01,1119069828
300730.SZ,科创信息,2017-12-06,7.71,7.71,1230605027
300730.SZ,科创信息,2017-12-07,8.48,8.48,1353293745
300730.SZ,科创信息,2017-12-08,9.33,9.33,1488994904
300730.SZ,科创信息,2017-12-11,10.26,10.26,1637708502
300730.SZ,科创信息,2017-12-12,11.29,11.29,1801293461
300730.SZ,科创信息,2017-12-13,12.42,12.42,1981608699
300730.SZ,科创信息,2017-12-14,13.66,13.66,2179583677
300730.SZ,科创信息,2017-12-15,15.03,15.03,2398006774
300730.SZ,科创信息,2017-12-18,16.53,16.53,2637807452
300730.SZ,科创信息,2017-12-19,18.19,18.19,2901774089
300730.SZ,科创信息,2017-12-20,20.00,20.00,3191765606
300730.SZ,科创信息,2017-12-21,22.00,22.00,3510570382
300730.SZ,科创信息,2017-12-22,24.20,24.20,3861906258
300730.SZ,科创信息,2017-12-25,24.20,24.20,3861906258
300730.SZ,科创信息,2017-12-26,24.20,24.20,3861906258
300730.SZ,科创信息,2017-12-27,24.20,24.20,3861906258
300730.SZ,科创信息,2017-12-28,24.20,24.20,3861906258
300730.SZ,科创信息,2017-12-29,24.20,24.20,3861906258
300730.SZ,科创信息,2018-01-02,26.63,26.63,4248561614
300730.SZ,科创信息,2018-01-03,27.38,26.03,4152827235
300730.SZ,科创信息,2018-01-04,24.01,24.46,3902802498
300730.SZ,科创信息,2018-01-05,24.98,26.91,4293175694
300730.SZ,科创信息,2018-01-08,28.48,26.35,4203947535
300730.SZ,科创信息,2018-01-09,25.12,25.95,4139814795
300730.SZ,科创信息,2018-01-10,26.03,28.54,4553424491
300730.SZ,科创信息,2018-01-11,27.02,27.38,4368461953
300730.SZ,科创信息,2018-01-12,26.52,24.69,3939980898
300730.SZ,科创信息,2018-01-15,22.98,22.22,3545889862
300730.SZ,科创信息,2018-01-16,22.14,22.51,3591433401
300730.SZ,科创信息,2018-01-17,22.19,22.83,3643483161
300730.SZ,科创信息,2018-01-18,22.63,21.67,3457591163
300730.SZ,科创信息,2018-01-19,21.20,22.00,3509640922
300730.SZ,科创信息,2018-01-22,21.37,20.29,3237309145
300730.SZ,科创信息,2018-01-23,20.68,20.97,3346055964
300730.SZ,科创信息,2018-01-24,20.74,21.48,3427848443
300730.SZ,科创信息,2018-01-25,21.09,23.63,3770819179
300730.SZ,科创信息,2018-01-26,22.32,22.68,3619317201
300730.SZ,科创信息,2018-01-29,22.32,23.34,3724346180
300730.SZ,科创信息,2018-01-30,23.30,22.06,3519864982
300730.SZ,科创信息,2018-01-31,21.44,19.85,3167599646
300730.SZ,科创信息,2018-02-01,19.35,18.85,3007732528
300730.SZ,科创信息,2018-02-02,18.85,18.05,2879467049
300730.SZ,科创信息,2018-02-05,17.41,16.79,2678703691
300730.SZ,科创信息,2018-02-06,16.31,15.43,2462139514
300730.SZ,科创信息,2018-02-07,15.96,16.32,2603417432
300730.SZ,科创信息,2018-02-08,16.10,16.46,2625724472
300730.SZ,科创信息,2018-02-09,15.77,15.99,2551367673
300730.SZ,科创信息,2018-02-12,16.25,16.56,2641525292
300730.SZ,科创信息,2018-02-13,16.40,16.57,2644313672
300730.SZ,科创信息,2018-02-14,16.30,15.77,2516977653
300730.SZ,科创信息,2018-02-22,16.13,16.38,2613641492
300730.SZ,科创信息,2018-02-23,16.30,17.04,2719599931
300730.SZ,科创信息,2018-02-26,17.56,17.61,2809757550
300730.SZ,科创信息,2018-02-27,17.51,19.37,3090454467
300730.SZ,科创信息,2018-02-28,18.99,18.62,2970554128
300730.SZ,科创信息,2018-03-01,18.64,19.78,3155516666
300730.SZ,科创信息,2018-03-02,18.88,18.99,3030039567
300730.SZ,科创信息,2018-03-05,19.20,19.57,3122985566
300730.SZ,科创信息,2018-03-06,19.52,19.22,3067217967
300730.SZ,科创信息,2018-03-07,19.50,19.68,3139715846
300730.SZ,科创信息,2018-03-08,19.81,21.65,3453873323
300730.SZ,科创信息,2018-03-09,23.81,23.81,3799632439
300730.SZ,科创信息,2018-03-12,26.20,26.20,4179781575
300730.SZ,科创信息,2018-03-13,26.73,25.51,4070105296
300730.SZ,科创信息,2018-03-14,24.76,24.38,3889790058
300730.SZ,科创信息,2018-03-15,22.83,22.23,3546819322
300730.SZ,科创信息,2018-03-16,22.51,22.37,3569126362
300730.SZ,科创信息,2018-03-19,21.95,22.84,3644412621
300730.SZ,科创信息,2018-03-20,22.63,25.12,4008760937
300730.SZ,科创信息,2018-03-21,25.63,23.31,3719698880
300730.SZ,科创信息,2018-03-22,23.30,25.64,4091482876
300730.SZ,科创信息,2018-03-23,24.82,23.08,3682520480
300730.SZ,科创信息,2018-03-26,21.93,24.56,3919532778
300730.SZ,科创信息,2018-03-27,24.23,25.83,4122155056
300730.SZ,科创信息,2018-03-28,25.25,28.42,4534835291
300730.SZ,科创信息,2018-03-29,27.84,26.93,4296893534
300730.SZ,科创信息,2018-03-30,26.85,29.62,4726304049
300730.SZ,科创信息,2018-04-02,31.34,29.65,4730951349
300730.SZ,科创信息,2018-04-03,27.79,28.21,4500445272
300730.SZ,科创信息,2018-04-04,28.55,27.35,4363814653
300730.SZ,科创信息,2018-04-09,27.24,28.22,4502304192
300730.SZ,科创信息,2018-04-10,27.15,26.28,4193723475
300730.SZ,科创信息,2018-04-11,26.28,26.74,4266221354
300730.SZ,科创信息,2018-04-12,26.34,25.50,4068246376
300730.SZ,科创信息,2018-04-13,25.81,25.39,4051516096
300730.SZ,科创信息,2018-04-16,24.84,26.30,4196511855
300730.SZ,科创信息,2018-04-17,26.78,25.22,4024561757
300730.SZ,科创信息,2018-04-18,25.48,25.77,4111930996
300730.SZ,科创信息,2018-04-19,25.70,26.77,4271798114
300730.SZ,科创信息,2018-04-20,25.16,24.09,3844246519
300730.SZ,科创信息,2018-04-23,25.40,25.61,4086835576
300730.SZ,科创信息,2018-04-24,25.10,26.98,4305258674
300730.SZ,科创信息,2018-04-25,26.38,27.61,4405640353
300730.SZ,科创信息,2018-04-26,27.44,26.04,4154686155
300730.SZ,科创信息,2018-04-27,25.70,24.31,3878636538
300730.SZ,科创信息,2018-05-02,24.50,23.26,3711333740
300730.SZ,科创信息,2018-05-03,23.27,24.29,3875848158
300730.SZ,科创信息,2018-05-04,24.02,23.42,3736429160
300730.SZ,科创信息,2018-05-07,23.54,24.12,3847964359
300730.SZ,科创信息,2018-05-08,24.00,24.32,3880495458
300730.SZ,科创信息,2018-05-09,24.32,24.54,3915814938
300730.SZ,科创信息,2018-05-10,24.64,24.23,3866553558
300730.SZ,科创信息,2018-05-11,24.33,23.63,3769889719
300730.SZ,科创信息,2018-05-14,23.56,23.71,3783831619
300730.SZ,科创信息,2018-05-15,23.89,24.49,3907449798
300730.SZ,科创信息,2018-05-16,24.23,24.02,3832163539
300730.SZ,科创信息,2018-05-17,24.17,24.76,3950204957
300730.SZ,科创信息,2018-05-18,24.87,24.31,3879565998
300730.SZ,科创信息,2018-05-21,24.59,25.33,4042221497
