代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
688078.SH,龙软科技,2019-12-30,49.55,48.66,3459675000
688078.SH,龙软科技,2019-12-31,45.77,50.84,3615325000
688078.SH,龙软科技,2020-01-02,50.40,49.56,3524057500
688078.SH,龙软科技,2020-01-03,49.75,48.65,3458967500
688078.SH,龙软科技,2020-01-06,48.38,47.03,3344352500
688078.SH,龙软科技,2020-01-07,47.38,51.92,3691735000
688078.SH,龙软科技,2020-01-08,50.55,49.07,3489390000
688078.SH,龙软科技,2020-01-09,49.55,49.87,3545990000
688078.SH,龙软科技,2020-01-10,50.25,50.74,3608250000
688078.SH,龙软科技,2020-01-13,51.14,51.33,3649992500
688078.SH,龙软科技,2020-01-14,51.24,50.41,3584195000
688078.SH,龙软科技,2020-01-15,50.59,48.90,3477362500
688078.SH,龙软科技,2020-01-16,49.06,51.38,3653530000
688078.SH,龙软科技,2020-01-17,52.02,53.84,3828282500
688078.SH,龙软科技,2020-01-20,53.63,53.95,3836065000
688078.SH,龙软科技,2020-01-21,53.01,53.42,3798567500
688078.SH,龙软科技,2020-01-22,52.59,57.56,4092887500
688078.SH,龙软科技,2020-01-23,56.43,55.46,3943605000
688078.SH,龙软科技,2020-02-03,44.77,44.37,3154742500
688078.SH,龙软科技,2020-02-04,44.71,48.86,3474532500
688078.SH,龙软科技,2020-02-05,48.59,50.43,3585610000
688078.SH,龙软科技,2020-02-06,49.85,52.95,3765315000
688078.SH,龙软科技,2020-02-07,53.43,55.71,3961292500
688078.SH,龙软科技,2020-02-10,54.73,54.83,3899032500
688078.SH,龙软科技,2020-02-11,56.40,54.87,3901862500
688078.SH,龙软科技,2020-02-12,52.26,56.70,4032042500
688078.SH,龙软科技,2020-02-13,56.07,57.06,4057512500
688078.SH,龙软科技,2020-02-14,56.71,55.38,3937945000
688078.SH,龙软科技,2020-02-17,55.75,57.81,4110575000
688078.SH,龙软科技,2020-02-18,57.53,58.39,4151610000
688078.SH,龙软科技,2020-02-19,58.16,55.98,3980395000
688078.SH,龙软科技,2020-02-20,55.71,55.52,3947850000
688078.SH,龙软科技,2020-02-21,55.42,55.44,3942190000
688078.SH,龙软科技,2020-02-24,55.62,55.81,3968367500
688078.SH,龙软科技,2020-02-25,54.73,54.74,3892665000
688078.SH,龙软科技,2020-02-26,53.74,50.55,3594100000
688078.SH,龙软科技,2020-02-27,51.24,50.22,3570752500
688078.SH,龙软科技,2020-02-28,47.76,47.17,3354257500
688078.SH,龙软科技,2020-03-02,48.16,49.44,3515567500
688078.SH,龙软科技,2020-03-03,53.88,51.01,3627352500
688078.SH,龙软科技,2020-03-04,50.05,51.01,3627352500
688078.SH,龙软科技,2020-03-05,51.74,50.81,3613202500
688078.SH,龙软科技,2020-03-06,49.95,50.24,3572167500
688078.SH,龙软科技,2020-03-09,48.98,47.30,3363455000
688078.SH,龙软科技,2020-03-10,46.80,49.05,3487975000
688078.SH,龙软科技,2020-03-11,48.94,47.82,3400245000
688078.SH,龙软科技,2020-03-12,47.06,46.57,3311100000
