代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002943.SZ,宇晶股份,2018-11-29,21.04,25.25,2536000000
002943.SZ,宇晶股份,2018-11-30,27.78,27.78,2790000000
002943.SZ,宇晶股份,2018-12-03,30.55,30.55,3069000000
002943.SZ,宇晶股份,2018-12-04,33.61,33.61,3376000000
002943.SZ,宇晶股份,2018-12-05,36.98,36.98,3714000000
002943.SZ,宇晶股份,2018-12-06,40.67,40.67,4085000000
002943.SZ,宇晶股份,2018-12-07,41.89,42.01,4220000000
002943.SZ,宇晶股份,2018-12-10,40.42,39.92,4010000000
002943.SZ,宇晶股份,2018-12-11,39.92,39.57,3975000000
002943.SZ,宇晶股份,2018-12-12,39.03,40.11,4029000000
002943.SZ,宇晶股份,2018-12-13,39.47,39.83,4001000000
002943.SZ,宇晶股份,2018-12-14,39.29,39.87,4005000000
002943.SZ,宇晶股份,2018-12-17,38.91,41.02,4120000000
002943.SZ,宇晶股份,2018-12-18,40.36,37.25,3742000000
002943.SZ,宇晶股份,2018-12-19,36.84,35.37,3553000000
002943.SZ,宇晶股份,2018-12-20,35.33,36.00,3616000000
002943.SZ,宇晶股份,2018-12-21,35.40,36.18,3634000000
002943.SZ,宇晶股份,2018-12-24,35.79,37.00,3716000000
002943.SZ,宇晶股份,2018-12-25,36.12,36.24,3640000000
002943.SZ,宇晶股份,2018-12-26,36.42,36.94,3710000000
002943.SZ,宇晶股份,2018-12-27,37.24,38.06,3823000000
002943.SZ,宇晶股份,2018-12-28,37.48,34.75,3490000000
002943.SZ,宇晶股份,2019-01-02,33.85,34.07,3422000000
002943.SZ,宇晶股份,2019-01-03,33.84,31.60,3174000000
002943.SZ,宇晶股份,2019-01-04,30.99,32.31,3245000000
002943.SZ,宇晶股份,2019-01-07,32.34,32.47,3261000000
002943.SZ,宇晶股份,2019-01-08,32.48,33.39,3354000000
002943.SZ,宇晶股份,2019-01-09,33.35,33.78,3393000000
002943.SZ,宇晶股份,2019-01-10,33.85,34.94,3509000000
002943.SZ,宇晶股份,2019-01-11,34.93,37.11,3727000000
002943.SZ,宇晶股份,2019-01-14,37.19,33.42,3357000000
002943.SZ,宇晶股份,2019-01-15,32.49,36.77,3693000000
002943.SZ,宇晶股份,2019-01-16,37.63,36.91,3707000000
002943.SZ,宇晶股份,2019-01-17,35.25,38.81,3898000000
002943.SZ,宇晶股份,2019-01-18,38.13,42.69,4288000000
002943.SZ,宇晶股份,2019-01-21,41.81,40.62,4080000000
002943.SZ,宇晶股份,2019-01-22,39.33,42.02,4221000000
002943.SZ,宇晶股份,2019-01-23,41.28,40.93,4111000000
002943.SZ,宇晶股份,2019-01-24,40.02,42.10,4229000000
002943.SZ,宇晶股份,2019-01-25,41.26,38.48,3865000000
002943.SZ,宇晶股份,2019-01-28,38.99,42.33,4252000000
002943.SZ,宇晶股份,2019-01-29,42.81,46.56,4677000000
002943.SZ,宇晶股份,2019-01-30,48.90,41.90,4209000000
002943.SZ,宇晶股份,2019-01-31,37.71,37.71,3788000000
002943.SZ,宇晶股份,2019-02-01,37.63,37.05,3721000000
002943.SZ,宇晶股份,2019-02-11,37.25,38.78,3895000000
002943.SZ,宇晶股份,2019-02-12,38.81,40.25,4043000000
002943.SZ,宇晶股份,2019-02-13,40.01,41.10,4128000000
002943.SZ,宇晶股份,2019-02-14,40.80,41.72,4190000000
002943.SZ,宇晶股份,2019-02-15,41.37,41.49,4167000000
002943.SZ,宇晶股份,2019-02-18,41.51,42.60,4279000000
002943.SZ,宇晶股份,2019-02-19,42.65,41.51,4169000000
002943.SZ,宇晶股份,2019-02-20,41.12,40.22,4040000000
002943.SZ,宇晶股份,2019-02-21,40.02,40.10,4028000000
002943.SZ,宇晶股份,2019-02-22,40.10,40.00,4018000000
002943.SZ,宇晶股份,2019-02-25,40.15,43.29,4348000000
002943.SZ,宇晶股份,2019-02-26,42.81,43.46,4365000000
002943.SZ,宇晶股份,2019-02-27,43.06,45.31,4551000000
002943.SZ,宇晶股份,2019-02-28,43.81,42.35,4254000000
002943.SZ,宇晶股份,2019-03-01,42.41,42.92,4311000000
002943.SZ,宇晶股份,2019-03-04,42.77,43.11,4330000000
002943.SZ,宇晶股份,2019-03-05,42.58,43.16,4335000000
002943.SZ,宇晶股份,2019-03-06,43.13,44.48,4468000000
002943.SZ,宇晶股份,2019-03-07,43.86,46.17,4637000000
002943.SZ,宇晶股份,2019-03-08,44.15,41.55,4173000000
002943.SZ,宇晶股份,2019-03-11,41.62,42.44,4263000000
002943.SZ,宇晶股份,2019-03-12,42.67,43.47,4366000000
002943.SZ,宇晶股份,2019-03-13,43.24,40.64,4082000000
002943.SZ,宇晶股份,2019-03-14,40.48,37.99,3816000000
002943.SZ,宇晶股份,2019-03-15,38.07,38.61,3878000000
002943.SZ,宇晶股份,2019-03-18,38.96,39.62,3980000000
002943.SZ,宇晶股份,2019-03-19,39.41,39.17,3934000000
002943.SZ,宇晶股份,2019-03-20,39.03,39.99,4017000000
002943.SZ,宇晶股份,2019-03-21,39.97,39.68,3986000000
002943.SZ,宇晶股份,2019-03-22,39.80,38.95,3912000000
002943.SZ,宇晶股份,2019-03-25,38.04,38.49,3866000000
002943.SZ,宇晶股份,2019-03-26,38.63,37.77,3794000000
002943.SZ,宇晶股份,2019-03-27,37.88,36.85,3701000000
002943.SZ,宇晶股份,2019-03-28,36.84,36.29,3645000000
002943.SZ,宇晶股份,2019-03-29,36.69,37.09,3725000000
002943.SZ,宇晶股份,2019-04-01,37.44,38.48,3865000000
002943.SZ,宇晶股份,2019-04-02,38.48,38.83,3900000000
002943.SZ,宇晶股份,2019-04-03,38.82,39.29,3946000000
002943.SZ,宇晶股份,2019-04-04,39.26,40.82,4100000000
002943.SZ,宇晶股份,2019-04-08,40.93,39.40,3957000000
002943.SZ,宇晶股份,2019-04-09,38.97,38.86,3903000000
002943.SZ,宇晶股份,2019-04-10,36.94,36.85,3701000000
002943.SZ,宇晶股份,2019-04-11,36.62,36.54,3670000000
002943.SZ,宇晶股份,2019-04-12,36.56,36.90,3706000000
002943.SZ,宇晶股份,2019-04-15,37.17,36.47,3663000000
002943.SZ,宇晶股份,2019-04-16,36.41,36.67,3683000000
002943.SZ,宇晶股份,2019-04-17,36.53,36.76,3692000000
002943.SZ,宇晶股份,2019-04-18,36.75,35.85,3601000000
002943.SZ,宇晶股份,2019-04-19,35.75,35.69,3585000000
002943.SZ,宇晶股份,2019-04-22,35.70,35.33,3549000000
002943.SZ,宇晶股份,2019-04-23,35.34,35.41,3557000000
002943.SZ,宇晶股份,2019-04-24,35.41,35.45,3561000000
