代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603315.SH,福鞍股份,2015-04-24,7.58,7.58,1551000000
603315.SH,福鞍股份,2015-04-27,8.34,8.34,1706000000
603315.SH,福鞍股份,2015-04-28,9.18,9.18,1877000000
603315.SH,福鞍股份,2015-04-29,10.10,10.10,2065000000
603315.SH,福鞍股份,2015-04-30,11.11,11.11,2272000000
603315.SH,福鞍股份,2015-05-04,12.22,12.22,2499000000
603315.SH,福鞍股份,2015-05-05,13.44,13.44,2749000000
603315.SH,福鞍股份,2015-05-06,14.79,14.79,3024000000
603315.SH,福鞍股份,2015-05-07,15.59,13.78,2817000000
603315.SH,福鞍股份,2015-05-08,13.76,15.16,3099000000
603315.SH,福鞍股份,2015-05-11,15.31,16.67,3409000000
603315.SH,福鞍股份,2015-05-12,17.39,18.34,3750000000
603315.SH,福鞍股份,2015-05-13,18.83,19.94,4077000000
603315.SH,福鞍股份,2015-05-14,19.85,21.93,4485000000
603315.SH,福鞍股份,2015-05-15,23.77,24.13,4934000000
603315.SH,福鞍股份,2015-05-18,26.54,26.54,5427000000
603315.SH,福鞍股份,2015-05-19,29.20,29.20,5970000000
603315.SH,福鞍股份,2015-05-20,29.20,32.11,6567000000
603315.SH,福鞍股份,2015-05-21,35.16,35.33,7224000000
603315.SH,福鞍股份,2015-05-22,38.86,38.86,7946000000
603315.SH,福鞍股份,2015-05-25,42.55,42.75,8741000000
603315.SH,福鞍股份,2015-05-26,47.02,47.02,9615000000
603315.SH,福鞍股份,2015-05-27,51.73,51.73,10577000000
603315.SH,福鞍股份,2015-05-28,56.90,46.55,9519000000
603315.SH,福鞍股份,2015-05-29,41.90,43.84,8965000000
603315.SH,福鞍股份,2015-06-01,41.57,39.46,8069000000
603315.SH,福鞍股份,2015-06-02,35.70,35.51,7262000000
603315.SH,福鞍股份,2015-06-03,35.23,35.58,7276000000
603315.SH,福鞍股份,2015-06-04,35.09,32.22,6589000000
603315.SH,福鞍股份,2015-06-05,32.86,32.84,6715000000
603315.SH,福鞍股份,2015-06-08,33.00,30.84,6306000000
603315.SH,福鞍股份,2015-06-09,30.76,31.21,6383000000
603315.SH,福鞍股份,2015-06-10,30.56,32.75,6697000000
603315.SH,福鞍股份,2015-06-11,32.35,34.84,7125000000
