代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000088.SZ,盐田港,2010-01-04,4.24,4.16,10221450000
000088.SZ,盐田港,2010-01-05,4.18,4.18,10271250000
000088.SZ,盐田港,2010-01-06,4.17,4.20,10333500000
000088.SZ,盐田港,2010-01-07,4.19,4.23,10395750000
000088.SZ,盐田港,2010-01-08,4.24,4.35,10694550000
000088.SZ,盐田港,2010-01-11,4.41,4.36,10719450000
000088.SZ,盐田港,2010-01-12,4.35,4.51,11092950000
000088.SZ,盐田港,2010-01-13,4.40,4.44,10931100000
000088.SZ,盐田港,2010-01-14,4.46,4.50,11080500000
000088.SZ,盐田港,2010-01-15,4.52,4.44,10931100000
000088.SZ,盐田港,2010-01-18,4.43,4.54,11155200000
000088.SZ,盐田港,2010-01-19,4.53,4.57,11242350000
000088.SZ,盐田港,2010-01-20,4.57,4.36,10731900000
000088.SZ,盐田港,2010-01-21,4.39,4.37,10744350000
000088.SZ,盐田港,2010-01-22,4.33,4.26,10482900000
000088.SZ,盐田港,2010-01-25,4.25,4.23,10408200000
000088.SZ,盐田港,2010-01-26,4.23,4.13,10146750000
000088.SZ,盐田港,2010-01-27,4.13,4.09,10072050000
000088.SZ,盐田港,2010-01-28,4.11,4.15,10196550000
000088.SZ,盐田港,2010-01-29,4.13,4.15,10209000000
000088.SZ,盐田港,2010-02-01,4.14,4.05,9972450000
000088.SZ,盐田港,2010-02-02,4.07,4.05,9972450000
000088.SZ,盐田港,2010-02-03,4.06,4.13,10146750000
000088.SZ,盐田港,2010-02-04,4.09,4.12,10134300000
000088.SZ,盐田港,2010-02-05,4.05,4.03,9922650000
000088.SZ,盐田港,2010-02-08,4.05,4.01,9872850000
000088.SZ,盐田港,2010-02-09,4.02,4.08,10047150000
000088.SZ,盐田港,2010-02-10,4.08,4.09,10059600000
000088.SZ,盐田港,2010-02-11,4.11,4.09,10059600000
000088.SZ,盐田港,2010-02-12,4.09,4.12,10121850000
000088.SZ,盐田港,2010-02-22,4.11,4.12,10121850000
000088.SZ,盐田港,2010-02-23,4.11,4.08,10047150000
000088.SZ,盐田港,2010-02-24,4.06,4.16,10233900000
000088.SZ,盐田港,2010-02-25,4.17,4.21,10358400000
000088.SZ,盐田港,2010-02-26,4.20,4.19,10296150000
000088.SZ,盐田港,2010-03-01,4.19,4.23,10395750000
000088.SZ,盐田港,2010-03-02,4.24,4.22,10370850000
000088.SZ,盐田港,2010-03-03,4.22,4.30,10570050000
000088.SZ,盐田港,2010-03-04,4.28,4.22,10370850000
000088.SZ,盐田港,2010-03-05,4.21,4.29,10557600000
000088.SZ,盐田港,2010-03-08,4.27,4.30,10570050000
000088.SZ,盐田港,2010-03-09,4.28,4.25,10458000000
000088.SZ,盐田港,2010-03-10,4.25,4.29,10545150000
000088.SZ,盐田港,2010-03-11,4.28,4.28,10520250000
000088.SZ,盐田港,2010-03-12,4.28,4.29,10557600000
000088.SZ,盐田港,2010-03-15,4.28,4.13,10159200000
000088.SZ,盐田港,2010-03-16,4.13,4.11,10096950000
000088.SZ,盐田港,2010-03-17,4.12,4.46,10980900000
000088.SZ,盐田港,2010-03-18,4.44,4.53,11130300000
000088.SZ,盐田港,2010-03-19,4.51,4.58,11267250000
000088.SZ,盐田港,2010-03-22,4.58,4.56,11205000000
000088.SZ,盐田港,2010-03-23,4.57,4.48,11018250000
000088.SZ,盐田港,2010-03-24,4.49,4.51,11092950000
000088.SZ,盐田港,2010-03-25,4.47,4.38,10781700000
000088.SZ,盐田港,2010-03-26,4.39,4.45,10943550000
000088.SZ,盐田港,2010-03-29,4.50,4.46,10968450000
000088.SZ,盐田港,2010-03-30,4.47,4.43,10906200000
000088.SZ,盐田港,2010-03-31,4.43,4.47,10993350000
000088.SZ,盐田港,2010-04-01,4.47,4.49,11043150000
000088.SZ,盐田港,2010-04-02,4.50,4.50,11080500000
000088.SZ,盐田港,2010-04-06,4.54,4.47,10993350000
000088.SZ,盐田港,2010-04-07,4.47,4.43,10906200000
000088.SZ,盐田港,2010-04-08,4.45,4.46,10980900000
000088.SZ,盐田港,2010-04-09,4.45,4.47,10993350000
000088.SZ,盐田港,2010-04-12,4.47,4.43,10893750000
000088.SZ,盐田港,2010-04-13,4.42,4.44,10918650000
