代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600650.SH,锦江投资,2010-01-04,12.32,12.00,8627182073
600650.SH,锦江投资,2010-01-05,12.09,12.19,8765084600
600650.SH,锦江投资,2010-01-06,12.12,11.94,8583053265
600650.SH,锦江投资,2010-01-07,11.89,12.10,8698891387
600650.SH,锦江投资,2010-01-08,12.01,12.53,9007793047
600650.SH,锦江投资,2010-01-11,12.54,12.96,9316694707
600650.SH,锦江投资,2010-01-12,12.96,13.09,9410468425
600650.SH,锦江投资,2010-01-13,12.74,12.91,9278082000
600650.SH,锦江投资,2010-01-14,12.91,13.21,9493209941
600650.SH,锦江投资,2010-01-15,13.21,13.44,9664209075
600650.SH,锦江投资,2010-01-18,13.58,14.01,10072400554
600650.SH,锦江投资,2010-01-19,14.01,13.90,9995175139
600650.SH,锦江投资,2010-01-20,13.93,13.37,9609048064
600650.SH,锦江投资,2010-01-21,13.64,13.72,9862788713
600650.SH,锦江投资,2010-01-22,13.50,13.54,9730402287
600650.SH,锦江投资,2010-01-25,13.39,12.98,9327726909
600650.SH,锦江投资,2010-01-26,12.99,12.35,8880922723
600650.SH,锦江投资,2010-01-27,12.35,12.35,8880922723
600650.SH,锦江投资,2010-01-28,12.42,12.77,9178792180
600650.SH,锦江投资,2010-01-29,12.70,12.84,9228437090
600650.SH,锦江投资,2010-02-01,12.78,12.76,9173276079
600650.SH,锦江投资,2010-02-02,12.95,12.29,8836793914
600650.SH,锦江投资,2010-02-03,12.27,12.42,8925051531
600650.SH,锦江投资,2010-02-04,12.29,12.88,9256017595
600650.SH,锦江投资,2010-02-05,12.56,12.65,9090534563
600650.SH,锦江投资,2010-02-08,12.59,12.69,9123631170
600650.SH,锦江投资,2010-02-09,12.65,12.58,9040889654
600650.SH,锦江投资,2010-02-10,12.67,12.52,9002276946
600650.SH,锦江投资,2010-02-11,12.55,12.38,8902987127
600650.SH,锦江投资,2010-02-12,12.49,12.88,9261533697
600650.SH,锦江投资,2010-02-22,12.90,12.92,9289114202
600650.SH,锦江投资,2010-02-23,12.89,13.11,9421500628
600650.SH,锦江投资,2010-02-24,12.97,13.28,9542854851
600650.SH,锦江投资,2010-02-25,13.20,13.49,9697305681
600650.SH,锦江投资,2010-02-26,13.35,13.24,9515274346
600650.SH,锦江投资,2010-03-01,13.16,13.24,9515274346
600650.SH,锦江投资,2010-03-02,13.23,13.12,9432532830
600650.SH,锦江投资,2010-03-03,13.12,13.47,9686273479
600650.SH,锦江投资,2010-03-04,13.47,12.83,9222920989
600650.SH,锦江投资,2010-03-05,12.75,12.91,9283598101
600650.SH,锦江投资,2010-03-08,12.91,13.32,9575951458
600650.SH,锦江投资,2010-03-09,13.35,13.38,9620080266
600650.SH,锦江投资,2010-03-10,13.38,13.08,9404952324
600650.SH,锦江投资,2010-03-11,13.08,12.85,9233953191
600650.SH,锦江投资,2010-03-12,12.82,12.68,9112598968
600650.SH,锦江投资,2010-03-15,12.61,12.81,9206372686
600650.SH,锦江投资,2010-03-16,12.88,12.86,9244985393
