代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002120.SZ,韵达股份,2010-01-04,3.97,3.99,1678627600
002120.SZ,韵达股份,2010-01-05,4.01,4.15,1749259200
002120.SZ,韵达股份,2010-01-06,4.17,3.98,1677124800
002120.SZ,韵达股份,2010-01-07,3.99,3.87,1629035200
002120.SZ,韵达股份,2010-01-08,3.82,3.95,1662096800
002120.SZ,韵达股份,2010-01-11,3.96,3.94,1657588400
002120.SZ,韵达股份,2010-01-12,3.92,4.03,1698164000
002120.SZ,韵达股份,2010-01-13,3.95,3.91,1645566000
002120.SZ,韵达股份,2010-01-14,3.91,4.04,1701169600
002120.SZ,韵达股份,2010-01-15,4.05,4.05,1704175200
002120.SZ,韵达股份,2010-01-18,4.05,4.14,1741745200
002120.SZ,韵达股份,2010-01-19,4.14,4.05,1705678000
002120.SZ,韵达股份,2010-01-20,4.04,3.81,1604990400
002120.SZ,韵达股份,2010-01-21,3.80,3.84,1615510000
002120.SZ,韵达股份,2010-01-22,3.81,3.83,1614007200
002120.SZ,韵达股份,2010-01-25,3.83,3.83,1614007200
002120.SZ,韵达股份,2010-01-26,3.83,3.60,1516325200
002120.SZ,韵达股份,2010-01-27,3.60,3.61,1520833600
002120.SZ,韵达股份,2010-01-28,3.66,3.62,1523839200
002120.SZ,韵达股份,2010-01-29,3.62,3.71,1564414800
002120.SZ,韵达股份,2010-02-01,3.71,3.65,1537364400
002120.SZ,韵达股份,2010-02-02,3.68,3.68,1547884000
002120.SZ,韵达股份,2010-02-03,3.64,3.76,1582448400
002120.SZ,韵达股份,2010-02-04,3.76,3.79,1597476400
002120.SZ,韵达股份,2010-02-05,3.71,3.68,1547884000
002120.SZ,韵达股份,2010-02-08,3.67,3.68,1547884000
002120.SZ,韵达股份,2010-02-09,3.68,3.67,1546381200
002120.SZ,韵达股份,2010-02-10,3.68,3.73,1568923200
002120.SZ,韵达股份,2010-02-11,3.73,3.66,1541872800
002120.SZ,韵达股份,2010-02-12,3.66,3.69,1555398000
002120.SZ,韵达股份,2010-02-22,3.69,3.78,1591465200
