代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603056.SH,德邦股份,2018-01-16,6.80,6.80,6691200000
603056.SH,德邦股份,2018-01-17,7.49,7.49,7363200000
603056.SH,德邦股份,2018-01-18,8.24,8.24,8102400000
603056.SH,德邦股份,2018-01-19,9.06,9.06,8908800000
603056.SH,德邦股份,2018-01-22,9.97,9.97,9801600000
603056.SH,德邦股份,2018-01-23,10.96,10.96,10780800000
603056.SH,德邦股份,2018-01-24,12.06,12.06,11856000000
603056.SH,德邦股份,2018-01-25,13.27,13.27,13046400000
603056.SH,德邦股份,2018-01-26,14.60,14.60,14352000000
603056.SH,德邦股份,2018-01-29,16.06,16.06,15792000000
603056.SH,德邦股份,2018-01-30,17.67,17.67,17376000000
603056.SH,德邦股份,2018-01-31,19.44,19.44,19113600000
603056.SH,德邦股份,2018-02-01,21.38,21.38,21024000000
603056.SH,德邦股份,2018-02-02,22.86,23.52,23126400000
603056.SH,德邦股份,2018-02-05,23.43,23.84,23443200000
603056.SH,德邦股份,2018-02-06,22.05,21.46,21100800000
603056.SH,德邦股份,2018-02-07,21.49,19.95,19612800000
603056.SH,德邦股份,2018-02-08,19.45,20.60,20256000000
603056.SH,德邦股份,2018-02-09,19.43,19.76,19430400000
603056.SH,德邦股份,2018-02-12,20.84,20.54,20198400000
603056.SH,德邦股份,2018-02-13,20.01,18.91,18595200000
603056.SH,德邦股份,2018-02-14,18.68,18.43,18124800000
603056.SH,德邦股份,2018-02-22,18.64,18.74,18422400000
603056.SH,德邦股份,2018-02-23,18.59,19.10,18777600000
603056.SH,德邦股份,2018-02-26,20.01,21.01,20659200000
603056.SH,德邦股份,2018-02-27,21.69,22.27,21897600000
603056.SH,德邦股份,2018-02-28,21.28,20.90,20553600000
603056.SH,德邦股份,2018-03-01,20.40,22.99,22608000000
603056.SH,德邦股份,2018-03-02,23.11,21.80,21436800000
603056.SH,德邦股份,2018-03-05,21.85,22.07,21705600000
603056.SH,德邦股份,2018-03-06,21.96,22.05,21686400000
603056.SH,德邦股份,2018-03-07,22.15,22.28,21907200000
603056.SH,德邦股份,2018-03-08,21.80,22.79,22406400000
603056.SH,德邦股份,2018-03-09,22.60,23.75,23356800000
603056.SH,德邦股份,2018-03-12,23.43,24.65,24240000000
603056.SH,德邦股份,2018-03-13,24.49,24.71,24297600000
603056.SH,德邦股份,2018-03-14,24.36,23.35,22963200000
603056.SH,德邦股份,2018-03-15,22.55,22.16,21792000000
603056.SH,德邦股份,2018-03-16,22.24,22.17,21801600000
603056.SH,德邦股份,2018-03-19,22.33,22.49,22118400000
