代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002846.SZ,英联股份,2017-02-07,6.12,7.34,1440000000
002846.SZ,英联股份,2017-02-08,8.08,8.08,1584000000
002846.SZ,英联股份,2017-02-09,8.89,8.89,1742400000
002846.SZ,英联股份,2017-02-10,9.77,9.77,1916400000
002846.SZ,英联股份,2017-02-13,10.75,10.75,2108400000
002846.SZ,英联股份,2017-02-14,11.83,11.83,2319600000
002846.SZ,英联股份,2017-02-15,13.01,13.01,2551200000
002846.SZ,英联股份,2017-02-16,14.32,14.32,2806800000
002846.SZ,英联股份,2017-02-17,15.75,15.75,3087600000
002846.SZ,英联股份,2017-02-20,17.32,17.32,3396000000
002846.SZ,英联股份,2017-02-21,19.05,19.05,3735600000
002846.SZ,英联股份,2017-02-22,20.96,20.96,4108800000
002846.SZ,英联股份,2017-02-23,22.16,23.05,4519200000
002846.SZ,英联股份,2017-02-24,23.87,25.36,4971600000
002846.SZ,英联股份,2017-02-27,23.27,23.37,4581600000
002846.SZ,英联股份,2017-02-28,23.37,23.77,4660800000
002846.SZ,英联股份,2017-03-01,23.25,22.97,4502400000
002846.SZ,英联股份,2017-03-02,22.81,23.09,4527600000
002846.SZ,英联股份,2017-03-03,22.76,23.75,4656000000
002846.SZ,英联股份,2017-03-06,23.87,23.96,4698000000
002846.SZ,英联股份,2017-03-07,23.80,24.47,4797600000
002846.SZ,英联股份,2017-03-08,24.42,25.21,4942800000
002846.SZ,英联股份,2017-03-09,24.84,23.42,4592400000
002846.SZ,英联股份,2017-03-10,23.19,23.44,4596000000
002846.SZ,英联股份,2017-03-13,23.28,24.13,4730400000
002846.SZ,英联股份,2017-03-14,24.12,24.79,4860000000
002846.SZ,英联股份,2017-03-15,24.79,25.15,4930800000
002846.SZ,英联股份,2017-03-16,25.10,27.67,5424000000
002846.SZ,英联股份,2017-03-17,27.85,26.67,5229600000
002846.SZ,英联股份,2017-03-20,25.98,27.11,5314800000
002846.SZ,英联股份,2017-03-21,26.93,27.91,5472000000
002846.SZ,英联股份,2017-03-22,27.42,27.73,5437200000
002846.SZ,英联股份,2017-03-23,27.73,28.55,5596800000
002846.SZ,英联股份,2017-03-24,28.94,29.75,5832000000
002846.SZ,英联股份,2017-03-27,29.37,29.05,5695200000
002846.SZ,英联股份,2017-03-28,28.77,28.94,5673600000
002846.SZ,英联股份,2017-03-29,28.35,26.49,5193600000
002846.SZ,英联股份,2017-03-30,26.09,25.68,5035200000
002846.SZ,英联股份,2017-03-31,25.70,25.93,5083200000
002846.SZ,英联股份,2017-04-05,25.71,27.95,5479200000
002846.SZ,英联股份,2017-04-06,27.76,28.85,5655600000
002846.SZ,英联股份,2017-04-07,28.59,29.50,5784000000
002846.SZ,英联股份,2017-04-10,28.99,28.31,5550000000
002846.SZ,英联股份,2017-04-11,28.16,28.74,5634000000
002846.SZ,英联股份,2017-04-12,28.34,27.68,5427600000
002846.SZ,英联股份,2017-04-13,27.42,27.97,5484000000
002846.SZ,英联股份,2017-04-14,27.97,28.03,5496000000
002846.SZ,英联股份,2017-04-17,26.93,26.32,5160000000
002846.SZ,英联股份,2017-04-18,26.32,26.47,5188800000
002846.SZ,英联股份,2017-04-19,26.69,27.02,5296800000
002846.SZ,英联股份,2017-04-20,27.02,28.77,5640000000
002846.SZ,英联股份,2017-04-21,28.77,28.46,5580000000
002846.SZ,英联股份,2017-04-24,28.16,28.11,5510400000
002846.SZ,英联股份,2017-04-25,28.11,28.91,5668800000
002846.SZ,英联股份,2017-04-26,28.77,28.40,5568000000
002846.SZ,英联股份,2017-04-27,28.16,29.26,5737200000
002846.SZ,英联股份,2017-04-28,29.28,29.26,5737200000
002846.SZ,英联股份,2017-05-02,29.26,28.77,5640000000
002846.SZ,英联股份,2017-05-03,28.77,29.55,5793600000
002846.SZ,英联股份,2017-05-04,29.38,29.29,5743200000
002846.SZ,英联股份,2017-05-05,29.00,28.98,5682000000
002846.SZ,英联股份,2017-05-08,28.98,28.60,5606400000
002846.SZ,英联股份,2017-05-09,28.58,29.76,5834400000
002846.SZ,英联股份,2017-05-10,29.77,30.30,5940000000
002846.SZ,英联股份,2017-05-11,30.05,30.60,6000000000
002846.SZ,英联股份,2017-05-12,30.46,30.17,5914800000
002846.SZ,英联股份,2017-05-15,30.11,29.69,5820000000
002846.SZ,英联股份,2017-05-16,29.56,29.09,5703600000
002846.SZ,英联股份,2017-05-17,29.50,32.00,6273600000
002846.SZ,英联股份,2017-05-18,32.13,32.64,6398400000
002846.SZ,英联股份,2017-05-19,32.44,32.98,6465600000
002846.SZ,英联股份,2017-05-22,32.69,32.16,6306000000
002846.SZ,英联股份,2017-05-23,32.20,31.52,6180000000
002846.SZ,英联股份,2017-05-24,31.52,31.98,6270000000
002846.SZ,英联股份,2017-05-25,31.89,32.02,6277200000
002846.SZ,英联股份,2017-05-26,31.88,32.00,6273600000
002846.SZ,英联股份,2017-05-31,32.23,31.28,6132000000
002846.SZ,英联股份,2017-06-01,31.22,31.28,6132000000
002846.SZ,英联股份,2017-06-02,30.97,31.53,6182400000
002846.SZ,英联股份,2017-06-05,31.77,32.44,6360000000
002846.SZ,英联股份,2017-06-06,33.17,31.76,6226800000
