代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
200017.SZ,*ST中华B,2010-01-04,2.65,2.59,1257822304
200017.SZ,*ST中华B,2010-01-05,2.57,2.72,1320985445
200017.SZ,*ST中华B,2010-01-06,2.69,2.82,1367363253
200017.SZ,*ST中华B,2010-01-07,2.81,2.68,1300149239
200017.SZ,*ST中华B,2010-01-08,2.65,2.75,1333752698
200017.SZ,*ST中华B,2010-01-11,2.78,2.72,1321075482
200017.SZ,*ST中华B,2010-01-12,2.71,2.76,1342255154
200017.SZ,*ST中华B,2010-01-13,2.69,2.66,1291560005
200017.SZ,*ST中华B,2010-01-14,2.68,2.71,1316750086
200017.SZ,*ST中华B,2010-01-15,2.75,2.81,1362647454
200017.SZ,*ST中华B,2010-01-18,2.95,2.92,1417184780
200017.SZ,*ST中华B,2010-01-19,2.92,2.89,1399740514
200017.SZ,*ST中华B,2010-01-20,2.88,2.86,1387281536
200017.SZ,*ST中华B,2010-01-21,2.91,2.86,1386319362
200017.SZ,*ST中华B,2010-01-22,2.79,2.76,1339282190
200017.SZ,*ST中华B,2010-01-25,2.69,2.77,1343310243
200017.SZ,*ST中华B,2010-01-26,2.80,2.65,1285145814
200017.SZ,*ST中华B,2010-01-27,2.64,2.63,1275440268
200017.SZ,*ST中华B,2010-01-28,2.64,2.69,1300696511
200017.SZ,*ST中华B,2010-01-29,2.69,2.69,1301215018
200017.SZ,*ST中华B,2010-02-01,2.71,2.65,1285365155
200017.SZ,*ST中华B,2010-02-02,2.70,2.62,1268320305
200017.SZ,*ST中华B,2010-02-03,2.63,2.67,1293779060
200017.SZ,*ST中华B,2010-02-04,2.63,2.69,1306406990
200017.SZ,*ST中华B,2010-02-05,2.69,2.69,1305812493
200017.SZ,*ST中华B,2010-02-08,2.62,2.69,1301511308
200017.SZ,*ST中华B,2010-02-09,2.66,2.68,1297299297
200017.SZ,*ST中华B,2010-02-10,2.68,2.70,1310263357
200017.SZ,*ST中华B,2010-02-11,2.71,2.73,1322767066
200017.SZ,*ST中华B,2010-02-12,2.74,2.83,1373412450
200017.SZ,*ST中华B,2010-02-22,2.79,2.83,1369838373
200017.SZ,*ST中华B,2010-02-23,2.83,2.85,1382923347
200017.SZ,*ST中华B,2010-02-24,2.83,2.94,1425085644
200017.SZ,*ST中华B,2010-02-25,2.96,2.99,1450086157
200017.SZ,*ST中华B,2010-02-26,2.98,2.88,1395381605
200017.SZ,*ST中华B,2010-03-01,2.90,2.94,1425199078
200017.SZ,*ST中华B,2010-03-02,2.93,3.04,1475294457
200017.SZ,*ST中华B,2010-03-03,3.02,3.12,1513574833
200017.SZ,*ST中华B,2010-03-04,3.12,3.03,1471430706
200017.SZ,*ST中华B,2010-03-05,3.06,2.97,1441835786
200017.SZ,*ST中华B,2010-03-08,2.98,3.11,1509547548
200017.SZ,*ST中华B,2010-03-09,3.14,3.13,1518602119
200017.SZ,*ST中华B,2010-03-10,3.13,3.18,1543631399
200017.SZ,*ST中华B,2010-03-11,3.21,3.16,1535440573
200017.SZ,*ST中华B,2010-03-12,3.15,3.11,1509890822
200017.SZ,*ST中华B,2010-03-15,3.13,3.22,1565074999
200017.SZ,*ST中华B,2010-03-16,3.39,3.39,1645058806
200017.SZ,*ST中华B,2010-03-17,3.56,3.39,1644684849
200017.SZ,*ST中华B,2010-03-18,3.43,3.23,1566260978
200017.SZ,*ST中华B,2010-03-19,3.16,3.07,1488878411
200017.SZ,*ST中华B,2010-03-22,2.99,3.22,1561802447
200017.SZ,*ST中华B,2010-03-23,3.15,3.07,1488793779
200017.SZ,*ST中华B,2010-03-24,3.07,3.10,1503120059
200017.SZ,*ST中华B,2010-03-25,3.10,3.07,1488776853
200017.SZ,*ST中华B,2010-03-26,3.08,3.09,1498509798
200017.SZ,*ST中华B,2010-03-29,3.09,3.02,1464063453
200017.SZ,*ST中华B,2010-03-30,3.04,3.01,1459182370
200017.SZ,*ST中华B,2010-03-31,3.01,3.01,1459115987
200017.SZ,*ST中华B,2010-04-01,3.01,3.07,1488099798
200017.SZ,*ST中华B,2010-04-02,3.07,3.08,1492403620
200017.SZ,*ST中华B,2010-04-06,3.10,3.07,1487795123
200017.SZ,*ST中华B,2010-04-07,3.09,3.12,1512335951
200017.SZ,*ST中华B,2010-04-08,3.12,3.09,1498305358
200017.SZ,*ST中华B,2010-04-09,3.09,3.12,1513316468
200017.SZ,*ST中华B,2010-04-12,3.12,3.05,1479817890
200017.SZ,*ST中华B,2010-04-13,3.07,2.98,1445148359
200017.SZ,*ST中华B,2010-04-14,2.95,2.98,1445444102
200017.SZ,*ST中华B,2010-04-15,2.99,2.99,1449931909
200017.SZ,*ST中华B,2010-04-16,3.01,2.98,1445082638
200017.SZ,*ST中华B,2010-04-19,2.98,2.91,1410897081
200017.SZ,*ST中华B,2010-04-20,2.92,2.79,1352715758
200017.SZ,*ST中华B,2010-04-21,2.79,2.81,1362381659
200017.SZ,*ST中华B,2010-04-22,2.80,2.68,1299323774
200017.SZ,*ST中华B,2010-04-23,2.68,2.55,1236521824
200017.SZ,*ST中华B,2010-04-26,2.57,2.55,1236409349
