代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600038.SH,中直股份,2010-01-04,20.01,19.66,7020253500
600038.SH,中直股份,2010-01-05,19.66,20.49,7313748000
600038.SH,中直股份,2010-01-06,20.79,22.08,7883869500
600038.SH,中直股份,2010-01-07,22.09,22.31,7964833500
600038.SH,中直股份,2010-01-08,22.54,22.45,8015436000
600038.SH,中直股份,2010-01-11,22.27,22.88,8167243500
600038.SH,中直股份,2010-01-12,22.74,23.82,8504593500
600038.SH,中直股份,2010-01-13,23.07,24.22,8646280500
600038.SH,中直股份,2010-01-14,24.21,24.29,8669895000
600038.SH,中直股份,2010-01-15,24.13,24.29,8669895000
600038.SH,中直股份,2010-01-18,24.57,24.47,8737365000
600038.SH,中直股份,2010-01-19,24.47,23.86,8518087500
600038.SH,中直股份,2010-01-20,23.68,22.50,8032303500
600038.SH,中直股份,2010-01-21,22.50,22.94,8190858000
600038.SH,中直股份,2010-01-22,22.58,21.45,7657845000
600038.SH,中直股份,2010-01-25,21.40,21.71,7748929500
600038.SH,中直股份,2010-01-26,21.83,21.62,7718568000
600038.SH,中直股份,2010-01-27,21.54,21.81,7786038000
600038.SH,中直股份,2010-01-28,21.77,23.02,8217846000
600038.SH,中直股份,2010-01-29,22.77,22.74,8116641000
600038.SH,中直股份,2010-02-01,22.91,22.18,7917604500
600038.SH,中直股份,2010-02-02,22.17,22.52,8039050500
600038.SH,中直股份,2010-02-03,22.41,22.23,7937845500
600038.SH,中直股份,2010-02-04,22.02,22.26,7947966000
600038.SH,中直股份,2010-02-05,21.73,22.06,7873749000
600038.SH,中直股份,2010-02-08,22.00,22.28,7954713000
600038.SH,中直股份,2010-02-09,22.29,22.21,7927725000
600038.SH,中直股份,2010-02-10,22.31,23.62,8433750000
600038.SH,中直股份,2010-02-11,23.39,23.45,8373027000
600038.SH,中直股份,2010-02-12,23.53,23.55,8406762000
600038.SH,中直股份,2010-02-22,23.62,24.29,8673268500
600038.SH,中直股份,2010-02-23,24.28,24.68,8811582000
600038.SH,中直股份,2010-02-24,24.70,25.85,9229896000
600038.SH,中直股份,2010-02-25,25.84,26.82,9573993000
600038.SH,中直股份,2010-02-26,26.82,26.75,9550378500
600038.SH,中直股份,2010-03-01,26.46,25.62,9145558500
600038.SH,中直股份,2010-03-02,25.59,25.84,9226522500
600038.SH,中直股份,2010-03-03,25.70,25.83,9223149000
600038.SH,中直股份,2010-03-04,25.80,24.88,8882425500
600038.SH,中直股份,2010-03-05,24.86,24.50,8747485500
600038.SH,中直股份,2010-03-08,24.55,24.46,8730618000
600038.SH,中直股份,2010-03-09,24.72,24.27,8663148000
600038.SH,中直股份,2010-03-10,24.46,23.92,8538328500
600038.SH,中直股份,2010-03-11,23.91,23.37,8342665500
600038.SH,中直股份,2010-03-12,23.46,24.14,8619292500
600038.SH,中直股份,2010-03-15,24.18,23.43,8366280000
600038.SH,中直股份,2010-03-16,23.37,23.25,8298810000
600038.SH,中直股份,2010-03-17,23.35,23.79,8494473000
600038.SH,中直股份,2010-03-18,23.86,23.70,8460738000
600038.SH,中直股份,2010-03-19,23.88,24.23,8649654000
600038.SH,中直股份,2010-03-22,24.10,23.99,8565316500
600038.SH,中直股份,2010-03-23,24.04,23.62,8433750000
600038.SH,中直股份,2010-03-24,23.58,23.94,8548449000
600038.SH,中直股份,2010-03-25,24.00,23.72,8467485000
600038.SH,中直股份,2010-03-26,23.77,24.46,8730618000
600038.SH,中直股份,2010-03-29,24.57,24.65,8801461500
600038.SH,中直股份,2010-03-30,24.69,25.24,9010618500
600038.SH,中直股份,2010-03-31,25.24,25.08,8953269000
600038.SH,中直股份,2010-04-01,25.09,25.28,9024112500
600038.SH,中直股份,2010-04-02,25.30,24.65,8801461500
600038.SH,中直股份,2010-04-06,24.65,24.49,8744112000
600038.SH,中直股份,2010-04-07,24.51,24.72,8825076000
600038.SH,中直股份,2010-04-08,24.73,24.95,8906040000
600038.SH,中直股份,2010-04-09,24.62,25.84,9226522500
600038.SH,中直股份,2010-04-12,25.49,25.96,9267004500
600038.SH,中直股份,2010-04-13,25.89,25.15,8976883500
600038.SH,中直股份,2010-04-14,24.88,25.30,9030859500
600038.SH,中直股份,2010-04-15,25.41,24.84,8868931500
600038.SH,中直股份,2010-04-16,24.47,24.26,8659774500
600038.SH,中直股份,2010-04-19,24.36,22.18,7917604500
600038.SH,中直股份,2010-04-20,22.11,22.99,8207725500
600038.SH,中直股份,2010-04-21,23.01,23.94,8548449000
600038.SH,中直股份,2010-04-22,23.90,24.44,8723871000
600038.SH,中直股份,2010-04-23,24.83,23.79,8494473000
600038.SH,中直股份,2010-04-26,23.74,23.83,8507967000
600038.SH,中直股份,2010-04-27,23.83,22.01,7856881500
600038.SH,中直股份,2010-04-28,21.89,21.88,7809652500
600038.SH,中直股份,2010-04-29,22.30,21.66,7732062000
600038.SH,中直股份,2010-04-30,21.54,19.49,6959530500
600038.SH,中直股份,2010-05-04,19.37,19.47,6949410000
600038.SH,中直股份,2010-05-05,19.35,20.84,7438567500
600038.SH,中直股份,2010-05-06,20.86,20.33,7256398500
600038.SH,中直股份,2010-05-07,20.32,21.26,7590375000
600038.SH,中直股份,2010-05-10,21.07,22.50,8032303500
600038.SH,中直股份,2010-05-11,22.61,22.22,7931098500
600038.SH,中直股份,2010-05-12,22.16,21.30,7603869000
600038.SH,中直股份,2010-05-13,21.28,21.54,7688206500
600038.SH,中直股份,2010-05-14,21.57,21.33,7613989500
600038.SH,中直股份,2010-05-17,20.62,19.83,7080976500
600038.SH,中直股份,2010-05-18,19.94,19.25,6871819500
600038.SH,中直股份,2010-05-19,19.14,18.92,6753747000
600038.SH,中直股份,2010-05-20,18.89,19.95,7121458500
600038.SH,中直股份,2010-05-21,19.28,20.53,7330615500
600038.SH,中直股份,2010-05-24,20.65,21.13,7543146000
600038.SH,中直股份,2010-05-25,20.84,21.30,7603869000
600038.SH,中直股份,2010-05-26,21.26,22.20,7924351500
600038.SH,中直股份,2010-05-27,22.20,22.20,7924351500
600038.SH,中直股份,2010-05-28,22.51,22.36,7981701000
600038.SH,中直股份,2010-05-31,22.02,21.04,7512784500
600038.SH,中直股份,2010-06-01,20.85,22.17,7914231000
600038.SH,中直股份,2010-06-02,21.90,22.56,8052544500
600038.SH,中直股份,2010-06-03,22.55,22.72,8109894000
600038.SH,中直股份,2010-06-04,22.74,22.40,7995195000
600038.SH,中直股份,2010-06-07,21.81,21.90,7819773000
600038.SH,中直股份,2010-06-08,21.70,22.23,7934472000
600038.SH,中直股份,2010-06-09,21.99,22.40,7995195000
600038.SH,中直股份,2010-06-10,22.36,22.75,8123388000
600038.SH,中直股份,2010-06-11,22.74,22.45,8015436000
600038.SH,中直股份,2010-06-17,22.49,21.24,7583628000
600038.SH,中直股份,2010-06-18,21.24,20.10,7175434500
600038.SH,中直股份,2010-06-21,20.14,20.68,7384591500
600038.SH,中直股份,2010-06-22,20.74,20.93,7472302500
600038.SH,中直股份,2010-06-23,20.98,20.54,7333989000
600038.SH,中直股份,2010-06-24,20.86,20.49,7313748000
600038.SH,中直股份,2010-06-25,20.54,20.56,7340736000
600038.SH,中直股份,2010-06-28,20.69,20.83,7435194000
600038.SH,中直股份,2010-06-29,20.69,19.30,6888687000
600038.SH,中直股份,2010-06-30,19.07,19.19,6851578500
600038.SH,中直股份,2010-07-01,19.24,18.92,6753747000
600038.SH,中直股份,2010-07-02,18.44,19.48,6952783500
600038.SH,中直股份,2010-07-05,19.37,18.88,6740253000
600038.SH,中直股份,2010-07-06,19.08,19.59,6993265500
600038.SH,中直股份,2010-07-07,19.60,20.24,7226037000
600038.SH,中直股份,2010-07-08,20.25,19.85,7087723500
600038.SH,中直股份,2010-07-09,20.16,20.95,7479049500
600038.SH,中直股份,2010-07-12,21.09,20.92,7435194000
600038.SH,中直股份,2010-07-13,20.88,20.87,7418326500
600038.SH,中直股份,2010-07-14,20.82,21.17,7522905000
600038.SH,中直股份,2010-07-15,21.17,21.41,7607242500
600038.SH,中直股份,2010-07-16,21.19,21.40,7603869000
600038.SH,中直股份,2010-07-19,21.31,21.59,7674712500
600038.SH,中直股份,2010-07-20,21.64,21.74,7725315000
600038.SH,中直股份,2010-07-21,21.69,22.12,7860255000
600038.SH,中直股份,2010-07-22,22.12,22.72,8072785500
600038.SH,中直股份,2010-07-23,23.07,22.39,7958086500
600038.SH,中直股份,2010-07-26,22.49,22.59,8028930000
600038.SH,中直股份,2010-07-27,22.62,23.17,8234713500
600038.SH,中直股份,2010-07-28,23.07,23.30,8281942500
600038.SH,中直股份,2010-07-29,23.27,23.76,8443870500
600038.SH,中直股份,2010-07-30,23.72,23.46,8339292000
600038.SH,中直股份,2010-08-02,23.35,23.66,8410135500
600038.SH,中直股份,2010-08-03,23.64,23.14,8224593000
600038.SH,中直股份,2010-08-04,23.16,23.28,8275195500
600038.SH,中直股份,2010-08-05,23.31,23.92,8501220000
600038.SH,中直股份,2010-08-06,23.92,24.56,8727244500
600038.SH,中直股份,2010-08-09,24.58,24.81,8818329000
600038.SH,中直股份,2010-08-10,24.79,24.17,8588931000
600038.SH,中直股份,2010-08-11,23.92,24.24,8615919000
600038.SH,中直股份,2010-08-12,23.84,23.72,8430376500
600038.SH,中直股份,2010-08-13,23.68,26.09,9273751500
600038.SH,中直股份,2010-08-16,26.06,27.06,9617848500
600038.SH,中直股份,2010-08-17,27.06,27.05,9614475000
600038.SH,中直股份,2010-08-18,27.39,27.31,9705559500
600038.SH,中直股份,2010-08-19,27.05,26.84,9540258000
600038.SH,中直股份,2010-08-20,26.72,26.55,9435679500
600038.SH,中直股份,2010-08-23,26.51,26.71,9493029000
600038.SH,中直股份,2010-08-24,26.75,26.20,9310860000
600038.SH,中直股份,2010-08-25,26.19,25.30,8990377500
600038.SH,中直股份,2010-08-26,25.13,25.40,9027486000
600038.SH,中直股份,2010-08-27,25.30,26.20,9310860000
600038.SH,中直股份,2010-08-30,26.16,27.04,9611101500
600038.SH,中直股份,2010-08-31,26.86,29.13,10353271500
600038.SH,中直股份,2010-09-01,29.12,28.70,10198090500
600038.SH,中直股份,2010-09-02,28.74,29.13,10353271500
600038.SH,中直股份,2010-09-03,29.15,29.20,10376886000
600038.SH,中直股份,2010-09-06,29.83,29.41,10451103000
600038.SH,中直股份,2010-09-07,29.24,28.92,10279054500
600038.SH,中直股份,2010-09-08,28.90,29.30,10413994500
600038.SH,中直股份,2010-09-09,28.92,28.80,10235199000
600038.SH,中直股份,2010-09-10,28.64,29.90,10626525000
600038.SH,中直股份,2010-09-13,29.90,30.30,10768212000
600038.SH,中直股份,2010-09-14,30.38,30.06,10683874500
600038.SH,中直股份,2010-09-15,29.95,28.68,10191343500
600038.SH,中直股份,2010-09-16,28.67,28.76,10221705000
600038.SH,中直股份,2010-09-17,29.05,28.57,10154235000
600038.SH,中直股份,2010-09-20,28.38,26.82,9530137500
600038.SH,中直股份,2010-09-21,26.85,27.02,9604354500
600038.SH,中直股份,2010-09-27,27.24,27.34,9715680000
600038.SH,中直股份,2010-09-28,27.34,28.32,10066524000
600038.SH,中直股份,2010-09-29,27.99,28.18,10015921500
600038.SH,中直股份,2010-09-30,28.01,29.02,10312789500
600038.SH,中直股份,2010-10-08,28.96,29.86,10613031000
600038.SH,中直股份,2010-10-11,29.86,28.05,9968692500
600038.SH,中直股份,2010-10-12,27.96,27.34,9715680000
600038.SH,中直股份,2010-10-13,27.34,27.52,9779776500
600038.SH,中直股份,2010-10-14,29.42,26.89,9557125500
600038.SH,中直股份,2010-10-15,26.15,27.48,9766282500
600038.SH,中直股份,2010-10-18,26.73,26.37,9371583000
600038.SH,中直股份,2010-10-19,26.31,27.10,9631342500
600038.SH,中直股份,2010-10-20,26.11,27.34,9715680000
600038.SH,中直股份,2010-10-21,27.18,28.04,9965319000
600038.SH,中直股份,2010-10-22,28.45,29.92,10633272000
600038.SH,中直股份,2010-10-25,29.43,30.95,11000983500
600038.SH,中直股份,2010-10-26,30.94,30.59,10872790500
