代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000557.SZ,西部创业,2010-01-04,4.87,4.90,3362056580
000557.SZ,西部创业,2010-01-05,4.89,4.86,3334611221
000557.SZ,西部创业,2010-01-06,4.86,4.80,3293443181
000557.SZ,西部创业,2010-01-07,4.78,4.64,3183661741
000557.SZ,西部创业,2010-01-08,4.64,4.74,3252275141
000557.SZ,西部创业,2010-01-11,4.75,4.68,3211107101
000557.SZ,西部创业,2010-01-12,4.66,4.77,3272859161
000557.SZ,西部创业,2010-01-13,4.70,4.66,3197384421
000557.SZ,西部创业,2010-01-14,4.63,4.70,3224829781
000557.SZ,西部创业,2010-01-15,4.71,4.86,3334611221
000557.SZ,西部创业,2010-01-18,4.82,4.89,3355195240
000557.SZ,西部创业,2010-01-19,4.88,4.82,3307165861
000557.SZ,西部创业,2010-01-20,4.83,4.64,3183661741
000557.SZ,西部创业,2010-01-21,4.64,4.75,3259136481
000557.SZ,西部创业,2010-01-22,4.70,4.64,3183661741
000557.SZ,西部创业,2010-01-25,4.64,4.64,3183661741
000557.SZ,西部创业,2010-01-26,4.87,4.87,3341472561
000557.SZ,西部创业,2010-01-27,5.11,5.11,3506144720
000557.SZ,西部创业,2010-01-28,5.36,5.05,3464976680
000557.SZ,西部创业,2010-01-29,4.98,5.01,3437531320
000557.SZ,西部创业,2010-02-01,5.04,4.89,3355195240
000557.SZ,西部创业,2010-02-02,4.95,4.89,3355195240
000557.SZ,西部创业,2010-02-03,4.85,4.85,3327749881
000557.SZ,西部创业,2010-02-04,4.84,4.97,3410085960
000557.SZ,西部创业,2010-02-05,4.84,4.97,3410085960
000557.SZ,西部创业,2010-02-08,4.97,4.98,3416947300
000557.SZ,西部创业,2010-02-09,4.95,4.91,3368917920
000557.SZ,西部创业,2010-02-10,4.90,5.00,3430669980
000557.SZ,西部创业,2010-02-11,5.02,5.01,3437531320
000557.SZ,西部创业,2010-02-12,5.02,5.13,3519867399
000557.SZ,西部创业,2010-02-22,5.13,5.09,3492422040
000557.SZ,西部创业,2010-02-23,5.10,5.12,3513006060
000557.SZ,西部创业,2010-02-24,5.10,5.38,3691400898
000557.SZ,西部创业,2010-02-25,5.40,5.36,3677678219
000557.SZ,西部创业,2010-02-26,5.36,5.40,3705123578
000557.SZ,西部创业,2010-03-01,5.40,5.57,3821766358
000557.SZ,西部创业,2010-03-02,5.60,5.58,3828627698
