代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600125.SH,铁龙物流,2010-01-04,7.70,7.78,11227488112
600125.SH,铁龙物流,2010-01-05,7.78,7.69,11096935925
600125.SH,铁龙物流,2010-01-06,7.82,7.52,10855916502
600125.SH,铁龙物流,2010-01-07,7.51,7.29,10514472320
600125.SH,铁龙物流,2010-01-08,7.24,7.31,10554642223
600125.SH,铁龙物流,2010-01-11,7.40,7.17,10343750228
600125.SH,铁龙物流,2010-01-12,7.15,7.78,11227488112
600125.SH,铁龙物流,2010-01-13,7.62,7.84,11307827920
600125.SH,铁龙物流,2010-01-14,7.97,8.42,12151395900
600125.SH,铁龙物流,2010-01-15,8.45,8.40,12121268472
600125.SH,铁龙物流,2010-01-18,8.41,8.56,12352245418
600125.SH,铁龙物流,2010-01-19,8.75,8.47,12221693231
600125.SH,铁龙物流,2010-01-20,8.48,8.11,11709526958
600125.SH,铁龙物流,2010-01-21,8.14,8.42,12151395900
600125.SH,铁龙物流,2010-01-22,8.32,8.36,12071056092
600125.SH,铁龙物流,2010-01-25,8.39,8.28,11950546380
600125.SH,铁龙物流,2010-01-26,8.48,8.06,11639229626
600125.SH,铁龙物流,2010-01-27,8.13,7.72,11137105829
600125.SH,铁龙物流,2010-01-28,7.69,7.82,11287742968
600125.SH,铁龙物流,2010-01-29,7.76,7.77,11217445636
600125.SH,铁龙物流,2010-02-01,7.78,7.88,11368082775
600125.SH,铁龙物流,2010-02-02,7.84,7.76,11197360684
600125.SH,铁龙物流,2010-02-03,7.74,7.93,11448422583
600125.SH,铁龙物流,2010-02-04,7.91,8.00,11548847342
600125.SH,铁龙物流,2010-02-05,7.79,8.13,11729611910
600125.SH,铁龙物流,2010-02-08,8.07,8.05,11619144674
600125.SH,铁龙物流,2010-02-09,8.07,7.98,11518719915
600125.SH,铁龙物流,2010-02-10,8.11,8.07,11649272102
600125.SH,铁龙物流,2010-02-11,8.18,7.88,11378125251
