代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
601816.SH,京沪高铁,2020-01-16,5.81,6.72,332450900816
601816.SH,京沪高铁,2020-01-17,6.80,6.60,326558122663
601816.SH,京沪高铁,2020-01-20,6.68,7.26,359459467353
601816.SH,京沪高铁,2020-01-21,7.44,7.62,377137801812
601816.SH,京沪高铁,2020-01-22,7.24,7.26,359459467353
601816.SH,京沪高铁,2020-01-23,7.11,6.99,346200716508
601816.SH,京沪高铁,2020-02-03,6.30,6.30,311826177280
601816.SH,京沪高铁,2020-02-04,5.95,6.76,334415160201
601816.SH,京沪高铁,2020-02-05,6.62,7.24,358477337660
601816.SH,京沪高铁,2020-02-06,7.22,7.30,361423726737
601816.SH,京沪高铁,2020-02-07,7.22,7.67,379593126043
601816.SH,京沪高铁,2020-02-10,7.52,7.72,382048450274
601816.SH,京沪高铁,2020-02-11,7.73,7.51,371736088505
601816.SH,京沪高铁,2020-02-12,7.45,7.57,374682477582
601816.SH,京沪高铁,2020-02-13,7.58,7.40,366334375198
601816.SH,京沪高铁,2020-02-14,7.34,7.24,358477337660
601816.SH,京沪高铁,2020-02-17,7.17,7.24,358477337660
601816.SH,京沪高铁,2020-02-18,7.25,7.65,378610996351
601816.SH,京沪高铁,2020-02-19,7.56,7.39,365843310352
601816.SH,京沪高铁,2020-02-20,7.39,7.54,373209283044
601816.SH,京沪高铁,2020-02-21,7.54,7.47,369771829121
601816.SH,京沪高铁,2020-02-24,7.36,7.24,358477337660
601816.SH,京沪高铁,2020-02-25,7.05,7.13,353075624353
601816.SH,京沪高铁,2020-02-26,7.03,7.08,350620300123
601816.SH,京沪高铁,2020-02-27,7.03,7.03,348164975892
601816.SH,京沪高铁,2020-02-28,6.90,6.82,337361549278
601816.SH,京沪高铁,2020-03-02,6.81,7.01,347182846200
601816.SH,京沪高铁,2020-03-03,7.07,6.96,344727521969
601816.SH,京沪高铁,2020-03-04,6.92,6.91,341781132893
601816.SH,京沪高铁,2020-03-05,6.98,7.11,352093494661
601816.SH,京沪高铁,2020-03-06,7.01,6.97,345218586815
601816.SH,京沪高铁,2020-03-09,6.85,6.83,337852614124
601816.SH,京沪高铁,2020-03-10,6.75,6.88,340307938354
601816.SH,京沪高铁,2020-03-11,6.87,6.89,340799003200
