代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002024.SZ,苏宁易购,2010-01-04,12.98,12.77,96174592451
002024.SZ,苏宁易购,2010-01-05,12.75,12.62,95055198553
002024.SZ,苏宁易购,2010-01-06,12.62,12.54,94402218779
002024.SZ,苏宁易购,2010-01-07,12.47,12.14,91417168382
002024.SZ,苏宁易购,2010-01-08,12.07,12.29,92536562281
002024.SZ,苏宁易购,2010-01-11,12.42,11.87,89364946235
002024.SZ,苏宁易购,2010-01-12,11.89,12.12,91277244145
002024.SZ,苏宁易购,2010-01-13,11.80,11.73,88338835161
002024.SZ,苏宁易购,2010-01-14,11.74,12.07,90857471433
002024.SZ,苏宁易购,2010-01-15,12.08,12.12,91277244145
002024.SZ,苏宁易购,2010-01-18,12.08,12.49,94029087479
002024.SZ,苏宁易购,2010-01-19,12.50,12.27,92396638044
002024.SZ,苏宁易购,2010-01-20,12.27,11.86,89318304823
002024.SZ,苏宁易购,2010-01-21,11.77,11.82,88991814936
002024.SZ,苏宁易购,2010-01-22,11.66,11.40,85820198890
002024.SZ,苏宁易购,2010-01-25,11.44,11.41,85960123127
002024.SZ,苏宁易购,2010-01-26,11.46,11.19,84234390867
002024.SZ,苏宁易购,2010-01-27,11.19,10.92,82228810132
002024.SZ,苏宁易购,2010-01-28,10.92,11.06,83301562618
002024.SZ,苏宁易购,2010-01-29,11.03,11.30,85073936291
002024.SZ,苏宁易购,2010-02-01,11.28,11.14,83907900980
002024.SZ,苏宁易购,2010-02-02,11.15,10.96,82555300019
002024.SZ,苏宁易购,2010-02-03,11.02,11.11,83674693917
002024.SZ,苏宁易购,2010-02-04,11.11,10.99,82741865669
002024.SZ,苏宁易购,2010-02-05,10.76,10.85,81715754595
002024.SZ,苏宁易购,2010-02-08,10.86,11.17,84094466629
002024.SZ,苏宁易购,2010-02-09,11.21,11.15,83954542392
002024.SZ,苏宁易购,2010-02-10,11.26,11.27,84840729228
002024.SZ,苏宁易购,2010-02-11,11.27,11.32,85260501940
002024.SZ,苏宁易购,2010-02-12,11.34,11.58,87172799850
002024.SZ,苏宁易购,2010-02-22,11.58,11.26,84794087816
002024.SZ,苏宁易购,2010-02-23,11.22,11.03,83068355556
002024.SZ,苏宁易购,2010-02-24,11.03,11.14,83861259567
002024.SZ,苏宁易购,2010-02-25,11.15,11.46,86286613014
002024.SZ,苏宁易购,2010-02-26,11.47,11.43,86100047364
002024.SZ,苏宁易购,2010-03-01,11.43,11.70,88105628099
002024.SZ,苏宁易购,2010-03-02,11.71,11.65,87732496800
002024.SZ,苏宁易购,2010-03-03,11.61,11.58,87219441263
002024.SZ,苏宁易购,2010-03-04,11.59,11.33,85353784765
002024.SZ,苏宁易购,2010-03-05,11.33,11.34,85400426178
002024.SZ,苏宁易购,2010-03-08,11.35,11.30,85120577703
002024.SZ,苏宁易购,2010-03-09,11.33,11.30,85120577703
002024.SZ,苏宁易购,2010-03-10,11.32,11.53,86799668551
002024.SZ,苏宁易购,2010-03-11,11.53,11.56,87079517025
002024.SZ,苏宁易购,2010-03-12,11.57,11.20,84374315104
