代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600327.SH,大东方,2010-01-04,4.17,4.27,4806270075
600327.SH,大东方,2010-01-05,4.26,4.40,4953001523
600327.SH,大东方,2010-01-06,4.40,4.36,4910612438
600327.SH,大东方,2010-01-07,4.33,4.32,4858441257
600327.SH,大东方,2010-01-08,4.32,4.35,4891048245
600327.SH,大东方,2010-01-11,4.39,4.23,4763880991
600327.SH,大东方,2010-01-12,4.23,4.30,4835616365
600327.SH,大东方,2010-01-13,4.23,4.17,4695406315
600327.SH,大东方,2010-01-14,4.20,4.42,4972565716
600327.SH,大东方,2010-01-15,4.43,4.35,4894308944
600327.SH,大东方,2010-01-18,4.35,4.49,5047561789
600327.SH,大东方,2010-01-19,4.49,4.44,4998651306
600327.SH,大东方,2010-01-20,4.44,4.24,4770402388
600327.SH,大东方,2010-01-21,4.24,4.23,4763880991
600327.SH,大东方,2010-01-22,4.19,4.10,4610628146
600327.SH,大东方,2010-01-25,4.05,4.06,4568239061
600327.SH,大东方,2010-01-26,4.11,3.90,4385639926
600327.SH,大东方,2010-01-27,3.90,3.85,4326947347
600327.SH,大东方,2010-01-28,3.85,3.91,4398682722
600327.SH,大东方,2010-01-29,3.90,3.98,4476939494
600327.SH,大东方,2010-02-01,3.98,4.00,4506285783
600327.SH,大东方,2010-02-02,4.03,4.00,4506285783
600327.SH,大东方,2010-02-03,4.05,3.98,4483460891
600327.SH,大东方,2010-02-04,3.92,3.99,4489982289
600327.SH,大东方,2010-02-05,3.92,3.95,4441071806
600327.SH,大东方,2010-02-08,3.96,4.02,4525849976
600327.SH,大东方,2010-02-09,4.03,4.05,4558456964
600327.SH,大东方,2010-02-10,4.09,4.09,4604106748
600327.SH,大东方,2010-02-11,4.09,4.11,4620410242
600327.SH,大东方,2010-02-12,4.11,4.20,4728013304
600327.SH,大东方,2010-02-22,4.20,4.11,4623670941
600327.SH,大东方,2010-02-23,4.09,4.03,4535632073
600327.SH,大东方,2010-02-24,4.04,4.16,4675842122
600327.SH,大东方,2010-02-25,4.14,4.29,4822573570
600327.SH,大东方,2010-02-26,4.29,4.27,4806270075
600327.SH,大东方,2010-03-01,4.27,4.32,4861701956
600327.SH,大东方,2010-03-02,4.34,4.30,4835616365
600327.SH,大东方,2010-03-03,4.28,4.29,4825834268
600327.SH,大东方,2010-03-04,4.29,4.06,4564978362
600327.SH,大东方,2010-03-05,4.10,4.04,4542153470
600327.SH,大东方,2010-03-08,4.05,4.07,4584542555
600327.SH,大东方,2010-03-09,4.06,4.07,4578021157
600327.SH,大东方,2010-03-10,4.03,3.93,4424768312
600327.SH,大东方,2010-03-11,3.94,4.06,4564978362
600327.SH,大东方,2010-03-12,4.02,3.93,4424768312
600327.SH,大东方,2010-03-15,3.91,3.87,4353032938
600327.SH,大东方,2010-03-16,3.94,3.89,4372597131
600327.SH,大东方,2010-03-17,3.89,3.98,4483460891
600327.SH,大东方,2010-03-18,3.98,3.98,4473678795
600327.SH,大东方,2010-03-19,3.97,4.00,4499764385
600327.SH,大东方,2010-03-22,4.00,4.04,4542153470
600327.SH,大东方,2010-03-23,4.04,3.99,4486721590
600327.SH,大东方,2010-03-24,4.01,3.98,4483460891
600327.SH,大东方,2010-03-25,3.99,3.90,4388900625
600327.SH,大东方,2010-03-26,3.88,3.93,4424768312
600327.SH,大东方,2010-03-29,3.94,3.92,4414986216
600327.SH,大东方,2010-03-30,3.93,3.91,4401943420
600327.SH,大东方,2010-03-31,3.91,3.96,4450853903
600327.SH,大东方,2010-04-01,3.96,4.03,4532371374
600327.SH,大东方,2010-04-02,4.03,4.04,4548674868
600327.SH,大东方,2010-04-06,4.07,3.98,4473678795
600327.SH,大东方,2010-04-07,3.99,4.15,4666060026
600327.SH,大东方,2010-04-08,4.14,4.15,4669320725
600327.SH,大东方,2010-04-09,4.18,4.22,4744316798
600327.SH,大东方,2010-04-12,4.46,4.64,5220378827
600327.SH,大东方,2010-04-13,4.68,4.84,5448627745
600327.SH,大东方,2010-04-14,4.79,4.78,5383413768
600327.SH,大东方,2010-04-15,4.78,4.73,5327981888
600327.SH,大东方,2010-04-16,4.75,4.65,5236682321
600327.SH,大东方,2010-04-19,4.61,4.49,5047561789
600327.SH,大东方,2010-04-20,4.49,4.58,5148643453
600327.SH,大东方,2010-04-21,4.65,5.03,5663833868
600327.SH,大东方,2010-04-22,5.04,5.01,5637748277
600327.SH,大东方,2010-04-23,5.02,5.04,5667094567
600327.SH,大东方,2010-04-26,5.00,5.13,5774697628
600327.SH,大东方,2010-04-27,5.12,4.89,5504059625
600327.SH,大东方,2010-04-28,4.84,5.02,5650791072
600327.SH,大东方,2010-04-29,5.03,4.78,5376892371
600327.SH,大东方,2010-04-30,4.74,4.66,5243203719
600327.SH,大东方,2010-05-04,4.64,4.82,5425802853
600327.SH,大东方,2010-05-05,4.72,4.91,5530145216
600327.SH,大东方,2010-05-06,4.90,4.79,5386674467
600327.SH,大东方,2010-05-07,4.77,4.71,5301896298
600327.SH,大东方,2010-05-10,4.69,4.55,5116036464
600327.SH,大东方,2010-05-11,4.55,4.55,5116036464
600327.SH,大东方,2010-05-12,4.36,4.36,4904091040
600327.SH,大东方,2010-05-13,4.25,4.51,5080168777
600327.SH,大东方,2010-05-14,4.49,4.45,5008433403
600327.SH,大东方,2010-05-17,4.40,4.30,4838877064
600327.SH,大东方,2010-05-18,4.32,4.41,4966044318
600327.SH,大东方,2010-05-19,4.42,4.46,5014954801
600327.SH,大东方,2010-05-20,4.40,4.35,4891048245
600327.SH,大东方,2010-05-21,4.25,4.43,4985608511
600327.SH,大东方,2010-05-24,4.43,4.70,5288853502
600327.SH,大东方,2010-05-25,4.60,4.61,5184511140
600327.SH,大东方,2010-05-26,4.56,4.58,5148643453
600327.SH,大东方,2010-05-27,4.55,4.61,5184511140
600327.SH,大东方,2010-05-28,4.64,4.68,5262767912
600327.SH,大东方,2010-05-31,4.67,4.42,4975826415
600327.SH,大东方,2010-06-01,4.38,4.45,5005172704
600327.SH,大东方,2010-06-02,4.40,4.48,5041040391
