代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300093.SZ,金刚玻璃,2010-07-08,11.25,12.14,2654400000
300093.SZ,金刚玻璃,2010-07-09,11.41,11.85,2592000000
300093.SZ,金刚玻璃,2010-07-12,11.85,11.25,2460000000
300093.SZ,金刚玻璃,2010-07-13,11.36,11.38,2490000000
300093.SZ,金刚玻璃,2010-07-14,11.40,11.21,2452800000
300093.SZ,金刚玻璃,2010-07-15,11.07,10.27,2246400000
300093.SZ,金刚玻璃,2010-07-16,10.01,10.11,2210400000
300093.SZ,金刚玻璃,2010-07-19,9.91,10.21,2234400000
300093.SZ,金刚玻璃,2010-07-20,10.18,10.48,2293200000
300093.SZ,金刚玻璃,2010-07-21,10.45,10.40,2274000000
300093.SZ,金刚玻璃,2010-07-22,10.34,10.47,2290800000
300093.SZ,金刚玻璃,2010-07-23,10.48,10.47,2290800000
300093.SZ,金刚玻璃,2010-07-26,10.48,10.72,2344800000
300093.SZ,金刚玻璃,2010-07-27,10.70,10.54,2306400000
300093.SZ,金刚玻璃,2010-07-28,10.52,10.64,2328000000
300093.SZ,金刚玻璃,2010-07-29,10.62,10.74,2349600000
300093.SZ,金刚玻璃,2010-07-30,10.69,10.58,2313600000
300093.SZ,金刚玻璃,2010-08-02,10.53,10.73,2346000000
300093.SZ,金刚玻璃,2010-08-03,10.76,10.63,2324400000
300093.SZ,金刚玻璃,2010-08-04,10.62,10.65,2330400000
300093.SZ,金刚玻璃,2010-08-05,10.64,10.83,2370000000
300093.SZ,金刚玻璃,2010-08-06,10.85,11.11,2431200000
300093.SZ,金刚玻璃,2010-08-09,11.38,12.23,2674800000
300093.SZ,金刚玻璃,2010-08-10,12.88,12.44,2721600000
300093.SZ,金刚玻璃,2010-08-11,12.34,13.22,2892000000
300093.SZ,金刚玻璃,2010-08-12,12.99,12.63,2763600000
300093.SZ,金刚玻璃,2010-08-13,12.52,12.60,2755200000
300093.SZ,金刚玻璃,2010-08-16,12.60,12.80,2800800000
300093.SZ,金刚玻璃,2010-08-17,12.73,13.33,2914800000
300093.SZ,金刚玻璃,2010-08-18,13.20,12.92,2826000000
300093.SZ,金刚玻璃,2010-08-19,13.00,12.97,2838000000
300093.SZ,金刚玻璃,2010-08-20,12.85,12.51,2736000000
300093.SZ,金刚玻璃,2010-08-23,12.51,12.51,2736000000
300093.SZ,金刚玻璃,2010-08-24,12.73,13.76,3009600000
300093.SZ,金刚玻璃,2010-08-25,14.41,13.72,3001200000
300093.SZ,金刚玻璃,2010-08-26,13.79,13.70,2997600000
300093.SZ,金刚玻璃,2010-08-27,13.57,14.20,3106800000
300093.SZ,金刚玻璃,2010-08-30,14.35,14.26,3118800000
300093.SZ,金刚玻璃,2010-08-31,14.09,14.29,3126000000
300093.SZ,金刚玻璃,2010-09-01,14.26,13.39,2929200000
300093.SZ,金刚玻璃,2010-09-02,13.51,13.59,2972400000
300093.SZ,金刚玻璃,2010-09-03,13.72,13.74,3006000000
300093.SZ,金刚玻璃,2010-09-06,13.66,12.84,2808000000
300093.SZ,金刚玻璃,2010-09-07,12.81,12.95,2833200000
300093.SZ,金刚玻璃,2010-09-08,12.84,13.22,2890800000
300093.SZ,金刚玻璃,2010-09-09,13.21,12.95,2832000000
300093.SZ,金刚玻璃,2010-09-10,12.85,13.06,2857200000
300093.SZ,金刚玻璃,2010-09-13,13.03,13.30,2910000000
300093.SZ,金刚玻璃,2010-09-14,13.30,13.56,2965200000
300093.SZ,金刚玻璃,2010-09-15,13.44,12.78,2796000000
300093.SZ,金刚玻璃,2010-09-16,12.67,12.29,2688000000
300093.SZ,金刚玻璃,2010-09-17,12.32,12.14,2654400000
300093.SZ,金刚玻璃,2010-09-20,12.07,11.68,2554800000
300093.SZ,金刚玻璃,2010-09-21,11.68,11.61,2540400000
300093.SZ,金刚玻璃,2010-09-27,11.61,11.93,2610000000
