代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
603256.SH,宏和科技,2019-07-19,5.26,6.31,5600364000
603256.SH,宏和科技,2019-07-22,6.94,6.94,6162156000
603256.SH,宏和科技,2019-07-23,7.63,7.63,6776616000
603256.SH,宏和科技,2019-07-24,8.39,8.39,7452522000
603256.SH,宏和科技,2019-07-25,9.23,9.23,8198652000
603256.SH,宏和科技,2019-07-26,10.15,10.15,9015006000
603256.SH,宏和科技,2019-07-29,11.17,11.17,9919140000
603256.SH,宏和科技,2019-07-30,12.28,12.28,10911054000
603256.SH,宏和科技,2019-07-31,13.51,13.51,11999526000
603256.SH,宏和科技,2019-08-01,14.86,14.86,13202112000
603256.SH,宏和科技,2019-08-02,16.35,16.35,14518812000
603256.SH,宏和科技,2019-08-05,17.98,17.98,15967182000
603256.SH,宏和科技,2019-08-06,19.78,19.78,17564778000
603256.SH,宏和科技,2019-08-07,21.75,20.04,17801784000
603256.SH,宏和科技,2019-08-08,18.97,18.04,16019850000
603256.SH,宏和科技,2019-08-09,18.15,18.16,16133964000
603256.SH,宏和科技,2019-08-12,18.12,18.35,16300746000
603256.SH,宏和科技,2019-08-13,18.05,19.17,17029320000
603256.SH,宏和科技,2019-08-14,19.36,19.57,17380440000
603256.SH,宏和科技,2019-08-15,18.79,21.52,19118484000
603256.SH,宏和科技,2019-08-16,22.53,19.81,17599890000
603256.SH,宏和科技,2019-08-19,19.51,20.21,17951010000
603256.SH,宏和科技,2019-08-20,19.94,18.89,16774758000
603256.SH,宏和科技,2019-08-21,18.55,18.84,16730868000
603256.SH,宏和科技,2019-08-22,18.66,18.27,16230522000
603256.SH,宏和科技,2019-08-23,18.47,18.55,16476306000
603256.SH,宏和科技,2019-08-26,17.69,18.23,16195410000
603256.SH,宏和科技,2019-08-27,18.73,18.51,16441194000
603256.SH,宏和科技,2019-08-28,18.21,19.93,17705226000
603256.SH,宏和科技,2019-08-29,19.38,19.25,17099544000
603256.SH,宏和科技,2019-08-30,19.45,19.27,17117100000
603256.SH,宏和科技,2019-09-02,19.03,19.87,17652558000
603256.SH,宏和科技,2019-09-03,19.87,21.86,19416936000
603256.SH,宏和科技,2019-09-04,23.11,20.84,18512802000
603256.SH,宏和科技,2019-09-05,20.78,22.09,19618830000
603256.SH,宏和科技,2019-09-06,21.83,22.94,20373738000
603256.SH,宏和科技,2019-09-09,23.46,23.86,21190092000
603256.SH,宏和科技,2019-09-10,22.90,23.56,20926752000
603256.SH,宏和科技,2019-09-11,23.56,22.37,19873392000
603256.SH,宏和科技,2019-09-12,22.30,22.33,19838280000
603256.SH,宏和科技,2019-09-16,22.18,23.62,20979420000
603256.SH,宏和科技,2019-09-17,23.46,23.03,20452740000
603256.SH,宏和科技,2019-09-18,23.13,22.78,20233290000
603256.SH,宏和科技,2019-09-19,21.89,24.31,21593880000
603256.SH,宏和科技,2019-09-20,24.01,23.38,20768748000
603256.SH,宏和科技,2019-09-23,22.86,23.52,20891640000
603256.SH,宏和科技,2019-09-24,23.71,23.71,21058422000
603256.SH,宏和科技,2019-09-25,23.62,21.34,18951702000
603256.SH,宏和科技,2019-09-26,20.38,19.20,17055654000
603256.SH,宏和科技,2019-09-27,18.88,18.60,16520196000
603256.SH,宏和科技,2019-09-30,18.76,17.99,15975960000
603256.SH,宏和科技,2019-10-08,18.20,17.89,15888180000
603256.SH,宏和科技,2019-10-09,17.56,18.03,16011072000
603256.SH,宏和科技,2019-10-10,18.01,18.23,16195410000
603256.SH,宏和科技,2019-10-11,18.30,17.88,15879402000
603256.SH,宏和科技,2019-10-14,17.94,18.23,16195410000
603256.SH,宏和科技,2019-10-15,18.09,17.64,15668730000
603256.SH,宏和科技,2019-10-16,17.77,16.90,15010380000
603256.SH,宏和科技,2019-10-17,16.90,16.73,14861154000
603256.SH,宏和科技,2019-10-18,16.74,17.34,15405390000
603256.SH,宏和科技,2019-10-21,16.98,15.88,14106246000
603256.SH,宏和科技,2019-10-22,15.76,16.28,14457366000
603256.SH,宏和科技,2019-10-23,16.22,17.91,15905736000
603256.SH,宏和科技,2019-10-24,18.18,17.29,15361500000
603256.SH,宏和科技,2019-10-25,17.02,16.76,14799708000
603256.SH,宏和科技,2019-10-28,16.50,17.00,15010380000
603256.SH,宏和科技,2019-10-29,16.90,15.99,14123802000
603256.SH,宏和科技,2019-10-30,15.70,15.07,13307448000
603256.SH,宏和科技,2019-10-31,15.24,14.66,12947550000
603256.SH,宏和科技,2019-11-01,14.58,14.84,13105554000
603256.SH,宏和科技,2019-11-04,14.94,15.00,13246002000
603256.SH,宏和科技,2019-11-05,14.90,14.85,13114332000
603256.SH,宏和科技,2019-11-06,14.90,15.20,13421562000
603256.SH,宏和科技,2019-11-07,15.07,14.95,13202112000
603256.SH,宏和科技,2019-11-08,14.99,15.30,13509342000
603256.SH,宏和科技,2019-11-11,15.15,14.61,12903660000
603256.SH,宏和科技,2019-11-12,14.49,16.07,14194026000
603256.SH,宏和科技,2019-11-13,15.90,15.85,14000910000
603256.SH,宏和科技,2019-11-14,16.07,16.44,14518812000
603256.SH,宏和科技,2019-11-15,16.20,15.73,13895574000
603256.SH,宏和科技,2019-11-18,15.76,16.52,14589036000
603256.SH,宏和科技,2019-11-19,16.31,16.82,14852376000
603256.SH,宏和科技,2019-11-20,17.18,16.53,14597814000
603256.SH,宏和科技,2019-11-21,16.42,16.00,14132580000
603256.SH,宏和科技,2019-11-22,16.12,15.11,13342560000
603256.SH,宏和科技,2019-11-25,15.01,14.43,12745656000
603256.SH,宏和科技,2019-11-26,14.41,14.44,12754434000
603256.SH,宏和科技,2019-11-27,14.41,14.54,12842214000
603256.SH,宏和科技,2019-11-28,14.51,13.99,12359424000
603256.SH,宏和科技,2019-11-29,14.05,14.43,12745656000
603256.SH,宏和科技,2019-12-02,14.28,14.48,12789546000
603256.SH,宏和科技,2019-12-03,14.23,14.52,12824658000
603256.SH,宏和科技,2019-12-04,14.41,14.59,12886104000
603256.SH,宏和科技,2019-12-05,14.59,15.01,13254780000
603256.SH,宏和科技,2019-12-06,14.89,14.88,13140666000
603256.SH,宏和科技,2019-12-09,14.93,14.95,13202112000
603256.SH,宏和科技,2019-12-10,14.96,15.00,13246002000
603256.SH,宏和科技,2019-12-11,15.01,15.28,13491786000
603256.SH,宏和科技,2019-12-12,15.16,14.76,13035330000
603256.SH,宏和科技,2019-12-13,14.85,14.89,13149444000
603256.SH,宏和科技,2019-12-16,15.11,15.23,13447896000
603256.SH,宏和科技,2019-12-17,15.27,15.62,13799016000
603256.SH,宏和科技,2019-12-18,15.56,15.73,13895574000
603256.SH,宏和科技,2019-12-19,15.63,15.59,13772682000
603256.SH,宏和科技,2019-12-20,15.71,15.63,13807794000
603256.SH,宏和科技,2019-12-23,15.50,14.95,13202112000
603256.SH,宏和科技,2019-12-24,15.09,15.16,13386450000
603256.SH,宏和科技,2019-12-25,15.26,15.16,13386450000
603256.SH,宏和科技,2019-12-26,15.21,15.38,13579566000
603256.SH,宏和科技,2019-12-27,15.41,14.89,13149444000
603256.SH,宏和科技,2019-12-30,14.62,14.72,13000218000
603256.SH,宏和科技,2019-12-31,14.66,14.68,12965106000
603256.SH,宏和科技,2020-01-02,14.78,15.05,13289892000
603256.SH,宏和科技,2020-01-03,15.24,15.39,13588344000
603256.SH,宏和科技,2020-01-06,15.17,15.82,13974576000
603256.SH,宏和科技,2020-01-07,15.70,15.59,13772682000
603256.SH,宏和科技,2020-01-08,15.54,15.05,13289892000
603256.SH,宏和科技,2020-01-09,15.47,15.57,13746348000
603256.SH,宏和科技,2020-01-10,15.57,15.33,13535676000
603256.SH,宏和科技,2020-01-13,15.48,15.74,13904352000
603256.SH,宏和科技,2020-01-14,15.92,15.64,13816572000
603256.SH,宏和科技,2020-01-15,15.60,15.77,13930686000
603256.SH,宏和科技,2020-01-16,15.92,15.59,13772682000
603256.SH,宏和科技,2020-01-17,15.55,15.24,13456674000
603256.SH,宏和科技,2020-01-20,15.21,15.08,13316226000
603256.SH,宏和科技,2020-01-21,15.18,14.61,12903660000
603256.SH,宏和科技,2020-01-22,14.61,14.67,12956328000
603256.SH,宏和科技,2020-01-23,14.45,13.69,12087306000
603256.SH,宏和科技,2020-02-03,12.31,12.31,10875942000
603256.SH,宏和科技,2020-02-04,11.08,11.23,9919140000
603256.SH,宏和科技,2020-02-05,11.25,11.40,10068366000
603256.SH,宏和科技,2020-02-06,11.50,12.54,11077836000
603256.SH,宏和科技,2020-02-07,12.62,12.28,10840830000
603256.SH,宏和科技,2020-02-10,12.34,12.58,11112948000
603256.SH,宏和科技,2020-02-11,12.70,12.72,11235840000
603256.SH,宏和科技,2020-02-12,12.63,12.67,11191950000
603256.SH,宏和科技,2020-02-13,12.72,12.74,11253396000
603256.SH,宏和科技,2020-02-14,12.70,13.11,11578182000
603256.SH,宏和科技,2020-02-17,13.11,13.49,11911746000
603256.SH,宏和科技,2020-02-18,13.49,13.75,12139974000
603256.SH,宏和科技,2020-02-19,13.75,13.72,12113640000
603256.SH,宏和科技,2020-02-20,13.65,13.74,12131196000
603256.SH,宏和科技,2020-02-21,13.74,13.85,12227754000
603256.SH,宏和科技,2020-02-24,13.79,15.23,13447896000
603256.SH,宏和科技,2020-02-25,14.79,15.23,13447896000
603256.SH,宏和科技,2020-02-26,14.85,14.14,12491094000
603256.SH,宏和科技,2020-02-27,14.31,14.22,12561318000
603256.SH,宏和科技,2020-02-28,13.57,13.02,11499180000
603256.SH,宏和科技,2020-03-02,13.47,14.01,12376980000
603256.SH,宏和科技,2020-03-03,14.27,13.97,12341868000
603256.SH,宏和科技,2020-03-04,13.97,13.91,12280422000
603256.SH,宏和科技,2020-03-05,14.18,14.21,12552540000
603256.SH,宏和科技,2020-03-06,14.04,14.10,12455982000
603256.SH,宏和科技,2020-03-09,13.93,13.37,11806410000
603256.SH,宏和科技,2020-03-10,13.37,13.92,12289200000
603256.SH,宏和科技,2020-03-11,13.94,13.75,12139974000
603256.SH,宏和科技,2020-03-12,13.45,13.37,11806410000
603256.SH,宏和科技,2020-03-13,12.42,13.11,11578182000
603256.SH,宏和科技,2020-03-16,13.21,12.26,10823274000
603256.SH,宏和科技,2020-03-17,12.31,12.16,10735494000
603256.SH,宏和科技,2020-03-18,12.22,11.73,10358040000
603256.SH,宏和科技,2020-03-19,11.77,11.95,10551156000
603256.SH,宏和科技,2020-03-20,12.13,12.29,10849608000
603256.SH,宏和科技,2020-03-23,12.00,11.91,10516044000
603256.SH,宏和科技,2020-03-24,12.18,12.01,10603824000
603256.SH,宏和科技,2020-03-25,12.20,12.47,11016390000
603256.SH,宏和科技,2020-03-26,12.30,12.31,10875942000
603256.SH,宏和科技,2020-03-27,12.43,12.34,10902276000
603256.SH,宏和科技,2020-03-30,12.05,11.79,10410708000
603256.SH,宏和科技,2020-03-31,11.93,11.59,10235148000
603256.SH,宏和科技,2020-04-01,11.55,11.49,10147368000
603256.SH,宏和科技,2020-04-02,11.49,11.72,10349262000
603256.SH,宏和科技,2020-04-03,11.70,11.55,10200036000
603256.SH,宏和科技,2020-04-07,11.74,11.91,10516044000
603256.SH,宏和科技,2020-04-08,11.87,12.14,10717938000
603256.SH,宏和科技,2020-04-09,12.17,12.17,10744272000
603256.SH,宏和科技,2020-04-10,12.17,11.79,10410708000
603256.SH,宏和科技,2020-04-13,11.73,11.58,10226370000
603256.SH,宏和科技,2020-04-14,11.63,11.94,10542378000
603256.SH,宏和科技,2020-04-15,11.89,11.83,10445820000
603256.SH,宏和科技,2020-04-16,11.79,11.78,10401930000
603256.SH,宏和科技,2020-04-17,11.91,11.87,10480932000
603256.SH,宏和科技,2020-04-20,11.91,11.83,10445820000
603256.SH,宏和科技,2020-04-21,11.75,11.48,10138590000
603256.SH,宏和科技,2020-04-22,11.41,11.42,10085922000
603256.SH,宏和科技,2020-04-23,11.46,11.22,9910362000
603256.SH,宏和科技,2020-04-24,11.21,10.91,9638244000
603256.SH,宏和科技,2020-04-27,10.91,10.37,9155454000
603256.SH,宏和科技,2020-04-28,10.47,10.04,8865780000
603256.SH,宏和科技,2020-04-29,10.01,10.02,8848224000
603256.SH,宏和科技,2020-04-30,10.10,10.43,9208122000
603256.SH,宏和科技,2020-05-06,10.35,10.69,9445128000
603256.SH,宏和科技,2020-05-07,10.92,11.77,10393152000
603256.SH,宏和科技,2020-05-08,12.94,12.94,11428956000
603256.SH,宏和科技,2020-05-11,14.23,13.95,12324312000
603256.SH,宏和科技,2020-05-12,13.42,12.81,11314842000
603256.SH,宏和科技,2020-05-13,12.96,12.80,11306064000
603256.SH,宏和科技,2020-05-14,12.21,14.08,12438426000
603256.SH,宏和科技,2020-05-15,14.76,14.06,12420870000
603256.SH,宏和科技,2020-05-18,13.53,13.18,11639628000
603256.SH,宏和科技,2020-05-19,12.86,13.20,11657184000
603256.SH,宏和科技,2020-05-20,13.05,12.68,11200728000
603256.SH,宏和科技,2020-05-21,12.68,12.37,10928610000
603256.SH,宏和科技,2020-05-22,12.49,11.91,10516044000
603256.SH,宏和科技,2020-05-25,11.91,11.83,10445820000
603256.SH,宏和科技,2020-05-26,11.85,12.01,10603824000
603256.SH,宏和科技,2020-05-27,11.98,11.63,10270260000
603256.SH,宏和科技,2020-05-28,11.74,11.46,10121034000
603256.SH,宏和科技,2020-05-29,11.32,11.27,9954252000
603256.SH,宏和科技,2020-06-01,11.31,11.86,10472154000
603256.SH,宏和科技,2020-06-02,11.86,11.85,10463376000
603256.SH,宏和科技,2020-06-03,11.83,11.65,10287816000
603256.SH,宏和科技,2020-06-04,11.61,11.64,10279038000
603256.SH,宏和科技,2020-06-05,11.68,11.40,10068366000
603256.SH,宏和科技,2020-06-08,11.42,11.42,10085922000
603256.SH,宏和科技,2020-06-09,11.43,11.33,10006920000
603256.SH,宏和科技,2020-06-10,11.39,11.73,10358040000
603256.SH,宏和科技,2020-06-11,11.70,11.37,10042032000
603256.SH,宏和科技,2020-06-12,11.12,11.40,10068366000
603256.SH,宏和科技,2020-06-15,11.38,11.25,9936696000
603256.SH,宏和科技,2020-06-16,11.41,11.46,10121034000
603256.SH,宏和科技,2020-06-17,11.58,11.37,10042032000
603256.SH,宏和科技,2020-06-18,11.39,11.44,10103478000
603256.SH,宏和科技,2020-06-19,11.37,11.42,10085922000
603256.SH,宏和科技,2020-06-22,11.36,11.48,10138590000
603256.SH,宏和科技,2020-06-23,11.46,11.37,9980586000
603256.SH,宏和科技,2020-06-24,11.40,11.21,9840138000
603256.SH,宏和科技,2020-06-29,11.17,11.11,9752358000
603256.SH,宏和科技,2020-06-30,11.17,11.44,10042032000
603256.SH,宏和科技,2020-07-01,11.52,11.50,10094700000
603256.SH,宏和科技,2020-07-02,11.49,11.65,10226370000
603256.SH,宏和科技,2020-07-03,11.68,11.70,10270260000
603256.SH,宏和科技,2020-07-06,11.75,12.72,11165616000
603256.SH,宏和科技,2020-07-07,12.95,12.80,11235840000
603256.SH,宏和科技,2020-07-08,12.64,13.38,11744964000
603256.SH,宏和科技,2020-07-09,13.20,13.53,11876634000
603256.SH,宏和科技,2020-07-10,13.53,13.32,11692296000
603256.SH,宏和科技,2020-07-13,13.37,13.52,11867856000
603256.SH,宏和科技,2020-07-14,13.50,13.73,12052194000
603256.SH,宏和科技,2020-07-15,13.68,13.09,11490402000
603256.SH,宏和科技,2020-07-16,13.08,12.81,11244618000
603256.SH,宏和科技,2020-07-17,12.80,12.37,10858386000
603256.SH,宏和科技,2020-07-20,12.40,13.61,11946858000
603256.SH,宏和科技,2020-07-21,13.51,13.56,11902968000
603256.SH,宏和科技,2020-07-22,13.56,13.21,11595738000
603256.SH,宏和科技,2020-07-23,13.04,14.01,12297978000
603256.SH,宏和科技,2020-07-24,14.13,14.50,12728100000
603256.SH,宏和科技,2020-07-27,14.63,14.00,12289200000
603256.SH,宏和科技,2020-07-28,14.00,13.68,12008304000
603256.SH,宏和科技,2020-07-29,13.53,13.90,12201420000
603256.SH,宏和科技,2020-07-30,13.90,13.82,12131196000
603256.SH,宏和科技,2020-07-31,13.70,13.72,12043416000
603256.SH,宏和科技,2020-08-03,13.73,13.95,12245310000
603256.SH,宏和科技,2020-08-04,14.10,13.29,11665962000
603256.SH,宏和科技,2020-08-05,13.25,13.35,11718630000
603256.SH,宏和科技,2020-08-06,13.30,13.35,11718630000
603256.SH,宏和科技,2020-08-07,13.30,12.89,11314842000
603256.SH,宏和科技,2020-08-10,12.90,12.91,11332398000
603256.SH,宏和科技,2020-08-11,12.95,12.90,11323620000
603256.SH,宏和科技,2020-08-12,12.80,12.77,11209506000
603256.SH,宏和科技,2020-08-13,12.70,12.76,11200728000
603256.SH,宏和科技,2020-08-14,12.73,12.92,11341176000
603256.SH,宏和科技,2020-08-17,12.85,13.11,11507958000
603256.SH,宏和科技,2020-08-18,13.10,13.01,11420178000
603256.SH,宏和科技,2020-08-19,12.97,12.63,11086614000
603256.SH,宏和科技,2020-08-20,12.57,12.68,11130504000
603256.SH,宏和科技,2020-08-21,12.73,12.74,11183172000
603256.SH,宏和科技,2020-08-24,12.78,12.85,11279730000
603256.SH,宏和科技,2020-08-25,12.74,13.41,11771298000
603256.SH,宏和科技,2020-08-26,13.20,12.75,11191950000
603256.SH,宏和科技,2020-08-27,12.65,12.45,10928610000
603256.SH,宏和科技,2020-08-28,12.55,12.64,11095392000
603256.SH,宏和科技,2020-08-31,12.70,12.61,11069058000
603256.SH,宏和科技,2020-09-01,12.52,12.51,10981278000
603256.SH,宏和科技,2020-09-02,12.58,12.45,10928610000
603256.SH,宏和科技,2020-09-03,12.45,12.65,11104170000
603256.SH,宏和科技,2020-09-04,12.50,12.78,11218284000
603256.SH,宏和科技,2020-09-07,12.71,12.76,11200728000
603256.SH,宏和科技,2020-09-08,12.78,12.81,11244618000
603256.SH,宏和科技,2020-09-09,12.78,12.61,11069058000
603256.SH,宏和科技,2020-09-10,12.62,12.15,10665270000
603256.SH,宏和科技,2020-09-11,12.00,11.69,10261482000
603256.SH,宏和科技,2020-09-14,11.75,11.56,10147368000
603256.SH,宏和科技,2020-09-15,11.57,11.49,10085922000
603256.SH,宏和科技,2020-09-16,11.50,11.30,9919140000
603256.SH,宏和科技,2020-09-17,11.32,11.36,9971808000
603256.SH,宏和科技,2020-09-18,11.40,11.38,9989364000
603256.SH,宏和科技,2020-09-21,11.38,11.43,10033254000
603256.SH,宏和科技,2020-09-22,11.39,11.22,9848916000
603256.SH,宏和科技,2020-09-23,11.30,11.15,9787470000
603256.SH,宏和科技,2020-09-24,11.15,10.92,9585576000
603256.SH,宏和科技,2020-09-25,10.98,10.83,9506574000
603256.SH,宏和科技,2020-09-28,10.84,10.72,9410016000
603256.SH,宏和科技,2020-09-29,10.75,10.74,9427572000
603256.SH,宏和科技,2020-09-30,10.85,10.72,9410016000
603256.SH,宏和科技,2020-10-09,10.82,10.92,9585576000
603256.SH,宏和科技,2020-10-12,10.91,11.18,9813804000
603256.SH,宏和科技,2020-10-13,11.26,11.12,9761136000
603256.SH,宏和科技,2020-10-14,11.16,10.90,9568020000
603256.SH,宏和科技,2020-10-15,10.90,10.89,9559242000
603256.SH,宏和科技,2020-10-16,10.90,10.70,9392460000
603256.SH,宏和科技,2020-10-19,10.76,10.69,9383682000
603256.SH,宏和科技,2020-10-20,10.71,10.76,9445128000
603256.SH,宏和科技,2020-10-21,10.79,10.65,9348570000
603256.SH,宏和科技,2020-10-22,10.62,10.48,9199344000
603256.SH,宏和科技,2020-10-23,10.50,10.30,9041340000
603256.SH,宏和科技,2020-10-26,10.32,10.20,8953560000
603256.SH,宏和科技,2020-10-27,10.12,10.21,8962338000
603256.SH,宏和科技,2020-10-28,10.24,10.36,9094008000
603256.SH,宏和科技,2020-10-29,10.22,10.46,9181788000
603256.SH,宏和科技,2020-10-30,10.47,10.23,8979894000
603256.SH,宏和科技,2020-11-02,10.28,10.16,8918448000
603256.SH,宏和科技,2020-11-03,10.20,10.26,9006228000
603256.SH,宏和科技,2020-11-04,10.29,10.27,9015006000
603256.SH,宏和科技,2020-11-05,10.40,10.31,9050118000
603256.SH,宏和科技,2020-11-06,10.36,10.14,8900892000
603256.SH,宏和科技,2020-11-09,10.21,10.39,9120342000
603256.SH,宏和科技,2020-11-10,10.50,10.47,9190566000
603256.SH,宏和科技,2020-11-11,10.48,10.58,9287124000
603256.SH,宏和科技,2020-11-12,10.56,10.58,9287124000
603256.SH,宏和科技,2020-11-13,10.71,10.85,9524130000
603256.SH,宏和科技,2020-11-16,10.80,10.98,9638244000
603256.SH,宏和科技,2020-11-17,10.95,10.82,9497796000
603256.SH,宏和科技,2020-11-18,10.76,11.00,9655800000
603256.SH,宏和科技,2020-11-19,10.99,10.77,9453906000
603256.SH,宏和科技,2020-11-20,10.76,10.67,9366126000
603256.SH,宏和科技,2020-11-23,10.72,10.64,9339792000
603256.SH,宏和科技,2020-11-24,10.65,10.67,9366126000
603256.SH,宏和科技,2020-11-25,10.69,10.38,9111564000
603256.SH,宏和科技,2020-11-26,10.37,10.31,9050118000
603256.SH,宏和科技,2020-11-27,10.29,10.34,9076452000
603256.SH,宏和科技,2020-11-30,10.35,10.33,9067674000
603256.SH,宏和科技,2020-12-01,10.37,10.46,9181788000
603256.SH,宏和科技,2020-12-02,10.46,10.49,9208122000
603256.SH,宏和科技,2020-12-03,10.49,10.56,9269568000
603256.SH,宏和科技,2020-12-04,10.62,10.59,9295902000
603256.SH,宏和科技,2020-12-07,10.69,10.72,9410016000
603256.SH,宏和科技,2020-12-08,10.64,11.14,9778692000
603256.SH,宏和科技,2020-12-09,10.98,10.78,9462684000
603256.SH,宏和科技,2020-12-10,10.72,10.44,9164232000
603256.SH,宏和科技,2020-12-11,10.40,10.06,8830668000
603256.SH,宏和科技,2020-12-14,10.02,10.13,8892114000
603256.SH,宏和科技,2020-12-15,10.10,9.97,8751666000
603256.SH,宏和科技,2020-12-16,9.98,9.16,8040648000
603256.SH,宏和科技,2020-12-17,9.16,9.19,8066982000
