代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
605108.SH,同庆楼,2020-07-16,24.05,24.05,4810000000
605108.SH,同庆楼,2020-07-17,26.46,26.46,5292000000
605108.SH,同庆楼,2020-07-20,29.11,29.11,5822000000
605108.SH,同庆楼,2020-07-21,32.02,32.02,6404000000
605108.SH,同庆楼,2020-07-22,31.94,33.06,6612000000
605108.SH,同庆楼,2020-07-23,31.71,30.80,6160000000
605108.SH,同庆楼,2020-07-24,30.00,30.83,6166000000
605108.SH,同庆楼,2020-07-27,30.09,29.10,5820000000
605108.SH,同庆楼,2020-07-28,29.00,29.50,5900000000
605108.SH,同庆楼,2020-07-29,29.12,29.78,5956000000
605108.SH,同庆楼,2020-07-30,29.55,30.42,6084000000
605108.SH,同庆楼,2020-07-31,30.04,29.54,5908000000
605108.SH,同庆楼,2020-08-03,29.60,29.76,5952000000
605108.SH,同庆楼,2020-08-04,29.78,31.22,6244000000
605108.SH,同庆楼,2020-08-05,30.57,29.91,5982000000
605108.SH,同庆楼,2020-08-06,29.80,29.21,5842000000
605108.SH,同庆楼,2020-08-07,29.40,29.58,5916000000
605108.SH,同庆楼,2020-08-10,29.01,28.45,5690000000
605108.SH,同庆楼,2020-08-11,28.40,28.34,5668000000
605108.SH,同庆楼,2020-08-12,28.10,27.40,5480000000
605108.SH,同庆楼,2020-08-13,27.39,27.21,5442000000
605108.SH,同庆楼,2020-08-14,27.20,26.93,5386000000
605108.SH,同庆楼,2020-08-17,26.95,27.30,5460000000
605108.SH,同庆楼,2020-08-18,27.31,27.47,5494000000
605108.SH,同庆楼,2020-08-19,27.46,27.76,5552000000
605108.SH,同庆楼,2020-08-20,27.61,27.77,5554000000
605108.SH,同庆楼,2020-08-21,27.80,28.20,5640000000
605108.SH,同庆楼,2020-08-24,28.19,27.80,5560000000
605108.SH,同庆楼,2020-08-25,27.95,27.86,5572000000
605108.SH,同庆楼,2020-08-26,27.86,26.93,5386000000
605108.SH,同庆楼,2020-08-27,26.95,27.10,5420000000
605108.SH,同庆楼,2020-08-28,27.10,28.31,5662000000
605108.SH,同庆楼,2020-08-31,28.39,28.24,5648000000
605108.SH,同庆楼,2020-09-01,28.30,28.04,5608000000
605108.SH,同庆楼,2020-09-02,28.03,28.30,5660000000
605108.SH,同庆楼,2020-09-03,28.31,28.31,5662000000
605108.SH,同庆楼,2020-09-04,27.80,27.76,5552000000
605108.SH,同庆楼,2020-09-07,27.96,28.43,5686000000
605108.SH,同庆楼,2020-09-08,28.45,28.39,5678000000
605108.SH,同庆楼,2020-09-09,27.81,26.77,5354000000
605108.SH,同庆楼,2020-09-10,26.91,24.97,4994000000
605108.SH,同庆楼,2020-09-11,24.72,25.30,5060000000
