代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000713.SZ,丰乐种业,2010-01-04,9.59,9.78,3521250000
000713.SZ,丰乐种业,2010-01-05,9.56,10.11,3640500000
000713.SZ,丰乐种业,2010-01-06,9.97,9.86,3548250000
000713.SZ,丰乐种业,2010-01-07,9.85,9.72,3498750000
000713.SZ,丰乐种业,2010-01-08,9.67,9.85,3546000000
000713.SZ,丰乐种业,2010-01-11,9.91,9.77,3519000000
000713.SZ,丰乐种业,2010-01-12,9.69,10.47,3768750000
000713.SZ,丰乐种业,2010-01-13,10.22,10.44,3757500000
000713.SZ,丰乐种业,2010-01-14,10.44,10.64,3831750000
000713.SZ,丰乐种业,2010-01-15,10.64,10.55,3798000000
000713.SZ,丰乐种业,2010-01-18,10.38,10.75,3872250000
000713.SZ,丰乐种业,2010-01-19,10.78,10.75,3872250000
000713.SZ,丰乐种业,2010-01-20,10.67,10.09,3631500000
000713.SZ,丰乐种业,2010-01-21,10.09,10.11,3638250000
000713.SZ,丰乐种业,2010-01-22,10.11,10.11,3638250000
000713.SZ,丰乐种业,2010-01-25,9.87,9.78,3521250000
000713.SZ,丰乐种业,2010-01-26,9.84,9.31,3350250000
000713.SZ,丰乐种业,2010-01-27,9.50,9.75,3510000000
000713.SZ,丰乐种业,2010-01-28,9.66,9.82,3537000000
000713.SZ,丰乐种业,2010-01-29,9.69,10.29,3705750000
000713.SZ,丰乐种业,2010-02-01,10.57,10.09,3631500000
000713.SZ,丰乐种业,2010-02-02,10.09,10.22,3678750000
000713.SZ,丰乐种业,2010-02-03,10.22,9.94,3577500000
000713.SZ,丰乐种业,2010-02-04,9.81,9.93,3575250000
000713.SZ,丰乐种业,2010-02-05,9.62,9.47,3408750000
000713.SZ,丰乐种业,2010-02-08,9.47,9.37,3372750000
000713.SZ,丰乐种业,2010-02-09,9.25,9.47,3408750000
000713.SZ,丰乐种业,2010-02-10,9.69,9.66,3476250000
000713.SZ,丰乐种业,2010-02-11,9.62,9.66,3478500000
000713.SZ,丰乐种业,2010-02-12,9.69,10.00,3600000000
000713.SZ,丰乐种业,2010-02-22,10.09,10.29,3703500000
000713.SZ,丰乐种业,2010-02-23,10.25,10.34,3723750000
000713.SZ,丰乐种业,2010-02-24,10.37,10.45,3762000000
000713.SZ,丰乐种业,2010-02-25,10.42,10.51,3784500000
000713.SZ,丰乐种业,2010-02-26,10.52,10.59,3813750000
000713.SZ,丰乐种业,2010-03-01,10.63,10.72,3858750000
000713.SZ,丰乐种业,2010-03-02,10.74,10.79,3885750000
000713.SZ,丰乐种业,2010-03-03,10.79,10.79,3885750000
000713.SZ,丰乐种业,2010-03-04,11.42,10.38,3737250000
000713.SZ,丰乐种业,2010-03-05,10.30,10.12,3642750000
000713.SZ,丰乐种业,2010-03-08,10.12,10.17,3660750000
000713.SZ,丰乐种业,2010-03-09,10.17,9.99,3595500000
000713.SZ,丰乐种业,2010-03-10,9.94,9.89,3561750000
000713.SZ,丰乐种业,2010-03-11,9.89,9.79,3523500000
000713.SZ,丰乐种业,2010-03-12,9.72,9.66,3476250000
000713.SZ,丰乐种业,2010-03-15,9.70,9.87,3555000000
000713.SZ,丰乐种业,2010-03-16,9.87,9.80,3528000000
000713.SZ,丰乐种业,2010-03-17,9.93,9.97,3588750000
000713.SZ,丰乐种业,2010-03-18,9.97,9.89,3561750000
000713.SZ,丰乐种业,2010-03-19,9.87,9.82,3537000000
000713.SZ,丰乐种业,2010-03-22,9.92,9.86,3548250000
000713.SZ,丰乐种业,2010-03-23,10.00,10.31,3710250000
000713.SZ,丰乐种业,2010-03-24,10.25,10.21,3674250000
000713.SZ,丰乐种业,2010-03-25,10.19,9.75,3510000000
000713.SZ,丰乐种业,2010-03-26,9.72,9.72,3498750000
000713.SZ,丰乐种业,2010-03-29,9.75,9.78,3521250000
000713.SZ,丰乐种业,2010-03-30,9.81,9.67,3483000000
000713.SZ,丰乐种业,2010-03-31,9.69,9.68,3485250000
000713.SZ,丰乐种业,2010-04-01,9.69,9.81,3532500000
000713.SZ,丰乐种业,2010-04-02,9.81,9.76,3514500000
000713.SZ,丰乐种业,2010-04-06,9.76,9.86,3550500000
000713.SZ,丰乐种业,2010-04-07,9.87,10.00,3600000000
