代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000488.SZ,晨鸣纸业,2010-01-04,3.71,3.66,17486149580
000488.SZ,晨鸣纸业,2010-01-05,3.67,3.77,18022281524
000488.SZ,晨鸣纸业,2010-01-06,3.76,3.71,17712974633
000488.SZ,晨鸣纸业,2010-01-07,3.71,3.63,17341806364
000488.SZ,晨鸣纸业,2010-01-08,3.62,3.68,17568631417
000488.SZ,晨鸣纸业,2010-01-11,3.72,3.69,17651113255
000488.SZ,晨鸣纸业,2010-01-12,3.69,3.79,18104763362
000488.SZ,晨鸣纸业,2010-01-13,3.71,3.68,17609872336
000488.SZ,晨鸣纸业,2010-01-14,3.70,3.79,18125383821
000488.SZ,晨鸣纸业,2010-01-15,3.85,3.82,18249106578
000488.SZ,晨鸣纸业,2010-01-18,3.81,3.84,18352208875
000488.SZ,晨鸣纸业,2010-01-19,3.84,3.96,18950202198
000488.SZ,晨鸣纸业,2010-01-20,3.94,3.87,18475931631
000488.SZ,晨鸣纸业,2010-01-21,3.86,3.81,18228486118
000488.SZ,晨鸣纸业,2010-01-22,3.75,3.70,17671733714
000488.SZ,晨鸣纸业,2010-01-25,3.69,3.65,17424288201
000488.SZ,晨鸣纸业,2010-01-26,3.67,3.52,16805674419
000488.SZ,晨鸣纸业,2010-01-27,3.51,3.50,16743813041
000488.SZ,晨鸣纸业,2010-01-28,3.50,3.50,16723192582
000488.SZ,晨鸣纸业,2010-01-29,3.48,3.49,16661331203
000488.SZ,晨鸣纸业,2010-02-01,3.48,3.37,16125199259
000488.SZ,晨鸣纸业,2010-02-02,3.39,3.38,16166440177
000488.SZ,晨鸣纸业,2010-02-03,3.39,3.46,16537608447
000488.SZ,晨鸣纸业,2010-02-04,3.44,3.49,16681951663
000488.SZ,晨鸣纸业,2010-02-05,3.42,3.42,16331403853
000488.SZ,晨鸣纸业,2010-02-08,3.42,3.45,16475747069
000488.SZ,晨鸣纸业,2010-02-09,3.44,3.49,16702572122
000488.SZ,晨鸣纸业,2010-02-10,3.52,3.55,16950017635
000488.SZ,晨鸣纸业,2010-02-11,3.53,3.54,16908776716
000488.SZ,晨鸣纸业,2010-02-12,3.54,3.57,17053119932
000488.SZ,晨鸣纸业,2010-02-22,3.55,3.53,16867535797
000488.SZ,晨鸣纸业,2010-02-23,3.50,3.59,17176842689
000488.SZ,晨鸣纸业,2010-02-24,3.56,3.60,17197463148
000488.SZ,晨鸣纸业,2010-02-25,3.60,3.62,17300565445
000488.SZ,晨鸣纸业,2010-02-26,3.61,3.64,17403667742
000488.SZ,晨鸣纸业,2010-03-01,3.67,3.65,17465529120
000488.SZ,晨鸣纸业,2010-03-02,3.68,3.69,17630492796
000488.SZ,晨鸣纸业,2010-03-03,3.69,3.71,17712974633
000488.SZ,晨鸣纸业,2010-03-04,3.71,3.57,17053119932
000488.SZ,晨鸣纸业,2010-03-05,3.56,3.56,17032499473
000488.SZ,晨鸣纸业,2010-03-08,3.59,3.58,17094360851
000488.SZ,晨鸣纸业,2010-03-09,3.58,3.54,16908776716
000488.SZ,晨鸣纸业,2010-03-10,3.56,3.58,17094360851
000488.SZ,晨鸣纸业,2010-03-11,3.58,3.65,17424288201
000488.SZ,晨鸣纸业,2010-03-12,3.65,3.68,17568631417
000488.SZ,晨鸣纸业,2010-03-15,3.66,3.55,16991258554
000488.SZ,晨鸣纸业,2010-03-16,3.56,3.53,16867535797
000488.SZ,晨鸣纸业,2010-03-17,3.55,3.65,17465529120
000488.SZ,晨鸣纸业,2010-03-18,3.65,3.67,17527390498
000488.SZ,晨鸣纸业,2010-03-19,3.69,3.71,17733595093
000488.SZ,晨鸣纸业,2010-03-22,3.71,3.71,17712974633
000488.SZ,晨鸣纸业,2010-03-23,3.70,3.65,17444908661
000488.SZ,晨鸣纸业,2010-03-24,3.65,3.64,17403667742
