代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
000666.SZ,经纬纺机,2010-01-04,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-05,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-06,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-07,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-08,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-11,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-12,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-13,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-14,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-15,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-18,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-19,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-20,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-21,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-22,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-25,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-26,11.58,11.58,0.00,0.0000
000666.SZ,经纬纺机,2010-01-27,10.43,10.43,-1.16,-9.9838
000666.SZ,经纬纺机,2010-01-28,9.38,9.38,-1.04,-10.0090
000666.SZ,经纬纺机,2010-01-29,8.94,9.07,-0.31,-3.3066
000666.SZ,经纬纺机,2010-02-01,8.85,8.40,-0.68,-7.4611
000666.SZ,经纬纺机,2010-02-02,8.33,8.00,-0.39,-4.7032
000666.SZ,经纬纺机,2010-02-03,7.94,8.19,0.19,2.3502
000666.SZ,经纬纺机,2010-02-04,8.04,8.29,0.10,1.2629
000666.SZ,经纬纺机,2010-02-05,8.10,7.72,-0.57,-6.9161
000666.SZ,经纬纺机,2010-02-08,7.76,7.67,-0.05,-0.6090
000666.SZ,经纬纺机,2010-02-09,7.66,7.68,0.01,0.1225
000666.SZ,经纬纺机,2010-02-10,7.73,7.87,0.19,2.4480
000666.SZ,经纬纺机,2010-02-11,7.87,7.80,-0.07,-0.8363
000666.SZ,经纬纺机,2010-02-12,7.83,7.91,0.10,1.3253
000666.SZ,经纬纺机,2010-02-22,7.92,7.90,-0.01,-0.1189
000666.SZ,经纬纺机,2010-02-23,7.95,7.75,-0.15,-1.9048
000666.SZ,经纬纺机,2010-02-24,7.71,8.52,0.77,9.9515
000666.SZ,经纬纺机,2010-02-25,8.37,8.82,0.30,3.5320
000666.SZ,经纬纺机,2010-02-26,8.73,8.85,0.03,0.3198
000666.SZ,经纬纺机,2010-03-01,8.75,8.95,0.10,1.1690
000666.SZ,经纬纺机,2010-03-02,8.91,8.95,0.00,0.0000
000666.SZ,经纬纺机,2010-03-03,8.95,9.24,0.29,3.2563
000666.SZ,经纬纺机,2010-03-04,9.22,8.58,-0.67,-7.2228
000666.SZ,经纬纺机,2010-03-05,8.64,8.49,-0.08,-0.9868
000666.SZ,经纬纺机,2010-03-08,8.40,8.56,0.07,0.7752
000666.SZ,经纬纺机,2010-03-09,8.55,8.49,-0.07,-0.7692
000666.SZ,经纬纺机,2010-03-10,8.52,8.54,0.05,0.5537
