代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
600816.SH,*ST安信,2010-01-04,2.65,2.59,-0.07,-2.5304
600816.SH,*ST安信,2010-01-05,2.59,2.59,0.00,0.1038
600816.SH,*ST安信,2010-01-06,2.57,2.61,0.02,0.8299
600816.SH,*ST安信,2010-01-07,2.59,2.57,-0.04,-1.5432
600816.SH,*ST安信,2010-01-08,2.57,2.57,0.00,0.0000
600816.SH,*ST安信,2010-01-11,2.70,2.64,0.07,2.7168
600816.SH,*ST安信,2010-01-12,2.63,2.77,0.13,4.8321
600816.SH,*ST安信,2010-01-13,2.72,2.79,0.03,0.9219
600816.SH,*ST安信,2010-01-14,2.79,2.79,0.00,0.0481
600816.SH,*ST安信,2010-01-15,2.80,2.80,0.01,0.2403
600816.SH,*ST安信,2010-01-18,2.80,2.69,-0.11,-3.8351
600816.SH,*ST安信,2010-01-19,2.71,2.67,-0.03,-0.9970
600816.SH,*ST安信,2010-01-20,2.66,2.68,0.01,0.3525
600816.SH,*ST安信,2010-01-21,2.67,2.81,0.13,4.8670
600816.SH,*ST安信,2010-01-22,2.75,2.64,-0.16,-5.7895
600816.SH,*ST安信,2010-01-25,2.57,2.54,-0.10,-3.9614
600816.SH,*ST安信,2010-01-26,2.54,2.45,-0.09,-3.4902
600816.SH,*ST安信,2010-01-27,2.45,2.39,-0.06,-2.4658
600816.SH,*ST安信,2010-01-28,2.41,2.43,0.04,1.5169
600816.SH,*ST安信,2010-01-29,2.40,2.44,0.02,0.7194
600816.SH,*ST安信,2010-02-01,2.44,2.34,-0.10,-4.2308
600816.SH,*ST安信,2010-02-02,2.37,2.33,-0.01,-0.3442
600816.SH,*ST安信,2010-02-03,2.33,2.40,0.06,2.7634
600816.SH,*ST安信,2010-02-04,2.39,2.40,0.01,0.2801
600816.SH,*ST安信,2010-02-05,2.34,2.32,-0.08,-3.2961
600816.SH,*ST安信,2010-02-08,2.32,2.28,-0.04,-1.6753
600816.SH,*ST安信,2010-02-09,2.28,2.31,0.03,1.2926
