代码,简称,日期,开盘价(元),收盘价(元)
601318.SH,中国平安,2010-01-04,22.96,22.30
601318.SH,中国平安,2010-01-05,22.36,22.58
601318.SH,中国平安,2010-01-06,22.51,22.10
601318.SH,中国平安,2010-01-07,22.10,21.69
601318.SH,中国平安,2010-01-08,21.69,21.57
601318.SH,中国平安,2010-01-11,22.56,21.67
601318.SH,中国平安,2010-01-12,21.52,21.88
601318.SH,中国平安,2010-01-13,21.40,20.83
601318.SH,中国平安,2010-01-14,21.02,21.10
601318.SH,中国平安,2010-01-15,21.11,21.14
601318.SH,中国平安,2010-01-18,21.01,20.83
601318.SH,中国平安,2010-01-19,20.80,20.93
601318.SH,中国平安,2010-01-20,20.98,20.26
601318.SH,中国平安,2010-01-21,20.32,20.66
601318.SH,中国平安,2010-01-22,20.28,20.68
601318.SH,中国平安,2010-01-25,20.44,20.59
601318.SH,中国平安,2010-01-26,20.60,20.13
601318.SH,中国平安,2010-01-27,20.20,19.70
601318.SH,中国平安,2010-01-28,19.73,19.36
601318.SH,中国平安,2010-01-29,19.33,19.23
601318.SH,中国平安,2010-02-01,19.43,19.80
601318.SH,中国平安,2010-02-02,19.87,19.64
601318.SH,中国平安,2010-02-03,19.76,20.62
601318.SH,中国平安,2010-02-04,20.36,20.40
601318.SH,中国平安,2010-02-05,19.97,19.89
601318.SH,中国平安,2010-02-08,19.88,19.90
601318.SH,中国平安,2010-02-09,19.96,20.17
601318.SH,中国平安,2010-02-10,20.36,20.70
601318.SH,中国平安,2010-02-11,20.68,20.65
601318.SH,中国平安,2010-02-12,20.78,20.73
601318.SH,中国平安,2010-02-22,20.69,20.31
601318.SH,中国平安,2010-02-23,19.82,18.51
601318.SH,中国平安,2010-02-24,18.29,18.46
601318.SH,中国平安,2010-02-25,18.56,18.71
601318.SH,中国平安,2010-02-26,18.64,18.63
601318.SH,中国平安,2010-03-01,19.03,19.33
601318.SH,中国平安,2010-03-02,19.33,19.28
601318.SH,中国平安,2010-03-03,19.30,19.21
601318.SH,中国平安,2010-03-04,19.23,18.65
601318.SH,中国平安,2010-03-05,18.75,18.83
601318.SH,中国平安,2010-03-08,18.87,19.10
601318.SH,中国平安,2010-03-09,19.12,19.47
601318.SH,中国平安,2010-03-10,19.48,19.55
601318.SH,中国平安,2010-03-11,19.55,19.45
601318.SH,中国平安,2010-03-12,19.44,19.31
601318.SH,中国平安,2010-03-15,19.29,18.88
601318.SH,中国平安,2010-03-16,18.87,18.90
601318.SH,中国平安,2010-03-17,18.98,20.00
601318.SH,中国平安,2010-03-18,19.87,19.87
601318.SH,中国平安,2010-03-19,19.89,20.06
601318.SH,中国平安,2010-03-22,20.04,20.03
601318.SH,中国平安,2010-03-23,20.09,19.73
601318.SH,中国平安,2010-03-24,19.83,19.81
601318.SH,中国平安,2010-03-25,19.81,19.53
601318.SH,中国平安,2010-03-26,19.51,19.96
601318.SH,中国平安,2010-03-29,20.15,20.79
601318.SH,中国平安,2010-03-30,20.80,21.04
601318.SH,中国平安,2010-03-31,20.96,20.86
601318.SH,中国平安,2010-04-01,20.86,21.22
601318.SH,中国平安,2010-04-02,21.27,21.32
601318.SH,中国平安,2010-04-06,21.52,21.08
601318.SH,中国平安,2010-04-07,20.97,21.04
601318.SH,中国平安,2010-04-08,21.01,20.56
601318.SH,中国平安,2010-04-09,20.67,20.98
601318.SH,中国平安,2010-04-12,20.98,20.66
601318.SH,中国平安,2010-04-13,20.71,21.48
601318.SH,中国平安,2010-04-14,21.52,21.61
601318.SH,中国平安,2010-04-15,21.52,21.74
601318.SH,中国平安,2010-04-16,21.60,21.14
601318.SH,中国平安,2010-04-19,20.90,20.37
601318.SH,中国平安,2010-04-20,20.61,20.95
601318.SH,中国平安,2010-04-21,20.98,21.53
601318.SH,中国平安,2010-04-22,21.40,21.43
601318.SH,中国平安,2010-04-23,21.54,21.43
601318.SH,中国平安,2010-04-26,21.42,20.98
601318.SH,中国平安,2010-04-27,20.85,20.54
601318.SH,中国平安,2010-04-28,20.24,20.27
601318.SH,中国平安,2010-04-29,20.49,20.06
601318.SH,中国平安,2010-04-30,20.08,20.44
601318.SH,中国平安,2010-05-04,20.11,20.40
601318.SH,中国平安,2010-05-05,20.30,20.18
601318.SH,中国平安,2010-05-06,20.11,19.14
601318.SH,中国平安,2010-05-07,18.59,19.17
601318.SH,中国平安,2010-05-10,19.49,19.95
601318.SH,中国平安,2010-05-11,20.42,19.38
601318.SH,中国平安,2010-05-12,19.24,20.12
601318.SH,中国平安,2010-05-13,20.27,20.44
601318.SH,中国平安,2010-05-14,20.03,19.99
601318.SH,中国平安,2010-05-17,19.69,18.84
601318.SH,中国平安,2010-05-18,18.99,19.32
601318.SH,中国平安,2010-05-19,19.07,19.17
601318.SH,中国平安,2010-05-20,19.04,18.59
601318.SH,中国平安,2010-05-21,18.20,18.70
601318.SH,中国平安,2010-05-24,19.06,19.41
601318.SH,中国平安,2010-05-25,19.22,18.73
601318.SH,中国平安,2010-05-26,18.95,18.80
601318.SH,中国平安,2010-05-27,18.77,19.08
601318.SH,中国平安,2010-05-28,19.31,19.02
601318.SH,中国平安,2010-05-31,18.93,18.77
601318.SH,中国平安,2010-06-01,18.71,19.00
601318.SH,中国平安,2010-06-02,18.95,18.83
601318.SH,中国平安,2010-06-03,18.95,18.88
601318.SH,中国平安,2010-06-04,18.76,18.85
601318.SH,中国平安,2010-06-07,18.62,18.43
601318.SH,中国平安,2010-06-08,18.44,18.33
601318.SH,中国平安,2010-06-09,18.42,18.90
601318.SH,中国平安,2010-06-10,18.62,18.53
601318.SH,中国平安,2010-06-11,18.74,18.75
601318.SH,中国平安,2010-06-17,18.90,18.64
601318.SH,中国平安,2010-06-18,18.64,18.59
601318.SH,中国平安,2010-06-21,18.77,19.46
601318.SH,中国平安,2010-06-22,19.46,19.50
601318.SH,中国平安,2010-06-23,19.40,19.35
601318.SH,中国平安,2010-06-24,19.31,19.53
601318.SH,中国平安,2010-06-25,19.41,19.66
601318.SH,中国平安,2010-06-28,19.65,19.37
601318.SH,中国平安,2010-06-29,19.37,19.37
601318.SH,中国平安,2010-06-30,19.37,19.37
601318.SH,中国平安,2010-07-01,19.37,19.37
601318.SH,中国平安,2010-07-02,19.37,19.37
601318.SH,中国平安,2010-07-05,19.37,19.37
601318.SH,中国平安,2010-07-06,19.37,19.37
601318.SH,中国平安,2010-07-07,19.37,19.37
601318.SH,中国平安,2010-07-08,19.37,19.37
601318.SH,中国平安,2010-07-09,19.37,19.37
601318.SH,中国平安,2010-07-12,19.37,19.37
601318.SH,中国平安,2010-07-13,19.37,19.37
601318.SH,中国平安,2010-07-14,19.37,19.37
601318.SH,中国平安,2010-07-15,19.37,19.37
601318.SH,中国平安,2010-07-16,19.37,19.37
601318.SH,中国平安,2010-07-19,19.37,19.37
601318.SH,中国平安,2010-07-20,19.37,19.37
601318.SH,中国平安,2010-07-21,19.37,19.37
601318.SH,中国平安,2010-07-22,19.37,19.37
601318.SH,中国平安,2010-07-23,19.37,19.37
601318.SH,中国平安,2010-07-26,19.37,19.37
601318.SH,中国平安,2010-07-27,19.37,19.37
601318.SH,中国平安,2010-07-28,19.37,19.37
601318.SH,中国平安,2010-07-29,19.37,19.37
601318.SH,中国平安,2010-07-30,19.37,19.37
601318.SH,中国平安,2010-08-02,19.37,19.37
601318.SH,中国平安,2010-08-03,19.37,19.37
601318.SH,中国平安,2010-08-04,19.37,19.37
601318.SH,中国平安,2010-08-05,19.37,19.37
601318.SH,中国平安,2010-08-06,19.37,19.37
601318.SH,中国平安,2010-08-09,19.37,19.37
601318.SH,中国平安,2010-08-10,19.37,19.37
601318.SH,中国平安,2010-08-11,19.37,19.37
601318.SH,中国平安,2010-08-12,19.37,19.37
601318.SH,中国平安,2010-08-13,19.37,19.37
601318.SH,中国平安,2010-08-16,19.37,19.37
601318.SH,中国平安,2010-08-17,19.37,19.37
601318.SH,中国平安,2010-08-18,19.37,19.37
601318.SH,中国平安,2010-08-19,19.37,19.37
601318.SH,中国平安,2010-08-20,19.37,19.37
601318.SH,中国平安,2010-08-23,19.37,19.37
601318.SH,中国平安,2010-08-24,19.37,19.37
601318.SH,中国平安,2010-08-25,19.37,19.37
601318.SH,中国平安,2010-08-26,19.37,19.37
601318.SH,中国平安,2010-08-27,19.37,19.37
601318.SH,中国平安,2010-08-30,19.37,19.37
601318.SH,中国平安,2010-08-31,19.37,19.37
601318.SH,中国平安,2010-09-01,19.37,19.37
601318.SH,中国平安,2010-09-02,19.99,20.25
601318.SH,中国平安,2010-09-03,20.33,20.36
601318.SH,中国平安,2010-09-06,20.62,21.27
601318.SH,中国平安,2010-09-07,21.28,21.16
601318.SH,中国平安,2010-09-08,21.06,20.79
601318.SH,中国平安,2010-09-09,20.88,20.26
601318.SH,中国平安,2010-09-10,20.33,20.50
601318.SH,中国平安,2010-09-13,20.52,20.73
601318.SH,中国平安,2010-09-14,20.82,20.94
601318.SH,中国平安,2010-09-15,20.93,20.60
601318.SH,中国平安,2010-09-16,20.60,20.44
601318.SH,中国平安,2010-09-17,20.55,20.37
601318.SH,中国平安,2010-09-20,20.47,20.88
601318.SH,中国平安,2010-09-21,21.09,20.99
601318.SH,中国平安,2010-09-27,20.98,21.52
