代码,简称,日期,开盘价(元),收盘价(元)
002647.SZ,仁东控股,2011-12-28,3.53,3.47
002647.SZ,仁东控股,2011-12-29,3.35,3.34
002647.SZ,仁东控股,2011-12-30,3.35,3.39
002647.SZ,仁东控股,2012-01-04,3.40,3.23
002647.SZ,仁东控股,2012-01-05,3.20,3.00
002647.SZ,仁东控股,2012-01-06,3.00,3.05
002647.SZ,仁东控股,2012-01-09,3.03,3.17
002647.SZ,仁东控股,2012-01-10,3.17,3.28
002647.SZ,仁东控股,2012-01-11,3.27,3.24
002647.SZ,仁东控股,2012-01-12,3.22,3.19
002647.SZ,仁东控股,2012-01-13,3.19,3.02
002647.SZ,仁东控股,2012-01-16,2.97,2.96
002647.SZ,仁东控股,2012-01-17,2.97,3.13
002647.SZ,仁东控股,2012-01-18,3.12,3.04
002647.SZ,仁东控股,2012-01-19,3.04,3.10
002647.SZ,仁东控股,2012-01-20,3.10,3.14
002647.SZ,仁东控股,2012-01-30,3.14,3.13
002647.SZ,仁东控股,2012-01-31,3.12,3.12
002647.SZ,仁东控股,2012-02-01,3.11,3.09
002647.SZ,仁东控股,2012-02-02,3.10,3.14
002647.SZ,仁东控股,2012-02-03,3.13,3.19
002647.SZ,仁东控股,2012-02-06,3.20,3.17
002647.SZ,仁东控股,2012-02-07,3.15,3.13
002647.SZ,仁东控股,2012-02-08,3.15,3.20
002647.SZ,仁东控股,2012-02-09,3.22,3.26
002647.SZ,仁东控股,2012-02-10,3.27,3.27
002647.SZ,仁东控股,2012-02-13,3.24,3.29
002647.SZ,仁东控股,2012-02-14,3.29,3.28
002647.SZ,仁东控股,2012-02-15,3.27,3.32
002647.SZ,仁东控股,2012-02-16,3.33,3.29
002647.SZ,仁东控股,2012-02-17,3.29,3.26
002647.SZ,仁东控股,2012-02-20,3.30,3.28
002647.SZ,仁东控股,2012-02-21,3.27,3.32
002647.SZ,仁东控股,2012-02-22,3.31,3.42
