代码,简称,日期,开盘价(元),收盘价(元)
601601.SH,中国太保,2010-01-04,19.93,19.50
601601.SH,中国太保,2010-01-05,19.63,20.12
601601.SH,中国太保,2010-01-06,19.96,19.88
601601.SH,中国太保,2010-01-07,19.88,19.43
601601.SH,中国太保,2010-01-08,19.20,19.05
601601.SH,中国太保,2010-01-11,20.94,19.24
601601.SH,中国太保,2010-01-12,19.09,19.43
601601.SH,中国太保,2010-01-13,18.93,18.33
601601.SH,中国太保,2010-01-14,18.49,18.62
601601.SH,中国太保,2010-01-15,18.61,18.89
601601.SH,中国太保,2010-01-18,18.70,18.67
601601.SH,中国太保,2010-01-19,18.71,18.82
601601.SH,中国太保,2010-01-20,18.82,18.07
601601.SH,中国太保,2010-01-21,18.10,18.37
601601.SH,中国太保,2010-01-22,18.09,18.46
601601.SH,中国太保,2010-01-25,18.31,18.66
601601.SH,中国太保,2010-01-26,18.75,18.09
601601.SH,中国太保,2010-01-27,18.11,17.49
601601.SH,中国太保,2010-01-28,17.47,17.15
601601.SH,中国太保,2010-01-29,17.08,17.09
601601.SH,中国太保,2010-02-01,17.23,17.44
601601.SH,中国太保,2010-02-02,17.52,17.52
601601.SH,中国太保,2010-02-03,17.68,18.62
601601.SH,中国太保,2010-02-04,18.41,18.58
601601.SH,中国太保,2010-02-05,18.16,18.07
601601.SH,中国太保,2010-02-08,18.07,18.41
601601.SH,中国太保,2010-02-09,18.33,18.54
601601.SH,中国太保,2010-02-10,18.68,19.10
601601.SH,中国太保,2010-02-11,19.08,19.02
601601.SH,中国太保,2010-02-12,19.17,19.23
601601.SH,中国太保,2010-02-22,19.23,19.13
601601.SH,中国太保,2010-02-23,19.10,18.49
601601.SH,中国太保,2010-02-24,18.33,18.34
601601.SH,中国太保,2010-02-25,18.38,18.53
601601.SH,中国太保,2010-02-26,18.46,18.37
601601.SH,中国太保,2010-03-01,18.41,19.06
601601.SH,中国太保,2010-03-02,19.05,19.07
601601.SH,中国太保,2010-03-03,19.10,19.20
601601.SH,中国太保,2010-03-04,19.17,18.73
601601.SH,中国太保,2010-03-05,18.81,18.92
601601.SH,中国太保,2010-03-08,18.99,19.30
601601.SH,中国太保,2010-03-09,19.27,19.54
601601.SH,中国太保,2010-03-10,19.49,19.35
601601.SH,中国太保,2010-03-11,19.40,19.22
601601.SH,中国太保,2010-03-12,19.22,19.12
601601.SH,中国太保,2010-03-15,19.16,18.67
601601.SH,中国太保,2010-03-16,18.64,18.68
601601.SH,中国太保,2010-03-17,18.72,19.40
601601.SH,中国太保,2010-03-18,19.37,19.32
601601.SH,中国太保,2010-03-19,19.38,19.50
601601.SH,中国太保,2010-03-22,19.54,19.63
601601.SH,中国太保,2010-03-23,19.64,19.32
601601.SH,中国太保,2010-03-24,19.47,19.37
601601.SH,中国太保,2010-03-25,19.37,19.16
601601.SH,中国太保,2010-03-26,19.09,19.70
601601.SH,中国太保,2010-03-29,19.84,20.55
601601.SH,中国太保,2010-03-30,20.49,20.88
601601.SH,中国太保,2010-03-31,20.80,20.88
601601.SH,中国太保,2010-04-01,20.81,21.23
601601.SH,中国太保,2010-04-02,21.23,21.21
601601.SH,中国太保,2010-04-06,21.35,20.81
601601.SH,中国太保,2010-04-07,20.80,20.87
601601.SH,中国太保,2010-04-08,20.80,20.39
601601.SH,中国太保,2010-04-09,20.42,20.66
601601.SH,中国太保,2010-04-12,20.69,20.36
601601.SH,中国太保,2010-04-13,20.30,21.82
601601.SH,中国太保,2010-04-14,21.66,21.75
601601.SH,中国太保,2010-04-15,21.78,21.79
601601.SH,中国太保,2010-04-16,21.76,21.44
601601.SH,中国太保,2010-04-19,21.15,19.95
601601.SH,中国太保,2010-04-20,20.11,20.39
601601.SH,中国太保,2010-04-21,20.42,21.11
601601.SH,中国太保,2010-04-22,20.92,20.80
601601.SH,中国太保,2010-04-23,20.85,20.86
601601.SH,中国太保,2010-04-26,20.92,19.98
601601.SH,中国太保,2010-04-27,19.99,19.29
601601.SH,中国太保,2010-04-28,18.95,18.90
601601.SH,中国太保,2010-04-29,19.10,19.00
601601.SH,中国太保,2010-04-30,19.19,19.59
601601.SH,中国太保,2010-05-04,19.29,19.50
601601.SH,中国太保,2010-05-05,19.35,19.83
601601.SH,中国太保,2010-05-06,19.64,18.69
601601.SH,中国太保,2010-05-07,18.39,18.27
601601.SH,中国太保,2010-05-10,18.44,19.03
601601.SH,中国太保,2010-05-11,19.50,18.65
601601.SH,中国太保,2010-05-12,18.63,19.31
601601.SH,中国太保,2010-05-13,19.18,19.75
601601.SH,中国太保,2010-05-14,19.51,19.47
601601.SH,中国太保,2010-05-17,19.25,18.48
601601.SH,中国太保,2010-05-18,18.48,18.73
601601.SH,中国太保,2010-05-19,18.56,18.15
601601.SH,中国太保,2010-05-20,17.93,17.22
601601.SH,中国太保,2010-05-21,16.65,17.21
601601.SH,中国太保,2010-05-24,17.39,17.73
601601.SH,中国太保,2010-05-25,17.47,16.84
601601.SH,中国太保,2010-05-26,17.01,16.79
601601.SH,中国太保,2010-05-27,16.69,17.14
601601.SH,中国太保,2010-05-28,17.39,17.22
601601.SH,中国太保,2010-05-31,17.01,16.77
601601.SH,中国太保,2010-06-01,16.57,16.55
601601.SH,中国太保,2010-06-02,16.48,16.58
601601.SH,中国太保,2010-06-03,16.58,16.58
601601.SH,中国太保,2010-06-04,16.27,16.77
601601.SH,中国太保,2010-06-07,16.40,16.30
601601.SH,中国太保,2010-06-08,16.36,15.92
601601.SH,中国太保,2010-06-09,16.07,16.60
601601.SH,中国太保,2010-06-10,16.24,16.12
601601.SH,中国太保,2010-06-11,16.28,16.43
601601.SH,中国太保,2010-06-17,16.78,16.30
601601.SH,中国太保,2010-06-18,16.32,16.42
601601.SH,中国太保,2010-06-21,16.62,17.63
601601.SH,中国太保,2010-06-22,17.48,17.63
601601.SH,中国太保,2010-06-23,17.48,17.51
601601.SH,中国太保,2010-06-24,17.57,17.79
601601.SH,中国太保,2010-06-25,17.71,18.30
601601.SH,中国太保,2010-06-28,18.30,18.03
601601.SH,中国太保,2010-06-29,18.02,17.28
601601.SH,中国太保,2010-06-30,17.18,17.61
601601.SH,中国太保,2010-07-01,17.63,17.59
601601.SH,中国太保,2010-07-02,17.62,17.97
601601.SH,中国太保,2010-07-05,17.64,18.02
601601.SH,中国太保,2010-07-06,18.03,18.33
601601.SH,中国太保,2010-07-07,18.24,18.58
601601.SH,中国太保,2010-07-08,18.58,18.30
601601.SH,中国太保,2010-07-09,18.26,18.02
601601.SH,中国太保,2010-07-12,17.64,16.97
601601.SH,中国太保,2010-07-13,16.69,16.98
601601.SH,中国太保,2010-07-14,17.01,16.69
601601.SH,中国太保,2010-07-15,16.54,16.41
601601.SH,中国太保,2010-07-16,16.36,16.40
601601.SH,中国太保,2010-07-19,16.28,16.96
601601.SH,中国太保,2010-07-20,16.93,17.42
601601.SH,中国太保,2010-07-21,17.36,17.48
601601.SH,中国太保,2010-07-22,17.43,17.92
601601.SH,中国太保,2010-07-23,17.92,17.89
601601.SH,中国太保,2010-07-26,17.91,17.93
601601.SH,中国太保,2010-07-27,17.87,18.10
601601.SH,中国太保,2010-07-28,18.22,18.42
601601.SH,中国太保,2010-07-29,18.52,18.41
601601.SH,中国太保,2010-07-30,18.42,18.25
601601.SH,中国太保,2010-08-02,18.24,18.61
601601.SH,中国太保,2010-08-03,18.65,18.24
601601.SH,中国太保,2010-08-04,18.23,18.65
601601.SH,中国太保,2010-08-05,18.61,18.25
601601.SH,中国太保,2010-08-06,18.28,18.50
601601.SH,中国太保,2010-08-09,18.34,18.64
