代码,简称,日期,开盘价(元),收盘价(元)
002839.SZ,张家港行,2017-01-24,4.88,5.85
002839.SZ,张家港行,2017-01-25,6.44,6.44
002839.SZ,张家港行,2017-01-26,7.08,7.08
002839.SZ,张家港行,2017-02-03,7.79,7.79
002839.SZ,张家港行,2017-02-06,8.50,8.57
002839.SZ,张家港行,2017-02-07,8.66,9.43
002839.SZ,张家港行,2017-02-08,9.24,9.74
002839.SZ,张家港行,2017-02-09,9.40,9.35
002839.SZ,张家港行,2017-02-10,9.42,10.29
002839.SZ,张家港行,2017-02-13,11.33,11.33
002839.SZ,张家港行,2017-02-14,12.46,12.46
002839.SZ,张家港行,2017-02-15,13.50,13.71
002839.SZ,张家港行,2017-02-16,15.08,15.08
002839.SZ,张家港行,2017-02-17,16.59,16.59
002839.SZ,张家港行,2017-02-20,16.41,17.62
002839.SZ,张家港行,2017-02-21,17.56,18.20
002839.SZ,张家港行,2017-02-22,17.45,17.12
002839.SZ,张家港行,2017-02-23,16.75,17.17
002839.SZ,张家港行,2017-02-24,16.75,16.11
002839.SZ,张家港行,2017-02-27,15.67,15.65
002839.SZ,张家港行,2017-02-28,15.37,16.37
002839.SZ,张家港行,2017-03-01,17.69,18.01
002839.SZ,张家港行,2017-03-02,17.87,19.80
002839.SZ,张家港行,2017-03-03,19.53,21.41
002839.SZ,张家港行,2017-03-06,20.79,20.94
002839.SZ,张家港行,2017-03-07,19.62,20.79
002839.SZ,张家港行,2017-03-08,20.62,22.85
002839.SZ,张家港行,2017-03-09,22.21,23.07
002839.SZ,张家港行,2017-03-10,22.71,23.40
002839.SZ,张家港行,2017-03-13,22.95,23.16
002839.SZ,张家港行,2017-03-14,22.95,23.27
002839.SZ,张家港行,2017-03-15,24.09,24.97
002839.SZ,张家港行,2017-03-16,24.48,27.41
002839.SZ,张家港行,2017-03-17,27.41,27.41
002839.SZ,张家港行,2017-03-20,27.41,27.41
002839.SZ,张家港行,2017-03-21,27.41,27.41
002839.SZ,张家港行,2017-03-22,27.41,27.41
002839.SZ,张家港行,2017-03-23,27.41,27.41
002839.SZ,张家港行,2017-03-24,27.41,27.41
002839.SZ,张家港行,2017-03-27,27.41,27.41
002839.SZ,张家港行,2017-03-28,27.41,27.41
002839.SZ,张家港行,2017-03-29,27.41,27.41
002839.SZ,张家港行,2017-03-30,27.41,27.41
002839.SZ,张家港行,2017-03-31,27.41,27.41
002839.SZ,张家港行,2017-04-05,24.68,27.88
002839.SZ,张家港行,2017-04-06,26.88,26.62
002839.SZ,张家港行,2017-04-07,25.13,23.96
002839.SZ,张家港行,2017-04-10,22.81,21.57
002839.SZ,张家港行,2017-04-11,20.93,19.83
002839.SZ,张家港行,2017-04-12,19.54,19.60
002839.SZ,张家港行,2017-04-13,18.62,18.92
002839.SZ,张家港行,2017-04-14,19.08,18.10
002839.SZ,张家港行,2017-04-17,16.69,16.30
002839.SZ,张家港行,2017-04-18,15.08,15.14
002839.SZ,张家港行,2017-04-19,15.14,16.65
002839.SZ,张家港行,2017-04-20,16.83,17.29
002839.SZ,张家港行,2017-04-21,16.98,16.50
002839.SZ,张家港行,2017-04-24,16.50,16.95
002839.SZ,张家港行,2017-04-25,16.80,16.87
002839.SZ,张家港行,2017-04-26,16.63,16.70
002839.SZ,张家港行,2017-04-27,16.30,16.90
002839.SZ,张家港行,2017-04-28,16.80,17.64
002839.SZ,张家港行,2017-05-02,17.28,17.50
002839.SZ,张家港行,2017-05-03,17.31,17.62
002839.SZ,张家港行,2017-05-04,17.22,17.76
002839.SZ,张家港行,2017-05-05,17.50,17.02
002839.SZ,张家港行,2017-05-08,16.23,15.31
002839.SZ,张家港行,2017-05-09,14.92,16.16
002839.SZ,张家港行,2017-05-10,15.87,17.78
002839.SZ,张家港行,2017-05-11,18.15,18.38
002839.SZ,张家港行,2017-05-12,17.82,18.77
002839.SZ,张家港行,2017-05-15,18.25,18.37
002839.SZ,张家港行,2017-05-16,18.20,18.38
002839.SZ,张家港行,2017-05-17,18.05,18.90
002839.SZ,张家港行,2017-05-18,18.50,17.01
002839.SZ,张家港行,2017-05-19,16.34,16.35
002839.SZ,张家港行,2017-05-22,16.35,16.59
002839.SZ,张家港行,2017-05-23,16.48,15.37
002839.SZ,张家港行,2017-05-24,15.27,14.76
002839.SZ,张家港行,2017-05-25,14.80,15.54
002839.SZ,张家港行,2017-05-26,15.55,15.04
002839.SZ,张家港行,2017-05-31,15.41,15.04
002839.SZ,张家港行,2017-06-01,14.85,14.00
002839.SZ,张家港行,2017-06-02,14.03,13.75
002839.SZ,张家港行,2017-06-05,13.68,13.81
002839.SZ,张家港行,2017-06-06,13.67,13.43
002839.SZ,张家港行,2017-06-07,13.48,14.77
002839.SZ,张家港行,2017-06-08,15.29,14.94
002839.SZ,张家港行,2017-06-09,14.96,14.74
002839.SZ,张家港行,2017-06-12,14.52,14.76
002839.SZ,张家港行,2017-06-13,14.56,14.96
002839.SZ,张家港行,2017-06-14,14.80,15.02
002839.SZ,张家港行,2017-06-15,14.89,15.63
002839.SZ,张家港行,2017-06-16,15.31,15.26
