代码,简称,日期,开盘价(元),收盘价(元)
601916.SH,浙商银行,2019-11-26,4.71,4.73
601916.SH,浙商银行,2019-11-27,4.58,4.51
601916.SH,浙商银行,2019-11-28,4.52,4.52
601916.SH,浙商银行,2019-11-29,4.50,4.48
601916.SH,浙商银行,2019-12-02,4.48,4.39
601916.SH,浙商银行,2019-12-03,4.35,4.34
601916.SH,浙商银行,2019-12-04,4.31,4.36
601916.SH,浙商银行,2019-12-05,4.37,4.38
601916.SH,浙商银行,2019-12-06,4.37,4.37
601916.SH,浙商银行,2019-12-09,4.38,4.43
601916.SH,浙商银行,2019-12-10,4.41,4.36
601916.SH,浙商银行,2019-12-11,4.35,4.36
601916.SH,浙商银行,2019-12-12,4.35,4.32
601916.SH,浙商银行,2019-12-13,4.34,4.39
601916.SH,浙商银行,2019-12-16,4.37,4.37
601916.SH,浙商银行,2019-12-17,4.36,4.58
601916.SH,浙商银行,2019-12-18,4.53,4.50
601916.SH,浙商银行,2019-12-19,4.51,4.50
601916.SH,浙商银行,2019-12-20,4.51,4.54
601916.SH,浙商银行,2019-12-23,4.56,4.55
601916.SH,浙商银行,2019-12-24,4.57,4.55
601916.SH,浙商银行,2019-12-25,4.55,4.54
601916.SH,浙商银行,2019-12-26,4.53,4.56
601916.SH,浙商银行,2019-12-27,4.55,4.56
601916.SH,浙商银行,2019-12-30,4.52,4.56
601916.SH,浙商银行,2019-12-31,4.54,4.55
601916.SH,浙商银行,2020-01-02,4.60,4.57
601916.SH,浙商银行,2020-01-03,4.57,4.55
601916.SH,浙商银行,2020-01-06,4.52,4.52
601916.SH,浙商银行,2020-01-07,4.52,4.54
601916.SH,浙商银行,2020-01-08,4.52,4.46
601916.SH,浙商银行,2020-01-09,4.48,4.48
601916.SH,浙商银行,2020-01-10,4.50,4.48
601916.SH,浙商银行,2020-01-13,4.47,4.48
601916.SH,浙商银行,2020-01-14,4.49,4.48
601916.SH,浙商银行,2020-01-15,4.47,4.45
601916.SH,浙商银行,2020-01-16,4.45,4.42
601916.SH,浙商银行,2020-01-17,4.43,4.41
601916.SH,浙商银行,2020-01-20,4.41,4.44
601916.SH,浙商银行,2020-01-21,4.43,4.39
601916.SH,浙商银行,2020-01-22,4.38,4.39
601916.SH,浙商银行,2020-01-23,4.37,4.34
601916.SH,浙商银行,2020-02-03,3.90,3.90
601916.SH,浙商银行,2020-02-04,3.90,3.97
601916.SH,浙商银行,2020-02-05,3.96,4.02
601916.SH,浙商银行,2020-02-06,4.02,4.04
601916.SH,浙商银行,2020-02-07,4.02,4.01
601916.SH,浙商银行,2020-02-10,4.01,4.03
601916.SH,浙商银行,2020-02-11,4.04,4.06
601916.SH,浙商银行,2020-02-12,4.05,4.07
601916.SH,浙商银行,2020-02-13,4.06,4.02
601916.SH,浙商银行,2020-02-14,4.01,4.03
601916.SH,浙商银行,2020-02-17,4.03,4.12
601916.SH,浙商银行,2020-02-18,4.10,4.10
601916.SH,浙商银行,2020-02-19,4.10,4.09
601916.SH,浙商银行,2020-02-20,4.09,4.18
601916.SH,浙商银行,2020-02-21,4.16,4.17
601916.SH,浙商银行,2020-02-24,4.16,4.12
601916.SH,浙商银行,2020-02-25,4.08,4.05
