代码,简称,日期,开盘价(元),收盘价(元)
002673.SZ,西部证券,2012-05-03,5.76,5.78
002673.SZ,西部证券,2012-05-04,5.98,5.88
002673.SZ,西部证券,2012-05-07,5.83,6.08
002673.SZ,西部证券,2012-05-08,6.05,5.92
002673.SZ,西部证券,2012-05-09,5.82,5.79
002673.SZ,西部证券,2012-05-10,5.76,6.07
002673.SZ,西部证券,2012-05-11,6.01,6.07
002673.SZ,西部证券,2012-05-14,6.15,6.25
002673.SZ,西部证券,2012-05-15,6.17,6.74
002673.SZ,西部证券,2012-05-16,6.67,6.64
002673.SZ,西部证券,2012-05-17,6.77,7.31
002673.SZ,西部证券,2012-05-18,7.17,7.62
002673.SZ,西部证券,2012-05-21,7.37,7.00
002673.SZ,西部证券,2012-05-22,7.01,7.13
002673.SZ,西部证券,2012-05-23,7.11,7.67
002673.SZ,西部证券,2012-05-24,7.56,7.55
002673.SZ,西部证券,2012-05-25,7.55,7.40
002673.SZ,西部证券,2012-05-28,7.25,7.14
002673.SZ,西部证券,2012-05-29,7.05,7.36
002673.SZ,西部证券,2012-05-30,7.37,7.31
002673.SZ,西部证券,2012-05-31,7.20,7.37
002673.SZ,西部证券,2012-06-01,7.48,7.33
002673.SZ,西部证券,2012-06-04,7.07,7.08
002673.SZ,西部证券,2012-06-05,7.16,6.86
002673.SZ,西部证券,2012-06-06,6.90,6.64
002673.SZ,西部证券,2012-06-07,6.76,6.64
002673.SZ,西部证券,2012-06-08,6.75,6.78
002673.SZ,西部证券,2012-06-11,6.79,6.90
002673.SZ,西部证券,2012-06-12,6.78,6.69
002673.SZ,西部证券,2012-06-13,6.77,7.33
002673.SZ,西部证券,2012-06-14,7.23,7.18
002673.SZ,西部证券,2012-06-15,7.28,7.33
002673.SZ,西部证券,2012-06-18,7.41,7.29
002673.SZ,西部证券,2012-06-19,7.24,7.09
002673.SZ,西部证券,2012-06-20,7.16,7.23
002673.SZ,西部证券,2012-06-21,7.13,7.02
002673.SZ,西部证券,2012-06-25,6.90,6.61
002673.SZ,西部证券,2012-06-26,6.53,6.69
002673.SZ,西部证券,2012-06-27,6.66,6.50
002673.SZ,西部证券,2012-06-28,6.50,6.50
002673.SZ,西部证券,2012-06-29,6.34,6.69
002673.SZ,西部证券,2012-07-02,6.69,6.70
002673.SZ,西部证券,2012-07-03,6.73,6.69
002673.SZ,西部证券,2012-07-04,6.68,6.62
002673.SZ,西部证券,2012-07-05,6.53,6.32
002673.SZ,西部证券,2012-07-06,6.39,6.62
002673.SZ,西部证券,2012-07-09,6.57,6.31
002673.SZ,西部证券,2012-07-10,6.35,6.29
002673.SZ,西部证券,2012-07-11,6.30,6.42
002673.SZ,西部证券,2012-07-12,6.38,6.59
002673.SZ,西部证券,2012-07-13,6.45,6.38
002673.SZ,西部证券,2012-07-16,6.35,6.04
002673.SZ,西部证券,2012-07-17,5.98,6.10
002673.SZ,西部证券,2012-07-18,6.01,6.13
002673.SZ,西部证券,2012-07-19,6.05,6.28
002673.SZ,西部证券,2012-07-20,6.19,6.12
002673.SZ,西部证券,2012-07-23,6.02,6.05
002673.SZ,西部证券,2012-07-24,5.98,6.16
002673.SZ,西部证券,2012-07-25,6.11,6.05
002673.SZ,西部证券,2012-07-26,6.05,6.11
002673.SZ,西部证券,2012-07-27,6.15,6.01
002673.SZ,西部证券,2012-07-30,5.97,5.76
002673.SZ,西部证券,2012-07-31,5.65,5.44
002673.SZ,西部证券,2012-08-01,5.40,5.49
002673.SZ,西部证券,2012-08-02,5.38,5.22
002673.SZ,西部证券,2012-08-03,5.26,5.50
002673.SZ,西部证券,2012-08-06,5.40,5.62
002673.SZ,西部证券,2012-08-07,5.58,5.57
002673.SZ,西部证券,2012-08-08,5.64,5.60
002673.SZ,西部证券,2012-08-09,5.56,5.70
002673.SZ,西部证券,2012-08-10,5.66,5.60
002673.SZ,西部证券,2012-08-13,5.54,5.30
002673.SZ,西部证券,2012-08-14,5.28,5.32
002673.SZ,西部证券,2012-08-15,5.26,5.19
002673.SZ,西部证券,2012-08-16,5.18,5.21
002673.SZ,西部证券,2012-08-17,5.18,5.22
002673.SZ,西部证券,2012-08-20,5.15,5.25
002673.SZ,西部证券,2012-08-21,5.26,5.30
002673.SZ,西部证券,2012-08-22,5.30,5.25
002673.SZ,西部证券,2012-08-23,5.34,5.32
002673.SZ,西部证券,2012-08-24,5.27,5.26
002673.SZ,西部证券,2012-08-27,5.18,4.87
002673.SZ,西部证券,2012-08-28,4.89,4.99
002673.SZ,西部证券,2012-08-29,4.94,4.90
002673.SZ,西部证券,2012-08-30,4.88,5.18
002673.SZ,西部证券,2012-08-31,5.11,5.15
002673.SZ,西部证券,2012-09-03,5.10,5.29
002673.SZ,西部证券,2012-09-04,5.26,5.20
002673.SZ,西部证券,2012-09-05,5.18,5.28
002673.SZ,西部证券,2012-09-06,5.29,5.34
002673.SZ,西部证券,2012-09-07,5.44,5.78
002673.SZ,西部证券,2012-09-10,5.70,5.74
002673.SZ,西部证券,2012-09-11,5.68,5.70
002673.SZ,西部证券,2012-09-12,5.78,5.69
002673.SZ,西部证券,2012-09-13,5.68,5.50
002673.SZ,西部证券,2012-09-14,5.58,5.58
002673.SZ,西部证券,2012-09-17,5.56,5.38
002673.SZ,西部证券,2012-09-18,5.34,5.30
002673.SZ,西部证券,2012-09-19,5.33,5.39
002673.SZ,西部证券,2012-09-20,5.34,5.19
002673.SZ,西部证券,2012-09-21,5.15,5.12
002673.SZ,西部证券,2012-09-24,5.03,5.17
002673.SZ,西部证券,2012-09-25,5.14,5.18
002673.SZ,西部证券,2012-09-26,5.25,5.13
002673.SZ,西部证券,2012-09-27,5.09,5.57
002673.SZ,西部证券,2012-09-28,5.42,5.64
002673.SZ,西部证券,2012-10-08,5.60,5.52
002673.SZ,西部证券,2012-10-09,5.56,5.88
002673.SZ,西部证券,2012-10-10,5.82,5.89
002673.SZ,西部证券,2012-10-11,5.84,5.76
002673.SZ,西部证券,2012-10-12,5.82,5.82
002673.SZ,西部证券,2012-10-15,5.84,5.90
002673.SZ,西部证券,2012-10-16,5.90,5.80
002673.SZ,西部证券,2012-10-17,5.86,5.88
002673.SZ,西部证券,2012-10-18,5.90,6.05
002673.SZ,西部证券,2012-10-19,6.04,6.02
002673.SZ,西部证券,2012-10-22,5.96,5.97
002673.SZ,西部证券,2012-10-23,5.95,5.67
002673.SZ,西部证券,2012-10-24,5.63,5.58
002673.SZ,西部证券,2012-10-25,5.56,5.52
002673.SZ,西部证券,2012-10-26,5.53,5.48
002673.SZ,西部证券,2012-10-29,5.48,5.46
002673.SZ,西部证券,2012-10-30,5.48,5.51
002673.SZ,西部证券,2012-10-31,5.51,5.57
002673.SZ,西部证券,2012-11-01,5.66,5.79
002673.SZ,西部证券,2012-11-02,5.79,5.82
002673.SZ,西部证券,2012-11-05,5.77,5.79
002673.SZ,西部证券,2012-11-06,5.78,5.90
002673.SZ,西部证券,2012-11-07,5.81,5.71
002673.SZ,西部证券,2012-11-08,5.61,5.47
002673.SZ,西部证券,2012-11-09,5.38,5.41
002673.SZ,西部证券,2012-11-12,5.42,5.44
002673.SZ,西部证券,2012-11-13,5.43,5.21
002673.SZ,西部证券,2012-11-14,5.22,5.26
002673.SZ,西部证券,2012-11-15,5.21,5.13
002673.SZ,西部证券,2012-11-16,5.13,5.21
002673.SZ,西部证券,2012-11-19,5.23,5.31
002673.SZ,西部证券,2012-11-20,5.32,5.21
002673.SZ,西部证券,2012-11-21,5.22,5.38
002673.SZ,西部证券,2012-11-22,5.33,5.29
002673.SZ,西部证券,2012-11-23,5.31,5.29
002673.SZ,西部证券,2012-11-26,5.25,5.13
002673.SZ,西部证券,2012-11-27,5.12,5.00
002673.SZ,西部证券,2012-11-28,4.94,4.99
002673.SZ,西部证券,2012-11-29,4.99,4.49
002673.SZ,西部证券,2012-11-30,4.49,4.39
002673.SZ,西部证券,2012-12-03,4.35,4.15
002673.SZ,西部证券,2012-12-04,4.14,4.34
002673.SZ,西部证券,2012-12-05,4.31,4.65
002673.SZ,西部证券,2012-12-06,4.62,4.57
002673.SZ,西部证券,2012-12-07,4.58,4.71
002673.SZ,西部证券,2012-12-10,4.71,4.78
002673.SZ,西部证券,2012-12-11,4.80,4.73
002673.SZ,西部证券,2012-12-12,4.72,4.79
002673.SZ,西部证券,2012-12-13,4.74,4.66
002673.SZ,西部证券,2012-12-14,4.65,5.05
002673.SZ,西部证券,2012-12-17,5.06,5.14
002673.SZ,西部证券,2012-12-18,5.09,5.22
002673.SZ,西部证券,2012-12-19,5.15,5.20
002673.SZ,西部证券,2012-12-20,5.15,5.45
002673.SZ,西部证券,2012-12-21,5.40,5.37
002673.SZ,西部证券,2012-12-24,5.35,5.52
002673.SZ,西部证券,2012-12-25,5.47,5.98
002673.SZ,西部证券,2012-12-26,5.92,5.98
002673.SZ,西部证券,2012-12-27,5.98,5.83
