代码,简称,日期,开盘价(元),收盘价(元)
601456.SH,国联证券,2020-07-31,5.10,6.12
601456.SH,国联证券,2020-08-03,6.73,6.73
601456.SH,国联证券,2020-08-04,7.40,7.40
601456.SH,国联证券,2020-08-05,8.14,8.14
601456.SH,国联证券,2020-08-06,8.95,8.95
601456.SH,国联证券,2020-08-07,9.85,9.85
601456.SH,国联证券,2020-08-10,10.84,10.84
601456.SH,国联证券,2020-08-11,11.92,11.92
601456.SH,国联证券,2020-08-12,13.11,13.11
601456.SH,国联证券,2020-08-13,14.42,14.42
601456.SH,国联证券,2020-08-14,15.86,15.86
601456.SH,国联证券,2020-08-17,15.60,17.45
601456.SH,国联证券,2020-08-18,17.00,16.72
601456.SH,国联证券,2020-08-19,16.55,17.13
601456.SH,国联证券,2020-08-20,16.94,17.38
601456.SH,国联证券,2020-08-21,17.23,16.85
601456.SH,国联证券,2020-08-24,16.55,16.43
601456.SH,国联证券,2020-08-25,16.41,17.00
601456.SH,国联证券,2020-08-26,16.79,16.49
601456.SH,国联证券,2020-08-27,16.27,16.01
601456.SH,国联证券,2020-08-28,15.86,17.61
601456.SH,国联证券,2020-08-31,17.80,17.09
601456.SH,国联证券,2020-09-01,17.02,17.18
601456.SH,国联证券,2020-09-02,17.22,18.15
601456.SH,国联证券,2020-09-03,17.87,18.66
601456.SH,国联证券,2020-09-04,18.05,18.70
601456.SH,国联证券,2020-09-07,18.50,18.35
601456.SH,国联证券,2020-09-08,18.11,18.83
601456.SH,国联证券,2020-09-09,18.31,17.88
601456.SH,国联证券,2020-09-10,18.10,16.49
601456.SH,国联证券,2020-09-11,16.32,16.94
601456.SH,国联证券,2020-09-14,16.93,16.78
601456.SH,国联证券,2020-09-15,16.80,16.49
601456.SH,国联证券,2020-09-16,16.47,17.06
601456.SH,国联证券,2020-09-17,16.80,17.85
601456.SH,国联证券,2020-09-18,17.67,19.64
601456.SH,国联证券,2020-09-21,19.64,19.64
601456.SH,国联证券,2020-09-22,19.64,19.64
601456.SH,国联证券,2020-09-23,19.64,19.64
601456.SH,国联证券,2020-09-24,19.64,19.64
601456.SH,国联证券,2020-09-25,19.64,19.64
601456.SH,国联证券,2020-09-28,19.64,19.64
601456.SH,国联证券,2020-09-29,19.64,19.64
601456.SH,国联证券,2020-09-30,19.64,19.64
601456.SH,国联证券,2020-10-09,19.64,19.64
601456.SH,国联证券,2020-10-12,19.64,19.64
601456.SH,国联证券,2020-10-13,19.00,18.48
601456.SH,国联证券,2020-10-14,18.15,17.68
601456.SH,国联证券,2020-10-15,17.63,17.04
601456.SH,国联证券,2020-10-16,16.89,17.29
601456.SH,国联证券,2020-10-19,17.20,16.84
601456.SH,国联证券,2020-10-20,16.68,17.28
601456.SH,国联证券,2020-10-21,17.24,17.55
601456.SH,国联证券,2020-10-22,17.45,17.98
601456.SH,国联证券,2020-10-23,17.81,17.56
601456.SH,国联证券,2020-10-26,17.17,16.70
601456.SH,国联证券,2020-10-27,16.65,17.02
601456.SH,国联证券,2020-10-28,16.88,16.90
601456.SH,国联证券,2020-10-29,16.50,17.34
601456.SH,国联证券,2020-10-30,17.24,16.67
601456.SH,国联证券,2020-11-02,16.80,15.00
601456.SH,国联证券,2020-11-03,14.61,14.82
601456.SH,国联证券,2020-11-04,14.72,14.64
601456.SH,国联证券,2020-11-05,14.83,14.99
601456.SH,国联证券,2020-11-06,14.95,15.60
601456.SH,国联证券,2020-11-09,15.70,17.16
601456.SH,国联证券,2020-11-10,17.20,16.46
601456.SH,国联证券,2020-11-11,16.44,16.83
601456.SH,国联证券,2020-11-12,17.20,16.94
601456.SH,国联证券,2020-11-13,16.73,16.80
601456.SH,国联证券,2020-11-16,17.00,16.97
601456.SH,国联证券,2020-11-17,16.97,17.41
601456.SH,国联证券,2020-11-18,17.25,16.88
601456.SH,国联证券,2020-11-19,16.60,16.43
601456.SH,国联证券,2020-11-20,16.37,16.78
601456.SH,国联证券,2020-11-23,16.66,18.46
601456.SH,国联证券,2020-11-24,19.10,19.57
601456.SH,国联证券,2020-11-25,20.30,18.79
601456.SH,国联证券,2020-11-26,18.74,18.25
601456.SH,国联证券,2020-11-27,18.11,19.10
601456.SH,国联证券,2020-11-30,19.08,19.10
601456.SH,国联证券,2020-12-01,18.79,20.70
601456.SH,国联证券,2020-12-02,20.49,22.77
601456.SH,国联证券,2020-12-03,22.20,21.94
601456.SH,国联证券,2020-12-04,21.16,21.00
601456.SH,国联证券,2020-12-07,21.15,21.05
601456.SH,国联证券,2020-12-08,20.71,20.91
601456.SH,国联证券,2020-12-09,21.00,19.18
601456.SH,国联证券,2020-12-10,18.99,19.50
601456.SH,国联证券,2020-12-11,19.51,20.13
601456.SH,国联证券,2020-12-14,19.99,19.37
601456.SH,国联证券,2020-12-15,19.38,19.65
601456.SH,国联证券,2020-12-16,19.55,19.12
601456.SH,国联证券,2020-12-17,19.00,20.70
601456.SH,国联证券,2020-12-18,20.29,20.30
601456.SH,国联证券,2020-12-21,20.40,20.56
601456.SH,国联证券,2020-12-22,20.27,19.20
601456.SH,国联证券,2020-12-23,19.26,19.42
601456.SH,国联证券,2020-12-24,19.25,19.08
601456.SH,国联证券,2020-12-25,19.00,19.42
601456.SH,国联证券,2020-12-28,19.27,19.26
601456.SH,国联证券,2020-12-29,19.35,19.52
601456.SH,国联证券,2020-12-30,19.20,20.16
601456.SH,国联证券,2020-12-31,20.45,21.33
601456.SH,国联证券,2021-01-04,21.60,20.72
601456.SH,国联证券,2021-01-05,20.47,21.51
601456.SH,国联证券,2021-01-06,21.11,20.79
601456.SH,国联证券,2021-01-07,20.70,20.64
601456.SH,国联证券,2021-01-08,20.64,20.31
601456.SH,国联证券,2021-01-11,20.42,19.33
601456.SH,国联证券,2021-01-12,19.15,20.07
601456.SH,国联证券,2021-01-13,19.96,18.77
601456.SH,国联证券,2021-01-14,18.58,17.27
601456.SH,国联证券,2021-01-15,17.40,17.58
601456.SH,国联证券,2021-01-18,17.39,17.55
601456.SH,国联证券,2021-01-19,17.55,18.25

数据来源: Wind
